"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000041313"	5.00691	5.05378	5.05784	5.13068
"ENSMUSG00000041319"	9.46017	9.50379	10.37651	10.40579
"ENSMUSG00000041324"	13.24749	13.20829	13.2528	13.06216
"ENSMUSG00000041328"	7.684105	7.64232	7.650295	7.59524
"ENSMUSG00000041329"	5.345125	5.39696	5.381895	5.47305
"ENSMUSG00000041333"	3.9553	4.02161	3.99692	3.94752
"ENSMUSG00000041341"	7.76976	7.80306	7.60779	7.71697
"ENSMUSG00000041346"	7.20968	7.30535	7.43109	7.1647
"ENSMUSG00000041347"	6.02027	5.87489	5.85613	5.95628
"ENSMUSG00000041351"	6.71756	6.8017	7.13485	7.20592
"ENSMUSG00000041354"	8.14008	8.34731	8.2078	8.14149
"ENSMUSG00000041355"	11.18526	11.13061	10.99367	10.88364
"ENSMUSG00000041359"	4.89881	4.85884	5.10139	4.96352
"ENSMUSG00000041360"	8.91435	8.92269	8.82898	8.7761
"ENSMUSG00000041361"	5.80098	5.91872	5.40735	5.13384
"ENSMUSG00000041375"	6.72829	6.68531	6.94971	6.96965
"ENSMUSG00000041377"	5.79068	5.6747	5.66542	5.78196
"ENSMUSG00000041378"	5.74358	5.83864	5.99255	5.76318
"ENSMUSG00000041380"	4.19148	4.30107	4.26303	4.24394
"ENSMUSG00000041390"	11.33516	11.21733	11.22708	11.23964
"ENSMUSG00000041396"	6.8145	6.86917	6.74335	6.80853
"ENSMUSG00000041415"	8.3622	8.36415	8.184245	8.235245
"ENSMUSG00000041417"	9.39957666666667	9.50982333333333	9.12129333333333	9.05771666666667
"ENSMUSG00000041420"	6.64543	6.77153	6.7128	6.59568
"ENSMUSG00000041426"	8.60837	8.62208	9.185955	9.27913
"ENSMUSG00000041429"	6.78947	6.64529	6.65547	6.60166
"ENSMUSG00000041431"	8.20900666666667	8.04341666666667	8.04309	7.74178666666667
"ENSMUSG00000041438"	10.67872	10.6762	10.67487	10.56844
"ENSMUSG00000041439"	5.74329333333333	5.61468	5.47217	5.43394
"ENSMUSG00000041453"	11.3677966666667	11.2917	11.09721	11.09268
"ENSMUSG00000041459"	9.3110075	9.3726475	9.2640825	9.24042
"ENSMUSG00000041468"	5.99859	6.00496	6.09831	6.39459
"ENSMUSG00000041476"	4.1592	4.35806	4.06202	4.17565
"ENSMUSG00000041481"	6.71391	6.66842	6.51204	6.49344
"ENSMUSG00000041483"	9.139435	9.16547	8.879885	8.868425
"ENSMUSG00000041488"	5.75804666666667	5.90151333333333	5.77774333333333	5.78663333333333
"ENSMUSG00000041505"	4.72048	4.59426	4.60195	4.46347
"ENSMUSG00000041506"	8.8568	8.93065	9.02052	8.91572
"ENSMUSG00000041515"	5.775725	5.783285	5.363915	5.507455
"ENSMUSG00000041523"	7.19466	7.27526	7.29507	7.25311
"ENSMUSG00000041528"	7.77529	7.85097	7.74566	7.75862
"ENSMUSG00000041534"	5.41055	5.52022	5.40968	5.62508
"ENSMUSG00000041536"	4.80165	4.84601	4.88209	5.22079
"ENSMUSG00000041538"	5.23645	5.09536	5.13257	5.05426
"ENSMUSG00000041540"	5.2271575	5.113295	5.384245	5.4520575
"ENSMUSG00000041548"	10.827275	10.72437	11.18189	11.092415
"ENSMUSG00000041550"	4.86896	4.84809	4.81983	4.88742
"ENSMUSG00000041556"	5.30888	5.22008	5.09554	5.29579
"ENSMUSG00000041559"	10.06854	10.004655	9.85095833333333	9.746755
"ENSMUSG00000041560"	8.93777333333333	8.90759	8.89456	8.89962
"ENSMUSG00000041566"	4.97083	4.976015	4.95972	5.03577
"ENSMUSG00000041567"	4.992815	4.923195	4.942505	5.010125
"ENSMUSG00000041571"	9.40901	9.3884	9.156685	9.199675
"ENSMUSG00000041577"	10.750575	10.67086	10.76603	10.659745
"ENSMUSG00000041578"	4.83034	4.857515	4.807915	4.99225
"ENSMUSG00000041594"	7.783805	7.903425	7.691485	7.672635
"ENSMUSG00000041598"	8.539715	8.568205	8.295115	8.199845
"ENSMUSG00000041605"	6.86983	6.76598	6.91395	7.04612
"ENSMUSG00000041607"	5.24976375	5.31344	5.8722	5.77068125
"ENSMUSG00000041609"	6.84546	7.01935	6.65014	6.94129
"ENSMUSG00000041616"	5.00305	5.08117	5.10424	5.18195
"ENSMUSG00000041620"	4.06941	4.20194	4.27525	4.09413
"ENSMUSG00000041625"	7.75951	7.77043	7.51542	7.58316
"ENSMUSG00000041629"	9.39201	9.35023666666667	9.43651666666667	9.43479
"ENSMUSG00000041642"	4.47972	4.52671	4.70008	4.56141
"ENSMUSG00000041645"	10.18466	10.07992	10.42567	10.36111
"ENSMUSG00000041650"	10.64489	10.76431	11.08805	11.27764
"ENSMUSG00000041653"	8.13418	8.40147	7.20288	7.3443
"ENSMUSG00000041654"	8.83392	8.70244	8.3931	8.36269
"ENSMUSG00000041660"	5.13707	5.23988	5.33055	5.23988
"ENSMUSG00000041669"	5.43392	5.43868	5.29144	5.49785
"ENSMUSG00000041671"	8.4669	8.49114	8.63435	8.49193
"ENSMUSG00000041673"	4.81235	4.800705	4.82026	4.900945
"ENSMUSG00000041674"	3.96792	4.0372	4.10724	4.23197
"ENSMUSG00000041681"	4.5149925	4.5951725	4.5245975	4.62998
"ENSMUSG00000041688"	6.05595	6.03902666666667	6.01995	5.95321333333333
"ENSMUSG00000041695"	4.23839	4.06232	3.97004	4.087
"ENSMUSG00000041696"	7.35751	7.36592	7.40695	7.44045
"ENSMUSG00000041697"	14.183225	14.2292	14.39402	14.450775
"ENSMUSG00000041698"	4.613665	4.69273	4.89843	4.793005
"ENSMUSG00000041703"	4.482495	4.363635	4.41934	4.59942
"ENSMUSG00000041710"	4.60318	4.59919	4.47653	4.55021
"ENSMUSG00000041712"	7.97333	7.830735	7.867805	7.88968
"ENSMUSG00000041716"	9.64475	9.67992	9.73569	9.53658
"ENSMUSG00000041718"	7.16482	7.11956	7.2365	7.16462
"ENSMUSG00000041720"	10.65639	10.73371	10.70385	10.68533
"ENSMUSG00000041729"	6.654515	6.57435	6.99156	7.12425
"ENSMUSG00000041733"	9.13899	9.262615	10.41187	10.500565
"ENSMUSG00000041734"	4.61677	4.65333	4.56046	4.68213
"ENSMUSG00000041736"	12.0650666666667	12.0273566666667	12.1588166666667	12.2333
"ENSMUSG00000041737"	9.29422	9.52187	11.62474	11.64536
"ENSMUSG00000041740"	10.7352	10.71353	10.66456	10.57475
"ENSMUSG00000041741"	5.19021333333333	5.25658333333333	5.23169	5.30697666666667
"ENSMUSG00000041750"	5.23822	5.1832	5.63632	5.68961
"ENSMUSG00000041754"	5.1353	5.21478	5.3919	5.41409
"ENSMUSG00000041757"	4.51015	4.46045	4.72356	4.59919
"ENSMUSG00000041762"	6.50198	6.69818	6.79002	6.61795
"ENSMUSG00000041763"	7.722906	7.81936	7.894558	7.754208
"ENSMUSG00000041765"	8.50379	8.433155	8.545765	8.590965
"ENSMUSG00000041769"	9.42139	9.494755	9.95217	9.887765
"ENSMUSG00000041773"	10.33976	10.37097	10.4765333333333	10.43646
"ENSMUSG00000041777"	8.56117	8.51713	8.63483	8.62509
"ENSMUSG00000041779"	4.99758	4.97916	5.139175	5.087785
"ENSMUSG00000041781"	8.616465	8.67524	8.688605	8.58347
"ENSMUSG00000041782"	5.58494	5.84159	5.87622	5.95577
"ENSMUSG00000041791"	4.15644	4.16642	4.17046	4.19082
"ENSMUSG00000041798"	5.200785	5.275025	5.47091	5.371
"ENSMUSG00000041801"	12.44197	12.42724	12.2499	12.30573
"ENSMUSG00000041805"	5.84294	5.67105	5.9363	5.93888
"ENSMUSG00000041815"	10.359478	10.393354	10.261776	10.246072
"ENSMUSG00000041817"	5.29592	5.23102	5.46521	5.25795
"ENSMUSG00000041827"	7.22233	7.35708	8.43077	8.67132
"ENSMUSG00000041828"	7.51092	7.57792	7.07786	7.1707
"ENSMUSG00000041831"	5.74492	5.82727	5.80555	5.97046
"ENSMUSG00000041836"	5.901795	5.99626	5.969805	6.00209
"ENSMUSG00000041837"	8.4573	8.3321	8.27415	8.22714
"ENSMUSG00000041840"	9.1967	9.15663	9.09107	9.094
"ENSMUSG00000041841"	14.1956	14.113765	14.00006	14.022995
"ENSMUSG00000041842"	8.06093	7.8217	8.04073	7.82767
"ENSMUSG00000041845"	9.18829	9.20282	9.11324	9.14453
"ENSMUSG00000041846"	8.91183	8.86537	9.12572	8.96246
"ENSMUSG00000041852"	7.803515	7.9135	7.72296	7.86648
"ENSMUSG00000041857"	4.42156	4.32255	4.31344	4.44799
"ENSMUSG00000041859"	8.10941	7.9848025	8.1049	7.952315
"ENSMUSG00000041870"	9.83775	9.80905	9.91243	9.72933
"ENSMUSG00000041879"	9.45824	9.43309	9.88775	9.78941
"ENSMUSG00000041881"	11.97201	11.990796	12.123196	12.198494
"ENSMUSG00000041890"	7.049435	7.09583	7.04971	7.00336
"ENSMUSG00000041891"	10.96352	10.8951233333333	10.8149233333333	10.7420733333333
"ENSMUSG00000041895"	8.413956	8.346698	8.006014	7.95685
"ENSMUSG00000041907"	5.16182	5.28645	5.22988	5.53642
"ENSMUSG00000041911"	4.19777	4.49346	4.31502	4.35708
"ENSMUSG00000041915"	9.89156	9.98041333333333	9.96363666666667	9.89548333333333
"ENSMUSG00000041920"	5.8013	5.88595	6.49699	6.46641
"ENSMUSG00000041921"	6.069555	6.023885	6.020685	6.156025
"ENSMUSG00000041926"	9.27998	9.24494	9.13603	9.13392
"ENSMUSG00000041935"	6.969775	6.92983	6.926895	6.940645
"ENSMUSG00000041936"	9.26723	9.33651	8.98961	8.7408
"ENSMUSG00000041939"	8.13962	8.251945	8.17927	8.212265
"ENSMUSG00000041954"	5.1739	5.21275	5.0392	5.1131
"ENSMUSG00000041957"	7.72043666666667	7.7228	8.48160333333333	8.47460666666667
"ENSMUSG00000041958"	9.49914	9.40587	9.3176	9.07411
"ENSMUSG00000041959"	11.87917	11.881215	11.952635	11.97191
"ENSMUSG00000041974"	7.89443	7.91336	7.83969	7.89084
"ENSMUSG00000041975"	6.471	6.55457	6.33325	6.34312
"ENSMUSG00000041984"	4.12204	4.00081	4.06898	3.97374
"ENSMUSG00000041991"	3.92224	4.04329	3.94236	3.986
"ENSMUSG00000041995"	6.43552	6.38921666666667	6.22164	6.28075333333333
"ENSMUSG00000042002"	6.6385	6.48731	6.72284	6.89567
"ENSMUSG00000042010"	6.69314	6.79845	9.14786	9.28804
"ENSMUSG00000042029"	8.48673	8.39873	8.35348	8.05705
"ENSMUSG00000042032"	10.91587	10.86603	11.1294	11.14564
"ENSMUSG00000042041"	6.72501	6.78858	8.22982	7.95027
"ENSMUSG00000042042"	9.54658	9.50099	9.02836	9.04982
"ENSMUSG00000042043"	12.6200766666667	12.5695533333333	12.3756266666667	12.4073266666667
"ENSMUSG00000042045"	4.85669	4.78521	4.63728	4.63526
"ENSMUSG00000042046"	8.442015	8.516615	8.26743	8.10234
"ENSMUSG00000042063"	8.919895	9.00379	9.40509	9.361425
"ENSMUSG00000042066"	6.60599	6.625905	6.37593	6.00477
"ENSMUSG00000042073"	8.76491	8.8029	8.28141	8.30828
"ENSMUSG00000042078"	5.29659	5.25798	5.52335	5.34918
"ENSMUSG00000042079"	11.5291675	11.48584	11.4475975	11.4729625
"ENSMUSG00000042096"	5.67282	5.72047	5.53481	5.7183
"ENSMUSG00000042097"	5.91671	5.89128	6.07778	5.86065
"ENSMUSG00000042099"	4.844105	4.92163	4.789075	4.76996
"ENSMUSG00000042102"	5.20093	5.17941	5.23912	5.26008
"ENSMUSG00000042104"	6.6643	6.72443	6.48341	6.48701
"ENSMUSG00000042109"	5.47194333333333	5.55502333333333	5.83293666666667	5.87312333333333
"ENSMUSG00000042111"	9.1116	9.14368	9.26631	9.22454
"ENSMUSG00000042115"	5.17389	5.06053	5.24348	5.36607
"ENSMUSG00000042116"	5.95121	5.94974	5.88307	5.87887
"ENSMUSG00000042118"	4.273745	4.413535	4.345705	4.431155
"ENSMUSG00000042124"	5.20694	5.188085	5.093345	5.18389
"ENSMUSG00000042133"	10.05035	10.0732	10.03656	9.97944
"ENSMUSG00000042138"	6.74148	6.86091	6.58556	6.52395
"ENSMUSG00000042156"	6.63391333333333	6.50067333333333	6.43433	6.21134
"ENSMUSG00000042157"	4.51992	4.74309	4.75835	4.69706
"ENSMUSG00000042165"	10.53925	10.53572	10.62799	10.59316
"ENSMUSG00000042167"	10.4957	10.49173	10.48683	10.37548
"ENSMUSG00000042178"	8.21176	7.9608	7.8236	7.81905
"ENSMUSG00000042179"	4.54379	4.55267	4.43113	4.67901
"ENSMUSG00000042190"	4.3535	4.56736	4.52938	4.32308
"ENSMUSG00000042197"	6.659845	6.600365	6.582055	6.356595
"ENSMUSG00000042198"	9.91599	9.91351	9.90663	9.94398
"ENSMUSG00000042200"	6.6131	6.53025	6.57789	6.76317
"ENSMUSG00000042207"	8.89897	8.91436	8.731145	8.65686
"ENSMUSG00000042210"	8.75506	8.90082	8.62978	8.73959
"ENSMUSG00000042211"	9.41752	9.37721	9.29495	9.31032
"ENSMUSG00000042212"	4.73717	4.81502	4.95499	4.84161
"ENSMUSG00000042215"	9.50131	9.30797	9.65485	9.46762
"ENSMUSG00000042225"	4.704	4.62334	4.51023	4.58826
"ENSMUSG00000042228"	7.599075	7.56456	7.353645	7.256555
"ENSMUSG00000042229"	9.71019	9.66856	9.64808	9.64264
"ENSMUSG00000042240"	5.53219	5.44425	5.65685	5.84846
"ENSMUSG00000042248"	4.2717	4.38152	4.20995	4.2717
"ENSMUSG00000042251"	5.84293	5.91947	5.541995	5.27818
"ENSMUSG00000042258"	5.238915	5.216005	5.25422	5.24594
"ENSMUSG00000042262"	4.40244	4.3535	4.3964	4.44462
"ENSMUSG00000042265"	4.89058	4.94539	4.97062	4.92435
"ENSMUSG00000042275"	8.31152	8.36964	8.34605	8.20266
"ENSMUSG00000042279"	4.68628	4.79427	4.69214	4.998
"ENSMUSG00000042286"	6.0947	5.89561	5.58108	5.79177
"ENSMUSG00000042289"	9.56216	9.62224	9.35412	9.42995
"ENSMUSG00000042292"	8.65844	8.51513	8.49324	8.30967
"ENSMUSG00000042293"	9.26961	9.21647	9.47397	9.60346
"ENSMUSG00000042298"	8.75871	8.71409	8.4062	8.49021
"ENSMUSG00000042302"	7.43311	7.53495	6.87128	6.83764
"ENSMUSG00000042303"	6.84637	6.87438	6.82936	6.99627
"ENSMUSG00000042305"	8.80098	8.84496333333333	8.95672666666667	8.86427
"ENSMUSG00000042306"	5.04466	5.4515	5.58859	5.3032
"ENSMUSG00000042308"	6.41267	6.45254	6.453585	6.434105
"ENSMUSG00000042312"	10.58917	10.4287	10.64839	10.82385
"ENSMUSG00000042323"	10.2782733333333	10.1980666666667	9.95483333333333	9.92164333333333
"ENSMUSG00000042328"	7.59379	7.63545	7.56148	7.20364
"ENSMUSG00000042331"	7.06126	6.8609	7.06051	6.84165
"ENSMUSG00000042333"	4.90238	4.97494	5.11844	5.26191
"ENSMUSG00000042340"	6.5626	6.46559	6.5052	6.72918
"ENSMUSG00000042349"	7.29645	7.2765	7.17174	6.85631
"ENSMUSG00000042351"	4.840565	4.85032	4.930795	4.97702
"ENSMUSG00000042354"	11.08558	11.01418	11.06059	10.8801
"ENSMUSG00000042357"	7.10114	7.07821	7.31444	7.16932
"ENSMUSG00000042359"	5.25529666666667	5.28907333333333	5.33486333333333	5.44507666666667
"ENSMUSG00000042360"	4.19609	4.23369	4.09578	4.23822
"ENSMUSG00000042363"	11.16734	11.040535	10.839155	10.868155
"ENSMUSG00000042364"	9.318395	9.21584	9.033385	8.90434
"ENSMUSG00000042367"	6.77123	6.6812	6.96573	6.98545
"ENSMUSG00000042377"	6.03425	6.041955	6.165	6.047005
"ENSMUSG00000042379"	6.57474	6.42991	5.72353	5.77562
"ENSMUSG00000042380"	8.86365	8.91414	9.00491	9.00244
"ENSMUSG00000042385"	5.24038	5.03086	4.99706	5.06321
"ENSMUSG00000042386"	4.67538	4.776385	4.794815	4.766315
"ENSMUSG00000042390"	8.77295	8.70308	8.56452	8.57487
"ENSMUSG00000042396"	11.62068	11.58051	11.49162	11.47531
"ENSMUSG00000042401"	6.28165	6.04947	7.49424	7.54272
"ENSMUSG00000042404"	7.3328	7.29281	7.30844	7.34848
"ENSMUSG00000042406"	11.97513	12.01579	12.06351	12.03499
"ENSMUSG00000042408"	7.25771	7.17644	7.12463	7.25674
"ENSMUSG00000042419"	7.11722	7.05586	7.07353	7.01836
"ENSMUSG00000042423"	7.026135	6.997605	6.888205	6.881225
"ENSMUSG00000042428"	4.91824	5.00653	5.09193	5.06172
"ENSMUSG00000042429"	7.212455	7.194675	6.78702	6.998205
"ENSMUSG00000042436"	8.59463	8.17854	8.00306	7.90885
"ENSMUSG00000042439"	7.70482	7.73997	7.79448	7.62164
"ENSMUSG00000042446"	8.21037	8.13073	7.92488	7.8232
"ENSMUSG00000042447"	8.36794	8.391765	8.253065	8.22197
"ENSMUSG00000042448"	4.37855	4.32601	4.34718	4.39989
"ENSMUSG00000042451"	5.26709	5.30809	5.33478	5.40278
"ENSMUSG00000042453"	4.76586	4.56981	4.63808	4.67961
"ENSMUSG00000042459"	4.60228	4.63791	5.02765	4.86806
"ENSMUSG00000042460"	8.38975	8.32513	8.129805	8.08272
"ENSMUSG00000042462"	9.08362	9.00397	9.19052	9.07568
"ENSMUSG00000042472"	8.86039	8.853935	8.754705	8.78348
"ENSMUSG00000042476"	5.95389	6.02828	5.95744	5.94822
"ENSMUSG00000042485"	9.66179	9.62216	9.16171	9.07499
"ENSMUSG00000042492"	10.06618	10.08458	10.01953	10.07441
"ENSMUSG00000042499"	4.26038	4.34285	4.36859	4.31312
"ENSMUSG00000042502"	8.43335	8.36071333333333	8.17932333333333	8.10033666666667
"ENSMUSG00000042506"	6.67146	6.752	6.61537	6.4456
"ENSMUSG00000042508"	6.822285	6.80117	6.72985	6.687815
"ENSMUSG00000042520"	7.478232	7.437828	7.416958	7.467
"ENSMUSG00000042524"	10.35047	10.36799	10.26909	10.2182
"ENSMUSG00000042529"	5.43631	5.31291	5.49965	5.51726
"ENSMUSG00000042535"	6.955055	7.053805	7.0137	6.919725
"ENSMUSG00000042540"	5.83007	5.64798	6.34517	6.53908
"ENSMUSG00000042541"	12.11773	12.03374	11.855195	11.934805
"ENSMUSG00000042548"	7.797365	7.858325	7.710245	7.760905
"ENSMUSG00000042549"	7.62036	7.62624	7.87884	7.84831
"ENSMUSG00000042554"	4.82092	4.80758	4.75877	4.73961
"ENSMUSG00000042557"	7.91324333333333	7.86629666666667	7.74493	7.79297
"ENSMUSG00000042558"	7.63036	7.52165	7.81477	7.90388
"ENSMUSG00000042569"	7.6512	7.83473	8.347405	8.365895
"ENSMUSG00000042570"	7.04964	7.13044	7.29354	7.27401
"ENSMUSG00000042589"	4.85875	4.78705	4.85447	4.88681
"ENSMUSG00000042590"	8.88723	8.85236	8.85712	8.86951
"ENSMUSG00000042594"	6.32702	6.30216	6.33372	6.36063
"ENSMUSG00000042596"	4.78572	5.01214	5.06356	4.97224
"ENSMUSG00000042599"	5.70994	5.64266	5.33781	5.50663
"ENSMUSG00000042604"	6.14737	6.24387	6.16828	6.19185
"ENSMUSG00000042605"	9.82245333333333	9.83522666666667	10.15203	10.2126433333333
"ENSMUSG00000042607"	5.43254	5.33283	5.608665	5.706625
"ENSMUSG00000042608"	9.1638	9.22642	9.1035	9.24254
"ENSMUSG00000042613"	9.867395	9.728425	9.34671	9.22562
"ENSMUSG00000042622"	10.32161	10.47106	10.46842	10.46702
"ENSMUSG00000042625"	7.82959666666667	7.82756666666667	7.67733333333333	7.74627666666667
"ENSMUSG00000042626"	8.22327	8.37004	8.191855	8.06265
"ENSMUSG00000042632"	8.13169	8.15503	9.09724	9.09296
"ENSMUSG00000042642"	6.198225	6.242635	6.58913	6.6250825
"ENSMUSG00000042644"	6.67931	6.61895	6.41705	6.50994
"ENSMUSG00000042650"	9.75293	9.76389	9.78325	9.90313
"ENSMUSG00000042659"	8.222045	8.202575	8.092425	8.01073
"ENSMUSG00000042660"	8.58514	8.66741	8.70794	8.41041
"ENSMUSG00000042662"	4.75181	4.97042	4.84913	4.64428
"ENSMUSG00000042670"	10.98579	10.99448	11.22008	11.2222
"ENSMUSG00000042671"	4.71047	4.74257	4.59482	4.68773
"ENSMUSG00000042675"	9.1999	9.2828	9.12784	9.16489
"ENSMUSG00000042677"	5.96134	5.93358	6.08298	6.21448
"ENSMUSG00000042678"	6.41142	6.42004	6.35259	6.55965
"ENSMUSG00000042682"	11.64259	11.53091	11.46753	11.58167
"ENSMUSG00000042684"	6.44579	6.37265	6.6962	6.38334
"ENSMUSG00000042686"	5.78219	5.80639	5.81611	5.88631
"ENSMUSG00000042688"	8.80078	9.009615	9.0204	9.040745
"ENSMUSG00000042699"	10.39807	10.431015	10.40399	10.283025
"ENSMUSG00000042709"	9.7523	9.87359	10.60925	10.61672
"ENSMUSG00000042712"	12.93037	12.86448	12.50875	12.44639
"ENSMUSG00000042717"	4.37824	4.42542	4.46059	4.52478
"ENSMUSG00000042726"	8.92058	8.86552	8.06168	8.05705
"ENSMUSG00000042729"	10.05057	10.01575	9.98542	9.94761
"ENSMUSG00000042743"	7.86843	8.01648	8.78066	8.82795
"ENSMUSG00000042745"	11.28687	11.17885	10.7725	10.67928
"ENSMUSG00000042747"	11.488045	11.46573	11.20201	11.166395
"ENSMUSG00000042750"	4.79766	4.77951	4.81092	4.82349
"ENSMUSG00000042759"	8.10109	8.00605	8.0391	8.14757
"ENSMUSG00000042763"	4.96053	4.632	4.71972	4.84972
"ENSMUSG00000042766"	7.007	6.93925	6.76782	7.04576
"ENSMUSG00000042770"	10.19267	10.28809	10.27796	10.39586
"ENSMUSG00000042784"	5.50387	5.64497	5.23423	5.64487
"ENSMUSG00000042790"	7.572415	7.484465	7.363545	7.383495
"ENSMUSG00000042793"	6.91979	6.94423	7.09235	7.17902
"ENSMUSG00000042804"	8.91362	8.95506	8.71195	8.66058
"ENSMUSG00000042808"	6.01784	5.98468	6.1194	6.09275
"ENSMUSG00000042810"	6.38497	6.29263	6.15449	6.07345
"ENSMUSG00000042812"	6.5483	6.52966	6.59601	6.48107
"ENSMUSG00000042814"	9.76237	9.82442	10.22796	10.2577
"ENSMUSG00000042817"	6.0474	5.88127	5.98722	6.10379
"ENSMUSG00000042821"	8.03893	8.0572	8.0015	7.90167
"ENSMUSG00000042826"	5.15517	5.238845	5.27309	5.238215
"ENSMUSG00000042834"	9.212905	9.42343	8.186205	8.2517
"ENSMUSG00000042842"	7.22417	7.15254	6.83497	6.7773
"ENSMUSG00000042845"	8.67387	8.81926	7.86296	7.92138
"ENSMUSG00000042854"	6.367875	6.44369	6.57638	6.58063
"ENSMUSG00000042870"	9.037545	9.05679	9.121395	9.045765
"ENSMUSG00000042901"	9.339955	9.299325	9.033795	8.96668
"ENSMUSG00000042903"	5.74492	6.16489	5.78445	5.79219
"ENSMUSG00000042962"	13.20273	13.29436	13.77784	13.82854
"ENSMUSG00000042978"	7.76146	7.84891	8.250615	8.3333
"ENSMUSG00000042985"	5.248205	5.294985	5.34742	5.528165
"ENSMUSG00000042988"	8.07062	7.97092	8.29015	8.25766
"ENSMUSG00000042992"	7.81333	7.86561	7.82943	7.84306
"ENSMUSG00000043004"	6.4345	6.41917	6.406305	6.474445
"ENSMUSG00000043013"	4.90501	4.883215	4.94562	5.04454
"ENSMUSG00000043017"	7.71452	7.50184	6.95713	6.82371
"ENSMUSG00000043019"	10.13929	10.12632	10.02733	10.0043
"ENSMUSG00000043024"	10.02374	10.019485	9.93161	9.87962
"ENSMUSG00000043050"	4.75897	4.56998	4.75173	4.73357
"ENSMUSG00000043065"	6.771075	6.75873	6.67372	6.630185
"ENSMUSG00000043068"	5.09906	5.29576	5.22069	5.33799
"ENSMUSG00000043079"	6.91805	6.95644	6.734925	6.801155
"ENSMUSG00000043085"	5.19331	5.25866	5.56809	5.58668
"ENSMUSG00000043088"	6.77332	6.89103	6.805575	6.88188
"ENSMUSG00000043089"	4.21792	4.23165	4.19556	4.36982
"ENSMUSG00000043091"	10.0978	10.08053	10.1343	10.04026
"ENSMUSG00000043099"	9.13719	9.13784	9.15691	9.05977
"ENSMUSG00000043122"	8.42019	8.33987	8.76461	8.8805
"ENSMUSG00000043131"	9.54990666666667	9.58482	9.40408333333333	9.30817666666667
"ENSMUSG00000043140"	6.73308666666667	6.62406666666667	7.10307333333333	7.02291666666667
"ENSMUSG00000043165"	5.5512	5.505335	5.588805	5.929985
"ENSMUSG00000043183"	7.19520333333333	7.29279	7.07349666666667	7.15409333333333
"ENSMUSG00000043192"	12.052495	12.087885	13.047765	13.064755
"ENSMUSG00000043207"	11.0482	11.01656	10.71164	10.70235
"ENSMUSG00000043223"	13.224182	13.25585	13.071102	13.019212
"ENSMUSG00000043241"	9.62761	9.56369	9.41157	9.44447
"ENSMUSG00000043259"	6.450835	6.514525	6.002745	5.93134
"ENSMUSG00000043262"	5.60958	5.7341	5.87691	5.82086
"ENSMUSG00000043263"	5.30976	5.287005	5.331435	5.14961
"ENSMUSG00000043284"	10.42229	10.41673	11.06453	11.03287
"ENSMUSG00000043300"	9.20598	9.23574	8.85822	8.82411
"ENSMUSG00000043301"	5.117065	5.1514275	5.13606	5.3407775
"ENSMUSG00000043313"	6.197735	6.144985	5.86042	5.7454
"ENSMUSG00000043319"	7.44612	7.47663	7.50695	7.52552
"ENSMUSG00000043329"	11.23426	11.20271	11.27101	11.29273
"ENSMUSG00000043342"	6.90513	6.84617	6.84604	6.89589
"ENSMUSG00000043346"	9.79798	9.80766	9.65145	9.57928
"ENSMUSG00000043366"	4.390335	4.33653	4.503905	4.378285
"ENSMUSG00000043384"	6.49782	6.60552	6.40666	6.5207
"ENSMUSG00000043391"	9.27541	9.31586	9.43974	9.43166
"ENSMUSG00000043411"	7.83125666666667	7.87432	8.09642666666667	8.05154666666667
"ENSMUSG00000043419"	5.21123	5.275225	5.2698	5.41304
"ENSMUSG00000043421"	9.04016	9.07306	10.25859	10.16312
"ENSMUSG00000043424"	10.61805	10.5962333333333	10.4815466666667	10.4542166666667
"ENSMUSG00000043430"	5.24482	5.13712	5.25245	5.71804
"ENSMUSG00000043439"	4.37377	4.37377	4.46628	4.5139
"ENSMUSG00000043445"	10.92819	10.9407	11.65017	11.66261
"ENSMUSG00000043448"	5.555295	5.493185	5.52174	5.811645
"ENSMUSG00000043458"	4.86058	4.98132	4.44491	4.83321
"ENSMUSG00000043461"	4.191315	4.329245	4.2213	4.29629
"ENSMUSG00000043467"	4.9979	4.97791	5.0411	4.83459
"ENSMUSG00000043472"	7.58383	7.55086	7.74316	7.6885
"ENSMUSG00000043483"	13.599515	13.611	13.52109	13.515785
"ENSMUSG00000043484"	12.60079	12.67721	13.34913	13.32732
"ENSMUSG00000043485"	4.89153	4.57473	4.79669	4.76341
"ENSMUSG00000043487"	7.19656	7.27054	7.54547	7.36086
"ENSMUSG00000043496"	5.841775	5.934755	5.798995	5.88093
"ENSMUSG00000043501"	4.92479	4.9195	4.70279	4.78388
"ENSMUSG00000043518"	6.66271	6.67304	5.55272	5.7761
"ENSMUSG00000043531"	5.02038	5.078595	5.09462	5.12414
"ENSMUSG00000043572"	6.88645	7.0672	6.96523	6.81623
"ENSMUSG00000043583"	4.63701	4.76891	4.82689	4.77002
"ENSMUSG00000043613"	9.86313	9.58162	9.26255	9.45169
"ENSMUSG00000043621"	4.946875	4.879805	4.970895	4.95131
"ENSMUSG00000043670"	5.78591666666667	5.79562	5.86171	5.92156
"ENSMUSG00000043683"	8.1373	8.10469	8.23035	8.2023
