"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000001120"	7.62334	7.77538	7.725215	7.82995
"ENSMUSG00000001123"	11.23597	11.25559	10.93296	10.71093
"ENSMUSG00000001127"	8.80283	8.83805	8.97861	8.92016
"ENSMUSG00000001128"	7.21529	7.43921	7.03715	7.05615
"ENSMUSG00000001131"	14.3946	14.35052	14.29121	14.20094
"ENSMUSG00000001138"	6.338855	6.3844425	6.397505	6.4729525
"ENSMUSG00000001150"	8.53696	8.46987	8.34502	8.20544
"ENSMUSG00000001155"	5.05468	5.01214	5.02692	5.01631
"ENSMUSG00000001156"	5.95635	5.91857	5.82521	5.87547
"ENSMUSG00000001157"	7.61415333333333	7.58539	7.63897333333333	7.46751666666667
"ENSMUSG00000001158"	11.447885	11.469885	11.596565	11.578535
"ENSMUSG00000001166"	5.62236	5.61591	5.82132	5.94417
"ENSMUSG00000001168"	4.55499	4.64434	4.63343	4.73819
"ENSMUSG00000001175"	12.59357	12.5628175	12.40007	12.44549
"ENSMUSG00000001211"	10.34968	10.29835	11.75094	11.81044
"ENSMUSG00000001225"	4.36416	4.401485	4.336815	4.47915
"ENSMUSG00000001227"	6.72521	6.7174	6.82046	6.85502
"ENSMUSG00000001228"	7.404995	7.396665	7.39963	7.23076
"ENSMUSG00000001240"	9.90963333333333	9.96191	9.75543333333333	9.74786666666667
"ENSMUSG00000001247"	6.73994	6.51475	6.63586	6.77019
"ENSMUSG00000001248"	8.77123	8.81292	8.76902	8.81071
"ENSMUSG00000001249"	5.4174	5.26987	5.43922	5.70716
"ENSMUSG00000001260"	4.146245	4.0802	4.15758	4.188725
"ENSMUSG00000001270"	10.64488	10.59736	10.20569	10.16311
"ENSMUSG00000001280"	7.65984	7.674115	7.557685	7.48282
"ENSMUSG00000001281"	5.92709	5.96818	5.96584	6.17829
"ENSMUSG00000001285"	8.97821	9.01697	9.0356	8.96432
"ENSMUSG00000001288"	6.802145	6.812735	6.78348	6.877795
"ENSMUSG00000001289"	11.735755	11.66552	11.474715	11.501695
"ENSMUSG00000001300"	8.32131	8.2244325	8.03772	7.95678
"ENSMUSG00000001305"	9.69057	9.65371	9.48824	9.51567
"ENSMUSG00000001313"	7.86683	7.93942	7.38603	7.48214
"ENSMUSG00000001323"	6.933105	6.97656	7.10145	7.0442375
"ENSMUSG00000001333"	5.37737666666667	5.38816	5.25848	5.40585
"ENSMUSG00000001348"	9.81813	9.96043	9.53443	9.39818
"ENSMUSG00000001349"	10.82701	10.55534	9.95903	9.54876
"ENSMUSG00000001366"	9.3276	9.267965	9.45629	9.43348
"ENSMUSG00000001376"	8.94347	8.89148	9.11559	8.95705
"ENSMUSG00000001380"	10.55489	10.493155	10.34549	10.28204
"ENSMUSG00000001383"	8.12232	8.124755	7.93367	8.11098
"ENSMUSG00000001403"	10.21444	10.07444	10.00384	9.91203
"ENSMUSG00000001415"	6.85631	6.78791	7.03915	6.86227
"ENSMUSG00000001416"	11.972665	11.9199975	11.94955	11.85356
"ENSMUSG00000001418"	10.95958	10.9898	10.58929	10.62965
"ENSMUSG00000001419"	7.85486	7.98637	8.184825	8.174635
"ENSMUSG00000001420"	5.00313	5.03445	5.26838	5.12966
"ENSMUSG00000001424"	10.00805	9.92526	9.77447	9.69639
"ENSMUSG00000001435"	8.860285	8.925315	8.6299	8.531555
"ENSMUSG00000001436"	8.72438	8.72117	8.921845	8.796425
"ENSMUSG00000001440"	11.0111766666667	10.9990133333333	10.81577	10.7585666666667
"ENSMUSG00000001441"	10.041465	9.98665	10.15367	10.162725
"ENSMUSG00000001444"	4.31036	4.30658	4.40648	4.47313
"ENSMUSG00000001445"	10.19532	10.22012	10.52005	10.5385
"ENSMUSG00000001467"	8.70371333333333	8.77770666666667	9.04288666666667	9.05498333333333
