"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000248"	3.91732	3.73984	4.06466	3.39468	3.47757	3.61102	3.58292	3.55964	3.3619	3.30684	3.41703	3.48932	3.28348	3.72917	3.53474	3.79946	3.41092	3.25932
"ENSMUSG00000000253"	8.62809	7.87295	8.03757	12.40896	12.16327	12.48114	7.30901	6.89508	7.0813	8.16909	9.43618	8.57622	8.10003	10.68392	9.37256	8.87827	11.21588	10.8707
"ENSMUSG00000000263"	4.26933	4.11887	4.101005	4.358225	4.663315	4.373045	3.845795	4.083865	4.057625	3.888055	3.904005	4.03343	3.882585	4.071385	3.9172	3.99512	4.24205	4.03309
"ENSMUSG00000000266"	5.336115	5.191815	5.26576	5.44863	5.51177	5.655635	5.053155	5.68277	4.98912	5.18507	6.58342	5.46651	5.38801	5.70315	6.22794	5.77546	5.981165	5.88856
"ENSMUSG00000000275"	9.45258333333333	9.54285333333333	9.51164	9.32452666666667	9.08930333333333	9.16936666666667	9.44470666666667	9.50888666666667	9.60371	9.43812333333333	8.84657666666667	9.50303666666667	9.45873666666667	9.37646666666667	8.85945333333333	9.32885	9.44454666666667	9.35325333333333
"ENSMUSG00000000276"	7.08924333333333	7.00828666666667	6.81449666666667	7.09484666666667	7.03670666666667	7.05410333333333	6.67524	6.94517666666667	6.84242333333333	6.82357333333333	6.95868666666667	6.80345666666667	7.00311333333333	7.16696666666667	6.78379333333333	6.83486333333333	7.44881333333333	7.42497
"ENSMUSG00000000278"	9.801555	10.134255	10.05293	10.613695	10.363745	10.59446	10.17597	9.925915	10.12168	10.080555	9.80051	9.952265	9.99782	10.23046	10.207525	10.15662	10.230815	10.24057
"ENSMUSG00000000282"	7.625	7.89016	7.748105	7.648875	7.7392	7.837345	7.84216	7.76002	7.90598	7.78025	7.825685	7.854125	7.869945	7.789985	7.710105	7.8919	7.937105	7.85427
"ENSMUSG00000000290"	9.72786	9.80319	9.91537	6.60403	7.40026	6.93198	10.02735	9.51224	10.81678	10.99713	8.67006	10.96045	11.0799	8.05426	9.20642	10.85395	7.08356	7.64651
"ENSMUSG00000000295"	11.12284	10.95675	11.0467	11.41701	11.49696	11.42004	11.04716	10.8312	10.80883	10.61196	10.55971	10.81086	10.79369	11.67798	10.65249	10.68828	11.76585	11.72282
"ENSMUSG00000000296"	7.97505	7.86696	7.94341	9.59289	9.47287	9.44487	8.47176	8.02403	7.60758	7.67241	8.83369	7.92699	8.39741	9.43151	8.70021	8.18845	9.5226	9.48801
"ENSMUSG00000000301"	9.03452	9.06722	8.78721	9.03638	9.26308	8.7543	8.37598	8.73653	8.45203	8.31699	8.64648	8.10069	8.22383	8.90898	8.62039	7.92267	9.10429	9.04653
