"gWAT_M02(r1)"	"gWAT_M02(r2)"	"BAT_M02(r1)"	"BAT_M02(r2)"
"ENSMUSG00000001785"	7.014715	6.73049	6.49219	6.677025
"ENSMUSG00000001786"	8.86895	9.10368	9.08954	9.12985
"ENSMUSG00000001794"	12.00197	12.04581	12.12651	12.10308
"ENSMUSG00000001802"	5.10302	5.85204	5.40179	5.43778
"ENSMUSG00000001815"	3.40952	3.71145	3.33349	3.13254
"ENSMUSG00000001819"	2.713015	2.810765	2.59477	2.834045
"ENSMUSG00000001823"	3.41732	3.68067	3.44797	2.93819
"ENSMUSG00000001827"	4.38685	3.90368	3.56728	3.02712
"ENSMUSG00000001829"	10.7140025	10.9255325	11.2488275	11.3072625
"ENSMUSG00000001833"	10.70723	10.5691	10.79469	10.64888
"ENSMUSG00000001844"	8.99983	9.46572	9.42155	9.40696
"ENSMUSG00000001847"	11.81667	11.40041	11.4147	11.341235
"ENSMUSG00000001855"	8.186925	8.31249	7.826675	7.81993
"ENSMUSG00000001864"	4.12171333333333	3.72678333333333	4.94844333333333	4.66379
"ENSMUSG00000001865"	5.14471	3.87293	3.7284	4.12215
"ENSMUSG00000001870"	4.4168675	4.2911625	4.7821525	4.70543
"ENSMUSG00000001891"	10.49936	10.609868	11.102346	11.194292
"ENSMUSG00000001909"	8.54570333333333	8.61935333333333	8.24143666666667	8.41111333333333
"ENSMUSG00000001910"	5.81122333333333	6.20141	5.55846666666667	5.94879666666667
"ENSMUSG00000001911"	8.73376	9.15647	8.37826	8.741494
"ENSMUSG00000001918"	12.42265	12.5917	11.84741	12.04778
"ENSMUSG00000001924"	8.059	8.43194	8.24076	8.18816
"ENSMUSG00000001930"	6.97066	6.19141	7.73813	6.76958
"ENSMUSG00000001942"	8.40395	8.20686666666667	7.76583	8.11028
"ENSMUSG00000001943"	6.0944	4.90612	8.6076	7.91269
"ENSMUSG00000001946"	8.7213	7.56704	11.2709	10.52307
"ENSMUSG00000001948"	8.09149	8.08753	8.49847	8.82626
"ENSMUSG00000001962"	9.75003	9.72659	9.6575	9.52249
"ENSMUSG00000001964"	10.918765	10.925675	10.90747	10.875055
"ENSMUSG00000001985"	3.069645	3.084045	3.20462	3.536165
"ENSMUSG00000001986"	4.085635	3.53882	3.13816	3.3966
"ENSMUSG00000001988"	4.49503	4.65719	4.45356	4.55217
"ENSMUSG00000001995"	9.99848	9.58568	10.62221	10.23717
"ENSMUSG00000001998"	8.402305	8.50367	8.651105	8.570485
"ENSMUSG00000001999"	11.80922	11.33864	10.88205	11.01351
"ENSMUSG00000002006"	6.23598	5.1837	7.36966	6.63854
"ENSMUSG00000002007"	3.35896666666667	3.41401666666667	3.69007	3.49857666666667
"ENSMUSG00000002010"	12.291505	12.28881	13.196225	13.19835
"ENSMUSG00000002012"	4.49503	5.21397	4.09635	4.34115
"ENSMUSG00000002014"	7.51071666666667	7.65539666666667	7.41063	7.50189333333333
"ENSMUSG00000002015"	12.68532	12.74322	12.365905	12.527715
"ENSMUSG00000002017"	10.92102	11.18861	10.81665	10.95252
"ENSMUSG00000002020"	7.39943	7.65045	10.27408	10.11104
"ENSMUSG00000002028"	7.19379666666667	7.34932666666667	7.49230666666667	7.60067
"ENSMUSG00000002031"	9.32391	9.68135	8.69033	9.00138
"ENSMUSG00000002032"	3.98556	4.01478	5.3818	4.804785
"ENSMUSG00000002033"	3.68786	2.61755	3.17219	2.82076
"ENSMUSG00000002043"	8.77744	8.74947	8.69286	8.70433
"ENSMUSG00000002052"	11.11826	11.3639	11.21044	10.99003
"ENSMUSG00000002055"	4.52741333333333	3.41840333333333	3.37630333333333	3.15313
"ENSMUSG00000002057"	3.027245	3.207795	2.968395	3.144165
"ENSMUSG00000002058"	9.41971	10.00999	8.28562	8.78507
"ENSMUSG00000002059"	9.036825	9.46877	8.973895	8.627765
"ENSMUSG00000002064"	11.29469	11.33058	10.96807	11.05002
"ENSMUSG00000002068"	7.26422	7.670725	6.24574	6.611235
"ENSMUSG00000002076"	4.24873	3.909775	3.978075	3.92655
"ENSMUSG00000002083"	6.04959	6.57761	5.758	6.07766
"ENSMUSG00000002100"	4.62124	4.46142	4.15658	4.33317
"ENSMUSG00000002102"	12.36016	12.45791	12.08364	12.24971
"ENSMUSG00000002103"	10.03846	9.91159666666667	9.13076666666667	9.42279666666667
"ENSMUSG00000002104"	4.48715	4.51725	4.40379	4.69309
"ENSMUSG00000002105"	8.45867	8.77346	8.30415	8.16652
"ENSMUSG00000002107"	8.08593285714286	8.31867285714286	7.60506142857143	7.76799285714286
"ENSMUSG00000002108"	9.84989	10.20348	9.31762	9.37966
"ENSMUSG00000002109"	9.804815	9.59272	9.233285	9.4249
"ENSMUSG00000002111"	9.26617	7.24443	5.88343	5.76457
"ENSMUSG00000002129"	6.79073	6.70737333333333	6.76002666666667	6.86436666666667
"ENSMUSG00000002147"	9.461765	9.481815	8.696525	8.646625
"ENSMUSG00000002190"	3.89193666666667	3.57222	3.87687666666667	3.79526666666667
"ENSMUSG00000002204"	5.47266	4.448075	4.025775	3.829835
"ENSMUSG00000002205"	8.25527	8.42157	8.62645	8.7585
"ENSMUSG00000002210"	7.30285	7.25846	7.17251	6.97773
"ENSMUSG00000002221"	7.11506333333333	7.21241666666667	7.92591	7.4419
"ENSMUSG00000002222"	9.22083	9.19939	8.79651	9.3898
"ENSMUSG00000002227"	5.0973	5.286755	5.30923	4.871085
"ENSMUSG00000002228"	4.31319	4.13153	5.73144	5.58537
"ENSMUSG00000002233"	11.41492	11.09506	10.72672	10.67353
"ENSMUSG00000002240"	2.77896	2.7533	2.83937	2.98426
"ENSMUSG00000002249"	4.22517	4.84678	4.27326	4.46594
"ENSMUSG00000002250"	5.061255	5.189655	4.997305	4.79075
"ENSMUSG00000002257"	6.25966	5.0157	6.17331	5.73957
