"gWAT_M02(r1)"	"gWAT_M02(r2)"	"BAT_M02(r1)"	"BAT_M02(r2)"
"ENSMUSG00000049488"	2.63265	2.33994	2.51478	3.09854
"ENSMUSG00000049489"	7.4009	7.46938	8.34803	8.0182
"ENSMUSG00000049491"	2.92419	2.86593	2.85032	2.56547
"ENSMUSG00000049493"	2.72378	2.35093	2.5164	2.90561
"ENSMUSG00000049502"	10.64897	10.3945	10.18396	10.34896
"ENSMUSG00000049504"	5.17092333333333	5.26638333333333	5.63848666666667	5.62300333333333
"ENSMUSG00000049511"	3.687125	4.0858	3.48686	3.60243
"ENSMUSG00000049516"	6.868605	6.829345	6.996545	6.71491
"ENSMUSG00000049517"	13.31017	13.22677	13.16848	13.08454
"ENSMUSG00000049521"	8.6598	9.37291	8.54752	8.21505
"ENSMUSG00000049526"	7.69084	6.80583	4.98986	5.0077
"ENSMUSG00000049532"	5.01568	5.17404	6.15355	5.62107
"ENSMUSG00000049536"	7.68501	8.10223	7.73529	7.77088
"ENSMUSG00000049537"	2.42599	2.43427	3.19723	3.24263
"ENSMUSG00000049538"	2.58205	2.37957	2.5145	2.26356
"ENSMUSG00000049548"	2.64847	2.94133	2.51312	2.98817
"ENSMUSG00000049550"	8.24497	8.497655	8.34603	8.1122325
"ENSMUSG00000049551"	3.69685	4.18265	3.75013	4.20843
"ENSMUSG00000049553"	6.54667666666667	6.99183	6.12890666666667	6.12882666666667
"ENSMUSG00000049555"	3.75530333333333	3.79788666666667	5.95187	6.13438666666667
"ENSMUSG00000049556"	4.867695	4.848985	4.50641	4.572935
"ENSMUSG00000049562"	5.81075	5.95645	5.3436	5.35332
"ENSMUSG00000049565"	3.12362	3.42161	3.17764	3.72202
"ENSMUSG00000049571"	2.68101	2.63464	2.3485	3.11359
"ENSMUSG00000049576"	5.814715	5.601845	4.88486	5.47367
"ENSMUSG00000049577"	5.042345	5.09173	5.805525	5.77608
"ENSMUSG00000049580"	5.28642	5.58281	6.14777	6.11137
"ENSMUSG00000049583"	2.34657	2.28783	3.123325	3.664005
"ENSMUSG00000049588"	8.347475	9.000455	9.586495	9.051525
"ENSMUSG00000049593"	2.94627	3.07812	2.87098	2.81448
"ENSMUSG00000049598"	6.46071	4.77718	4.17861	3.98106
"ENSMUSG00000049600"	6.325715	6.21862	6.70858	6.39122
"ENSMUSG00000049604"	3.51511	3.7317	3.64971	3.76311
"ENSMUSG00000049606"	7.49345666666667	7.63416333333333	7.86521	8.03913333333333
"ENSMUSG00000049612"	3.55591	3.3144	3.56924	3.87031
"ENSMUSG00000049624"	8.26249	7.94421	7.90892	7.4883
"ENSMUSG00000049625"	7.17625	5.16373	4.501315	3.903675
"ENSMUSG00000049630"	3.77018	3.9731	4.054475	3.834955
"ENSMUSG00000049641"	3.37532	3.42469	3.93516	3.01411
"ENSMUSG00000049643"	9.71881	8.74752	8.7985	8.65189
"ENSMUSG00000049649"	4.83473	4.97189	5.16495	5.05016
"ENSMUSG00000049653"	2.91915	3.23292	2.63386	2.43098
"ENSMUSG00000049657"	7.05694	7.44937	6.78371	7.01689
"ENSMUSG00000049658"	7.97018	8.08676	7.9833	7.92896
"ENSMUSG00000049659"	6.00336	5.66056	5.91007	5.69504
"ENSMUSG00000049670"	5.86697	8.18245	4.97189	5.2055
"ENSMUSG00000049672"	9.0040175	9.076645	8.877065	8.659065
"ENSMUSG00000049676"	4.14105	4.09144	3.571845	3.723875
"ENSMUSG00000049680"	7.07363	7.44222	7.857125	7.8720775
"ENSMUSG00000049685"	2.43781	2.52065	2.61722	2.86176
"ENSMUSG00000049686"	5.922625	5.796415	5.671085	5.50538
"ENSMUSG00000049687"	6.69609	6.22128	4.49423	5.0851
"ENSMUSG00000049690"	6.13713	6.00132	6.34652	5.50529
"ENSMUSG00000049691"	2.89898	3.07568	2.83171	2.76094
"ENSMUSG00000049692"	2.99389	3.06993	2.64475	2.52206
"ENSMUSG00000049694"	2.76242	2.57869	2.60107	2.58008
"ENSMUSG00000049699"	3.03726	3.06251	2.75017	2.85828
"ENSMUSG00000049709"	5.56898	3.65911	3.20992	3.1777
"ENSMUSG00000049717"	7.69484	8.12956	7.9142	8.1248
"ENSMUSG00000049719"	4.32645	3.53272	3.1119	3.22658
"ENSMUSG00000049721"	4.13103	4.05714	4.05139	4.17423
"ENSMUSG00000049723"	12.43866	9.20923	8.71649	5.39247
"ENSMUSG00000049728"	4.78581	4.94044	4.90841	4.8146
"ENSMUSG00000049734"	9.25466	8.85483	8.53559	8.62932
"ENSMUSG00000049739"	5.27905	5.61797	5.34403	5.696995
"ENSMUSG00000049740"	3.4353	3.33669	3.23844	3.37369
"ENSMUSG00000049744"	5.60004666666667	4.85151666666667	4.24372666666667	3.96639
"ENSMUSG00000049751"	12.63767	12.64959	12.26257	12.34076
"ENSMUSG00000049755"	5.39063	5.8373	6.38512	6.073005
"ENSMUSG00000049760"	10.69291	10.79784	11.08139	11.25299
"ENSMUSG00000049764"	8.02311	8.26845	7.49626	7.59335
"ENSMUSG00000049775"	13.42848	12.85021	13.4229	13.19608
"ENSMUSG00000049791"	9.67506	9.878625	7.9415	8.430955
"ENSMUSG00000049792"	6.700385	6.816035	7.024175	6.965255
"ENSMUSG00000049796"	2.04116	1.92015	2.12315	2.4864
"ENSMUSG00000049799"	2.014705	2.00019	2.04682	2.26237
"ENSMUSG00000049800"	7.175145	6.81395	7.184925	6.970375
"ENSMUSG00000049804"	6.30326	5.0443	7.24971	7.27599
"ENSMUSG00000049807"	6.65165	6.778495	6.262135	6.264575
"ENSMUSG00000049809"	2.39259	2.2871	2.18238	2.21414
"ENSMUSG00000049811"	7.399885	8.36041	7.321955	7.08406
"ENSMUSG00000049823"	5.16585	5.1474	5.21151	5.11447
"ENSMUSG00000049832"	12.2953	12.1908	12.20515	12.362495
"ENSMUSG00000049858"	6.85743	6.75703	7.98949	8.11799
"ENSMUSG00000049866"	8.04838	6.82007	6.79586	6.692425
"ENSMUSG00000049871"	4.635595	3.244525	3.27349	3.33805
"ENSMUSG00000049872"	6.99649	7.16012	4.6312	4.8646
"ENSMUSG00000049878"	6.8485	6.613585	6.769485	6.491025
"ENSMUSG00000049881"	9.01834	8.39719	10.19328	10.35652
"ENSMUSG00000049882"	6.87959	7.08781	6.55575	6.88407
"ENSMUSG00000049891"	10.00679	9.73026	10.4937	10.27843
"ENSMUSG00000049892"	9.33454	9.77318	9.31722	9.34504
"ENSMUSG00000049902"	2.68626	2.84202	2.57799	2.44534
"ENSMUSG00000049904"	7.43741	7.55429	6.563	6.79991
"ENSMUSG00000049907"	9.10978	10.27682	7.60254	8.05766
"ENSMUSG00000049908"	4.45502	4.39135	4.45553	4.39751
"ENSMUSG00000049916"	3.9888	3.33964	3.24586	3.19377
"ENSMUSG00000049922"	7.0864	7.3	6.83278	6.6946
"ENSMUSG00000049929"	6.16294666666667	5.84033	5.36614333333333	5.9
"ENSMUSG00000049932"	6.98165	6.83803	6.84273	6.23007
"ENSMUSG00000049939"	4.744005	5.24299	3.4467	3.70212
"ENSMUSG00000049940"	10.98504	11.28437	11.09144	11.176115
"ENSMUSG00000049946"	3.61634	3.77688	4.02243	3.83735
"ENSMUSG00000049957"	7.75634	8.19966	7.74236	7.87521
"ENSMUSG00000049960"	10.64297	10.91503	11.16656	11.36637
"ENSMUSG00000049969"	8.03744	7.663975	7.881855	8.04125
"ENSMUSG00000049985"	2.41039	2.77072	2.4696	2.4504
"ENSMUSG00000049999"	8.24885	9.12301	9.17687	9.4556
"ENSMUSG00000050002"	10.97075	11.06142	11.29844	11.22683
"ENSMUSG00000050010"	2.49785	2.44475	2.39604	2.430695
"ENSMUSG00000050017"	9.8859675	10.27009	9.8745475	10.02395
"ENSMUSG00000050022"	7.7541	5.46942	5.28622	5.43237
"ENSMUSG00000050029"	10.58156	10.40789	10.43508	10.5120833333333
"ENSMUSG00000050035"	3.190895	3.51109	2.705795	2.75585
"ENSMUSG00000050043"	11.03543	11.25141	10.958545	11.284685
"ENSMUSG00000050050"	4.80171	3.83697	3.67619	4.31233
"ENSMUSG00000050052"	10.97129	11.3517	10.18723	10.71021
"ENSMUSG00000050058"	4.29234	4.51289	4.55133	4.29389
"ENSMUSG00000050063"	3.6256	3.75647	3.47205	3.51686
"ENSMUSG00000050064"	5.97483666666667	6.459	5.22316333333333	5.60369333333333
"ENSMUSG00000050069"	4.12019	7.39806	3.19527	2.5877
"ENSMUSG00000050071"	4.41265	2.63734	2.63734	2.66076
"ENSMUSG00000050074"	3.10648	4.37755	2.38648	2.73388
"ENSMUSG00000050075"	4.20466	5.14399	4.5835	4.16069
"ENSMUSG00000050079"	9.334985	9.311595	8.99475	9.157985
"ENSMUSG00000050087"	3.2631	3.52557	3.26788	3.09573
"ENSMUSG00000050088"	8.72666	8.699185	8.31806	8.31612
"ENSMUSG00000050089"	2.27510333333333	2.39709666666667	2.18224	2.36362
"ENSMUSG00000050097"	2.58153	2.35623	2.7362	2.641
"ENSMUSG00000050100"	3.29519	3.38147	3.26743	3.29519
"ENSMUSG00000050103"	9.7191	9.74091	10.06189	9.7238
"ENSMUSG00000050105"	5.48882	5.29852	7.29667	6.69443
"ENSMUSG00000050106"	5.81385	5.92435	6.43695	6.24225
"ENSMUSG00000050107"	3.72232	3.3564	2.94387	3.33114
"ENSMUSG00000050108"	2.2278	2.59233	2.37116	2.50499
"ENSMUSG00000050114"	3.46777	3.49038	2.78285	3.23879
"ENSMUSG00000050121"	4.77805	4.91979	4.87051	5.1227
"ENSMUSG00000050122"	2.57572	3.14383	2.53834	2.63863
"ENSMUSG00000050132"	3.33399333333333	3.25472333333333	3.05996666666667	3.54991
"ENSMUSG00000050138"	3.37724	3.73825	3.59639	3.48773
"ENSMUSG00000050144"	9.903335	10.206915	10.230305	10.881385
"ENSMUSG00000050147"	2.72592	2.69434	4.04196	3.14261
"ENSMUSG00000050148"	8.23782	8.226125	7.828755	7.644585
"ENSMUSG00000050150"	2.762822	2.828522	2.72685	2.644336
"ENSMUSG00000050164"	3.13268333333333	3.34281	3.16285666666667	3.05173333333333
"ENSMUSG00000050174"	8.12134	8.95533	9.24148	8.9584
"ENSMUSG00000050179"	2.24457	2.47248	2.32508	2.40467
"ENSMUSG00000050188"	9.28747	9.53341	8.50956	9.19918
"ENSMUSG00000050189"	3.3715	3.59727	3.36121	3.45453
"ENSMUSG00000050192"	7.140105	6.451335	6.2828	6.430125
"ENSMUSG00000050197"	2.96047	2.83244	3.53522	3.27435
"ENSMUSG00000050199"	6.442275	6.537795	6.003885	6.056635
"ENSMUSG00000050201"	2.93722	3.02518	2.74035	2.61474
"ENSMUSG00000050211"	2.93398	3.25996	2.75017	2.79965
"ENSMUSG00000050212"	8.09497	8.79696	8.46027	8.36475
"ENSMUSG00000050213"	7.66244	8.05131	8.13693	7.89306
"ENSMUSG00000050215"	2.24171	2.6334	2.1264	2.40834
"ENSMUSG00000050222"	4.65179	5.74502	2.3366	2.13694
"ENSMUSG00000050224"	2.4163	2.74299	2.17915	2.39038
"ENSMUSG00000050229"	5.03012	5.14942	4.834255	4.94927
"ENSMUSG00000050232"	7.57104	5.95233	4.31619	4.97033
"ENSMUSG00000050234"	5.79018	5.2656	7.22645	6.62157
"ENSMUSG00000050240"	4.88325666666667	5.08674666666667	4.91429666666667	4.83150333333333
"ENSMUSG00000050241"	3.20043	3.21354	3.15373	3.09309
"ENSMUSG00000050243"	9.55634	9.51142	9.16675	9.50576
"ENSMUSG00000050244"	5.795875	5.74025	5.72721	5.739
"ENSMUSG00000050248"	7.26243	7.75279	5.30671	4.98625
"ENSMUSG00000050266"	2.45915	2.73032	2.61246	2.64192
"ENSMUSG00000050271"	5.580995	5.25964	7.06199	6.439955
"ENSMUSG00000050272"	3.4354	3.48685666666667	3.49522333333333	3.32265
"ENSMUSG00000050276"	2.75197	2.66714	2.4565	2.54786
"ENSMUSG00000050288"	6.33568	5.99443	4.21394666666667	4.23688666666667
"ENSMUSG00000050295"	5.25476333333333	5.551	5.47658333333333	4.98193333333333
"ENSMUSG00000050296"	2.35221	2.2467	2.4222	2.35221
"ENSMUSG00000050299"	12.81165	12.72183	12.48981	12.46333
"ENSMUSG00000050304"	3.1425	3.51772	4.13351	3.90137
"ENSMUSG00000050310"	6.8348	6.79985	7.40062	6.86571
"ENSMUSG00000050312"	5.86993666666667	5.92018	5.95638666666667	6.23359333333333
"ENSMUSG00000050315"	9.921535	9.75178	7.4736	7.1964175
"ENSMUSG00000050321"	2.62898	2.52573	2.474725	2.59267
"ENSMUSG00000050323"	7.48036	7.85458	8.80013	8.65621
"ENSMUSG00000050332"	7.77132	8.436215	7.65272	7.488385
"ENSMUSG00000050334"	2.229635	2.182035	2.597055	2.612345
"ENSMUSG00000050335"	12.9042	11.95359	9.96883	9.05428
"ENSMUSG00000050345"	7.30214	7.45097	7.01657	6.85864
"ENSMUSG00000050350"	4.30938	3.43429	3.74124	4.43133
"ENSMUSG00000050357"	3.49028	3.56433	3.89656	4.03003
"ENSMUSG00000050359"	3.613	3.9888	3.2388	3.65569
"ENSMUSG00000050368"	2.53096	2.41385	2.95933	3.3848
"ENSMUSG00000050370"	5.17435	5.52769	5.43868	5.41585
"ENSMUSG00000050373"	6.363015	6.539945	6.982005	6.63901
"ENSMUSG00000050377"	3.72539	3.516195	3.36648	3.37673
"ENSMUSG00000050379"	4.79301571428571	5.02957142857143	4.15888571428571	4.26663428571429
"ENSMUSG00000050382"	6.22182	6.57739	6.17257	5.47283
"ENSMUSG00000050383"	2.515015	2.5933	2.448235	2.467835
"ENSMUSG00000050390"	7.48371	6.04675	6.69425	5.74398
"ENSMUSG00000050394"	4.66692	4.08022	4.46494	4.44927
"ENSMUSG00000050397"	2.40838	2.31947	2.33448	2.53953
"ENSMUSG00000050410"	7.97038	8.12323	7.05576	7.05133
"ENSMUSG00000050423"	2.80303	3.12592	3.45516	3.3402
"ENSMUSG00000050424"	2.91917	2.86414	2.75639	2.80877
"ENSMUSG00000050428"	6.87892	7.1216	6.68737	6.96086
"ENSMUSG00000050439"	3.09191	2.37982	2.39025	2.64086
"ENSMUSG00000050440"	2.33889	2.627555	2.652625	2.82409
"ENSMUSG00000050445"	3.10648	2.56713	2.49142	2.53769
"ENSMUSG00000050447"	4.03568666666667	4.33160666666667	2.99123333333333	3.48257666666667
"ENSMUSG00000050463"	4.95866	5.38138	5.01768	5.06027
"ENSMUSG00000050468"	2.57432	2.50669	2.45204	2.8557
"ENSMUSG00000050471"	8.67493	7.814825	8.11172	7.94808
"ENSMUSG00000050473"	2.39073	2.55616	2.95746	3.19682
"ENSMUSG00000050490"	11.348845	11.343185	11.01722	11.19643
"ENSMUSG00000050493"	5.1551	4.93699	4.97321	4.96339
"ENSMUSG00000050505"	2.788905	2.74997	2.77806	3.00178
"ENSMUSG00000050511"	2.86668	2.84211	2.89158	3.02868
"ENSMUSG00000050520"	2.59731	2.07186	3.39194	3.71338
"ENSMUSG00000050530"	5.40346	5.00574	6.51693	6.2422
"ENSMUSG00000050533"	7.49715	7.5006	7.27777	7.03233
"ENSMUSG00000050534"	2.64231	2.42225	2.42225	2.57685
"ENSMUSG00000050538"	3.60427	3.820885	3.81748	3.390505
"ENSMUSG00000050541"	4.36499	4.6984	4.2848	4.38395
"ENSMUSG00000050549"	10.186965	10.516515	9.999445	9.981185
"ENSMUSG00000050550"	9.84746	9.40823	9.59377	9.48355
"ENSMUSG00000050552"	9.87301	10.22193	9.37768	9.92575
"ENSMUSG00000050553"	2.69746	2.64479	2.90409	2.69591
"ENSMUSG00000050555"	3.82593	3.91231	3.576	4.63609
"ENSMUSG00000050556"	4.38629	4.662235	4.926645	5.027745
"ENSMUSG00000050558"	2.502135	2.57667	2.57242	2.64303
"ENSMUSG00000050565"	10.7145425	10.746195	10.6337625	10.6763525
"ENSMUSG00000050567"	8.142325	8.221105	8.38733	8.165695
"ENSMUSG00000050578"	4.73855	3.75749	3.62701	2.80338
"ENSMUSG00000050587"	6.47915	7.06232	4.52622	4.88852
"ENSMUSG00000050592"	5.98802	5.93888	5.81075	6.02668
"ENSMUSG00000050605"	6.23401	6.43504	5.89804	6.00243
"ENSMUSG00000050608"	10.4367333333333	10.6611166666667	11.20297	11.1572333333333
"ENSMUSG00000050612"	3.94088	4.12266	3.78669	3.85114
"ENSMUSG00000050619"	4.41178	4.49959	4.49959	4.67737
"ENSMUSG00000050621"	13.43845	13.36272	13.40268	13.20806
"ENSMUSG00000050623"	3.33917	3.58299	4.0763	4.96035
"ENSMUSG00000050627"	9.05942	9.249365	8.859775	9.1461
"ENSMUSG00000050628"	10.79617	10.66247	10.5657	10.45561
"ENSMUSG00000050635"	2.31368	2.24002	2.29363	2.32601
"ENSMUSG00000050640"	3.838105	3.986725	3.18903	3.48841
"ENSMUSG00000050641"	2.78494	3.1747	2.80908	2.86813
"ENSMUSG00000050645"	2.89621	2.72069	2.20382	2.47687
"ENSMUSG00000050650"	2.11499	2.29445	2.29445	2.50493
"ENSMUSG00000050663"	7.43263	8.2413	4.97052	5.55475
"ENSMUSG00000050666"	8.53752	8.69113	8.4835	7.91087
"ENSMUSG00000050668"	3.9888	4.03881	3.83697	3.86576
"ENSMUSG00000050675"	4.35837	4.68509	5.323	5.35861
"ENSMUSG00000050677"	4.11563	4.05122	3.49214	3.61387
"ENSMUSG00000050685"	1.84171	2.24866	2.05902	2.1053
"ENSMUSG00000050697"	8.20375	8.50101	8.2171	8.31221
"ENSMUSG00000050700"	3.89607	4.00604	3.56915	3.56915
"ENSMUSG00000050704"	3.10648	3.02868	3.04942	3.08538
"ENSMUSG00000050705"	7.7025075	8.206075	8.9081425	8.934875
"ENSMUSG00000050708"	13.385765	13.202685	12.773485	12.93189
"ENSMUSG00000050711"	2.87073	2.63199	2.42519	2.82886
"ENSMUSG00000050714"	6.42712	6.79052	6.70698	6.82347
"ENSMUSG00000050721"	8.76827	6.67048	6.88631	6.17882
"ENSMUSG00000050730"	4.99494	5.405875	5.199175	5.29427
"ENSMUSG00000050732"	11.31833	11.00158	10.68649	10.7666
"ENSMUSG00000050737"	8.93925333333333	9.80174333333333	6.88369333333333	8.25374666666667
"ENSMUSG00000050747"	2.98392	3.31507	3.12306	3.15895
"ENSMUSG00000050751"	3.70092	3.36392	2.35545	2.85872
"ENSMUSG00000050756"	2.38476	2.46277	2.44045	2.74305
"ENSMUSG00000050761"	4.118225	4.80794	4.175655	4.32088
"ENSMUSG00000050762"	5.62174	6.26565	5.62782	5.56729
"ENSMUSG00000050766"	2.53669	2.43259	2.26725	2.57685
"ENSMUSG00000050777"	7.89723	7.02406	8.05687	8.21376
"ENSMUSG00000050783"	2.459525	2.42276	2.457995	2.80216
"ENSMUSG00000050786"	6.73819	6.55328	6.7497	6.62377
"ENSMUSG00000050796"	6.30900666666667	6.54890333333333	6.53873333333333	6.72034
"ENSMUSG00000050808"	4.41629	3.90406	3.01895	3.04525
"ENSMUSG00000050810"	2.46849	2.340375	2.32039	2.199215
"ENSMUSG00000050812"	7.8045975	8.252615	7.8304375	7.9264175
"ENSMUSG00000050821"	6.53836	7.51477	7.65134	7.43692
"ENSMUSG00000050822"	2.90198	2.63314	3.33141	2.991
"ENSMUSG00000050824"	3.79433	4.24266	3.69098	4.31678
"ENSMUSG00000050830"	2.996745	2.56709	2.47528	2.39942
"ENSMUSG00000050840"	3.02976	2.72296	2.70421	2.63309
"ENSMUSG00000050844"	2.79307	2.38284	2.51854	2.20016
"ENSMUSG00000050846"	7.33412	8.03098	8.24499	8.22015
"ENSMUSG00000050854"	3.59296	3.542595	3.254135	3.440835
"ENSMUSG00000050855"	4.95953	5.16541	5.90784	6.06355
"ENSMUSG00000050856"	12.39718	12.574775	12.871595	12.913615
"ENSMUSG00000050860"	4.13748	4.24864	4.62947	5.52364
"ENSMUSG00000050866"	2.30146	2.76265	2.23463	2.18061
"ENSMUSG00000050875"	2.43242333333333	3.02221666666667	2.56551666666667	2.71760333333333
"ENSMUSG00000050890"	5.53369	5.54307333333333	5.77382	6.28833333333333
"ENSMUSG00000050891"	9.65412333333333	10.1717333333333	9.88029333333333	10.3075566666667
"ENSMUSG00000050896"	6.22946	7.71369	4.46798	4.96386
"ENSMUSG00000050900"	9.97586	10.03693	9.71544	10.06357
"ENSMUSG00000050908"	5.06711	4.88939	4.86835	5.10725
"ENSMUSG00000050910"	7.189565	6.90492	7.67023	7.790555
"ENSMUSG00000050912"	9.764105	9.53758	9.904275	9.646185
"ENSMUSG00000050914"	6.18299	6.23899	6.84377	6.84934
"ENSMUSG00000050917"	2.95145666666667	2.90231	2.75677	2.91837333333333
"ENSMUSG00000050921"	4.71708	3.10202	4.18819	3.90181
"ENSMUSG00000050930"	4.24783	4.71345	4.67639	4.44769
"ENSMUSG00000050931"	7.351705	6.31632	6.37576	6.38742
"ENSMUSG00000050936"	3.00623	3.38581	3.02693	3.1506
"ENSMUSG00000050945"	6.22112	6.70918	7.02352	6.66721
"ENSMUSG00000050947"	6.2715225	6.86265	6.5872575	6.573025
"ENSMUSG00000050953"	9.136875	8.82707833333333	10.7145416666667	10.905505
"ENSMUSG00000050954"	4.54601	4.7434	4.4859	4.49104
"ENSMUSG00000050957"	7.46319	8.35623	5.53808	6.29245
"ENSMUSG00000050963"	2.624885	2.512125	2.42794	2.715795
"ENSMUSG00000050965"	7.92239	8.74221	6.958615	7.07812
"ENSMUSG00000050966"	2.16843	2.60151	2.45411	2.66408
"ENSMUSG00000050967"	3.66845	2.46117	2.76668	2.47741
"ENSMUSG00000050973"	5.48114	6.31074	5.92706	6.0383
"ENSMUSG00000050974"	5.55923	4.76609	7.40893	7.49484
"ENSMUSG00000050989"	9.56392	9.50096	8.21912	8.07817
"ENSMUSG00000050994"	5.56642	7.21803	3.1793	3.44311
"ENSMUSG00000050996"	3.60384	3.625925	3.578905	3.77005
"ENSMUSG00000051000"	7.58011	8.74923	7.04854	6.94375
"ENSMUSG00000051007"	7.35115	7.18978	7.29296	7.11571
"ENSMUSG00000051022"	5.52769	5.13691	5.02909	4.59113
"ENSMUSG00000051029"	3.60989	2.49316	2.28437	2.79365
"ENSMUSG00000051034"	5.05674	5.39759	5.79984	5.9135
"ENSMUSG00000051037"	5.17114	4.80914	5.436215	5.182835
"ENSMUSG00000051041"	10.29302	10.88834	7.75685	8.75476
"ENSMUSG00000051043"	5.114565	4.4838	4.93657	4.66308
"ENSMUSG00000051048"	3.2726	3.3118	2.93112	2.87361
"ENSMUSG00000051056"	3.33349	2.92739	2.98619	3.17783
"ENSMUSG00000051062"	3.61662	3.83697	3.71038	3.5277
"ENSMUSG00000051065"	9.33794	9.28872	8.81399	8.80027
"ENSMUSG00000051067"	2.86216	2.9376	2.9202	2.85272
"ENSMUSG00000051074"	2.00769	2.18204	2.18204	2.26873
"ENSMUSG00000051076"	3.50773	3.57407	3.25667	3.27003
"ENSMUSG00000051079"	1.96628	2.15792	1.9323	2.4615
"ENSMUSG00000051098"	7.41301	7.72724	7.95551	8.425315
"ENSMUSG00000051107"	3.29351	2.87411	2.75017	2.56617
"ENSMUSG00000051111"	2.91588	2.85525	2.48067	2.90395
"ENSMUSG00000051113"	5.3953	5.136175	5.042325	5.332915
"ENSMUSG00000051116"	11.28639	11.49987	11.40457	11.53533
"ENSMUSG00000051124"	6.27035	6.43076	8.79779	8.53151
"ENSMUSG00000051133"	11.55943	11.70358	12.39706	12.54018
"ENSMUSG00000051136"	2.70289	2.57483	2.77914	2.69136
"ENSMUSG00000051146"	7.06758	7.99269	6.65491	6.78726
"ENSMUSG00000051147"	6.99498	6.64467	6.57549	6.59456
"ENSMUSG00000051149"	10.56205	10.60732	10.91544	10.67479
"ENSMUSG00000051153"	2.21373	2.07752	2.17707	1.93114
"ENSMUSG00000051154"	11.373155	11.316555	11.27821	11.41067
"ENSMUSG00000051159"	2.80929	3.06073	2.75278	2.88722
"ENSMUSG00000051166"	6.6316325	7.211015	7.1992875	7.0648925
"ENSMUSG00000051169"	7.81302	8.44069	8.09096	7.96366
"ENSMUSG00000051172"	2.05051	2.06003	2.08859	2.12152
"ENSMUSG00000051176"	2.21933	2.36689	2.49973	2.17015
"ENSMUSG00000051177"	6.296602	6.377434	5.911912	6.097026
"ENSMUSG00000051184"	7.77566	7.94738	7.87686	8.14715
"ENSMUSG00000051185"	8.053475	7.816805	7.66478	7.64003
"ENSMUSG00000051198"	3.38381	3.1298	2.95386	3.02408
"ENSMUSG00000051212"	7.140985	5.92825	4.254525	4.112225
"ENSMUSG00000051219"	2.68585	2.41694	3.10583	2.80926
"ENSMUSG00000051220"	4.58114	3.995925	3.92119	3.99842
"ENSMUSG00000051223"	10.159184	10.185484	9.539324	9.950172
"ENSMUSG00000051224"	8.43492	8.6734	8.85443	9.09081
"ENSMUSG00000051228"	3.10587	3.3381	4.34604	4.56498
"ENSMUSG00000051232"	8.91004	8.86619	9.00364	9.28215
"ENSMUSG00000051234"	10.530755	10.54666	10.97536	10.975765
"ENSMUSG00000051235"	2.6836	2.76549	2.3848	2.77793
"ENSMUSG00000051236"	8.28384	8.035025	7.30078	7.91991
"ENSMUSG00000051237"	2.31199	2.29926	2.15979	2.39162
"ENSMUSG00000051238"	7.83929	8.24065	8.2287	8.54254
"ENSMUSG00000051242"	3.83697	3.59896	3.90902	3.60758
"ENSMUSG00000051243"	4.83454	5.11721	3.9726	4.2485
"ENSMUSG00000051251"	2.38617	2.24242	2.27282	2.25438
"ENSMUSG00000051255"	9.26626333333333	9.24395333333333	9.41163333333333	9.41457
"ENSMUSG00000051256"	10.55115	10.69812	10.11461	10.38708
"ENSMUSG00000051257"	2.65228	2.65357	2.24176	2.50209
"ENSMUSG00000051262"	3.027585	3.05653	2.973665	3.07605
"ENSMUSG00000051276"	3.06799	2.986	3.11721	2.92112
"ENSMUSG00000051278"	5.24312	5.6468	4.44431	4.28594
"ENSMUSG00000051285"	9.571724	9.560026	9.670742	9.917136
"ENSMUSG00000051297"	2.88202	3.22251	3.10465	3.16759
"ENSMUSG00000051306"	8.28134	8.67564	9.03944	8.87959
"ENSMUSG00000051314"	10.787675	11.146095	8.734505	9.49912
"ENSMUSG00000051316"	5.64179666666667	5.37569	6.77823	6.42978666666667
"ENSMUSG00000051319"	10.44891	10.9746	10.49435	10.78067
"ENSMUSG00000051323"	6.34298	6.30021333333333	7.98796666666667	7.30511333333333
"ENSMUSG00000051329"	8.18428	8.04248	7.91489	7.52523
"ENSMUSG00000051331"	5.02099	5.05218	5.5351	5.014455
"ENSMUSG00000051335"	8.19216	7.95228	10.43692	9.84854
"ENSMUSG00000051339"	6.606195	5.594465	7.71247	7.526985
"ENSMUSG00000051341"	5.952335	5.56922	5.743235	5.87979
"ENSMUSG00000051343"	10.51498	9.45447	9.460555	9.068825
"ENSMUSG00000051344"	8.3007	7.733185	7.045735	7.005465
"ENSMUSG00000051346"	7.46724	7.72974	7.27288	7.49411
"ENSMUSG00000051351"	5.8811	6.02474	6.566835	6.708105
"ENSMUSG00000051355"	11.40215	11.47755	11.28578	11.30177
"ENSMUSG00000051359"	4.967475	4.728895	6.075015	5.769705
"ENSMUSG00000051361"	2.5994	2.77499	2.96888	3.39562
"ENSMUSG00000051367"	8.60735	8.72255	9.38931	9.29329
"ENSMUSG00000051373"	6.11791	5.87362	5.68319	5.43288
"ENSMUSG00000051375"	4.53421	3.11587	6.57289	5.94661
"ENSMUSG00000051378"	4.36079	3.59369	2.84722	3.26294
"ENSMUSG00000051379"	5.296475	5.92955	3.87601	4.031595
"ENSMUSG00000051390"	8.84781	9.27375	9.19138	8.87312
"ENSMUSG00000051391"	10.1137433333333	10.22319	9.87879666666667	10.33073
"ENSMUSG00000051396"	8.92086333333333	9.15932333333333	8.49038	8.60171666666667
"ENSMUSG00000051397"	2.42741	2.28478	2.29543	2.37401
