"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000000563"	11.872975	11.71922	11.955535	11.649075	12.922825	13.007005	12.82136	12.680465
"ENSMUSG00000000567"	4.169395	4.06525	4.55001	4.30278	4.534475	4.57931	4.51236	4.79966
"ENSMUSG00000000568"	6.70451666666667	6.25850333333333	7.13522333333333	6.44497666666667	5.53742	5.74274666666667	5.74148666666667	5.75182333333333
"ENSMUSG00000000579"	10.80982	10.90655	10.190075	10.983015	10.152645	10.65464	10.623385	10.688975
"ENSMUSG00000000581"	6.73389	6.48694666666667	7.10283	6.45691666666667	6.42835	6.56984666666667	6.51864333333333	6.65479
"ENSMUSG00000000594"	7.33446666666667	7.50041333333333	6.09136333333333	7.37550333333333	7.21522666666667	7.18847	7.19831333333333	7.30688333333333
"ENSMUSG00000000600"	6.964684	6.79777	6.834954	6.909884	5.483886	5.881954	6.144712	5.644084
"ENSMUSG00000000605"	8.58785	8.654475	7.964175	8.516285	8.37019	8.22493	8.406625	8.27954
"ENSMUSG00000000606"	2.408105	2.417115	2.335355	2.224755	2.533725	2.46614	2.361335	2.365255
"ENSMUSG00000000627"	6.61652	6.29431	6.275125	6.474125	4.360215	4.35079	4.597355	4.449445
"ENSMUSG00000000628"	9.07804	9.91868	9.32749	9.00025	12.36634	12.54234	11.68507	10.76318
"ENSMUSG00000000631"	7.67279	7.83508	7.16659	7.73623	8.1477	8.11296	7.78494	7.83897
"ENSMUSG00000000632"	5.520565	5.65177	5.63775	5.6624	6.207055	6.00217	6.009425	6.087075
"ENSMUSG00000000673"	6.67042	6.72416	6.27279	7.0905	5.40313	5.31628	5.25854	5.55498
"ENSMUSG00000000682"	12.97743	12.865	11.37996	12.97526	8.44739	8.90917	9.59416	10.69167
"ENSMUSG00000000686"	5.14189	5.364855	4.236995	5.022965	6.436925	6.64772	6.275495	5.619885
"ENSMUSG00000000690"	5.19356	5.36043	4.99519	5.29451	5.15017	5.33557	5.10908	5.32561
"ENSMUSG00000000693"	5.99609	6.27541	5.95383	6.32486	6.05106	5.88246	5.78923	6.4174
"ENSMUSG00000000706"	2.63902	2.56142	2.61475333333333	2.47645666666667	2.70416666666667	2.74545333333333	2.56429333333333	2.57351333333333
"ENSMUSG00000000708"	7.6566	7.87676	7.65006	7.23496	8.20738	7.66973	7.629655	7.985285
"ENSMUSG00000000711"	4.34744	4.40629	4.23365	4.5001	4.81172	4.91988	5.0379	4.87519
"ENSMUSG00000000724"	3.16085	3.01917	3.09194	2.89659	3.45363	3.63894	3.34543	3.26974
"ENSMUSG00000000730"	4.75072	4.87351	4.90763	4.90763	5.4643	5.33241	4.96161	5.09918
"ENSMUSG00000000731"	5.26692	5.55375	6.15573	5.72369	5.76086	5.44212	5.45696	5.56564
"ENSMUSG00000000732"	8.16664	7.21197	7.53918	7.99882	6.38271	6.90038	6.45621	6.37428
"ENSMUSG00000000738"	7.56392	7.53553	5.47547	7.56109	8.83442	8.35567	8.35027	8.20689
"ENSMUSG00000000739"	5.23096	5.87829	5.69529	5.66933	6.04564	6.17808	6.43505	6.58457
"ENSMUSG00000000740"	13.3807133333333	13.2571133333333	12.9293266666667	13.37133	12.1381833333333	12.3394433333333	12.40296	12.87039
"ENSMUSG00000000743"	8.00841	8.72485	5.40005	8.55541	8.65449	8.18457	8.45747	8.34656
"ENSMUSG00000000751"	10.44828	9.86173	8.837325	10.257825	8.69319	8.850475	9.06467	9.616375
"ENSMUSG00000000753"	7.381285	8.855535	6.541985	8.470865	6.472825	6.968455	7.19176	8.77528
"ENSMUSG00000000759"	8.19976	7.43978	5.86939	7.73422	6.72416	7.25107	7.19576	7.14858
"ENSMUSG00000000766"	3.8220975	3.8884575	3.9937525	3.777565	4.2608225	4.1371575	4.1289925	4.08426
"ENSMUSG00000000776"	6.53458	6.430755	6.028075	6.502615	6.78708	6.585725	6.71684	6.70533
"ENSMUSG00000000782"	8.73991	8.56199	8.101115	8.61104	5.730925	5.693125	5.87594	5.71093
"ENSMUSG00000000787"	11.0399333333333	10.9542033333333	10.5129666666667	10.8200166666667	11.2818833333333	11.2641833333333	11.21936	10.7062233333333
"ENSMUSG00000000791"	4.91507	4.44227	4.53547	5.17836	4.35464	4.28584	4.21097	4.62804
"ENSMUSG00000000792"	4.794915	4.879115	5.06708	4.837565	5.23732	5.008355	4.947015	5.167515
"ENSMUSG00000000794"	4.51639	4.6254	4.78084	4.80942	5.1699	5.23199	5.06733	5.16293
"ENSMUSG00000000804"	6.99486	6.994325	7.05527	6.65239	6.796695	6.6272	6.9136	6.45532
"ENSMUSG00000000805"	6.17702	6.53882	5.68645	6.37644	8.146445	7.95946	8.03509	8.206255
"ENSMUSG00000000811"	6.60259333333333	6.62695333333333	6.42403333333333	5.90149666666667	7.46910666666667	7.51552666666667	7.40071666666667	7.35705333333333
"ENSMUSG00000000817"	5.52536	4.751	5.25023	5.12067	4.478585	4.46869	4.62858	5.074215
"ENSMUSG00000000823"	5.634555	6.084875	5.557435	5.937825	6.1047	5.98624	6.110795	6.00005
"ENSMUSG00000000826"	7.866962	7.77298	7.164668	7.990852	7.919558	8.016344	7.8114	7.8436
"ENSMUSG00000000827"	8.19999666666667	8.15654333333333	7.73884666666667	8.01077333333333	8.45712333333333	8.52983	8.58978666666667	8.73458333333333
