"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000000441"	10.68087	10.64004	10.49749	10.61293	10.30808	10.50127	10.58372	10.64891	10.54602	10.44144	10.26113	10.38105
"ENSMUSG00000000486"	8.571065	8.707095	8.755575	8.64711	8.740125	8.581685	8.79276	8.98701	8.55783	9.47955	9.52348	9.99539
"ENSMUSG00000000489"	9.55471	9.93397	9.67409	9.74062	9.45915	9.80428	9.57033	9.70096	9.80793	9.4624	9.32222	9.26297
"ENSMUSG00000000530"	9.07978	9.02838	8.99175	9.57013	9.26761	9.59005	9.16631	8.97102	9.03772	9.28462	9.24274	9.14011
"ENSMUSG00000000531"	8.50508	8.56476	8.3742	8.72685	8.56429	9.00868	8.62549	8.32366	8.56866	8.64013	8.52431	8.58812
"ENSMUSG00000000532"	8.25028	8.23043	8.29173	8.93431	8.93721	9.14196	8.42259	8.23276	8.3667	8.78961	8.82301	9.00321
"ENSMUSG00000000538"	9.67095	9.69447	9.63131	9.45891	9.41153	9.58785	9.74453	9.60457	9.75405	9.30805	9.10535	9.14818
"ENSMUSG00000000544"	7.34673	7.34637	7.67195	7.05646	7.43033	7.14729	7.32374	6.88095	6.86798	7.21054	7.2481	7.17136
"ENSMUSG00000000552"	9.29507	8.97581	8.67198	10.10364	9.87199	10.02432	9.13624	9.16472	9.07799	10.00376	9.79273	9.55536
"ENSMUSG00000000555"	8.52526	8.41584	8.39159	9.58599	9.32648	9.57365	8.49229	8.60821	8.58376	9.24291	9.17319	9.03955
"ENSMUSG00000000560"	6.46342	6.76346	6.40543	6.21809	6.24157	6.25425	6.74797	6.43127	6.59437	6.42254	6.27989	6.38551
"ENSMUSG00000000561"	9.28292	9.52052	9.40118	9.45127	9.44406	9.64015	9.67536	9.81701	9.91342	9.26451	9.35672	9.50747
"ENSMUSG00000000562"	7.52651	7.7749	7.90343	7.90367	7.81603	7.83249	7.79576	7.76159	7.59192	8.0239	8.11673	7.99636
"ENSMUSG00000000563"	11.798225	11.68435	11.75529	10.806565	10.68052	10.651695	11.864155	11.721865	11.693655	10.55318	10.56798	10.46871
"ENSMUSG00000000567"	8.44638	8.26001	8.3186	8.7125	8.98366	8.44804	8.28441	8.28293	8.11869	8.0094	8.09851	8.10578
"ENSMUSG00000000568"	9.82598	9.81361	9.72608	9.74568	9.71337	9.63058	9.56396	9.6463	9.67424	9.9005	9.99287	10.09162
"ENSMUSG00000000579"	10.706175	10.60741	10.41942	11.3124	11.19565	11.17965	10.55158	10.79414	10.638325	11.160695	11.284855	11.17015
"ENSMUSG00000000581"	7.69436	7.94392	7.57163	7.91002	7.50799	7.73519	7.57711	7.90295	7.90371	7.67737	7.64215	7.5862
"ENSMUSG00000000594"	11.30016	11.37122	11.41273	11.8269	11.74495	12.0696	11.45873	11.70085	11.64426	11.72324	11.90377	11.93106
"ENSMUSG00000000600"	9.40084	9.24604	9.27441	9.32804	9.43643	9.49215	9.38458	9.44265	9.35954	9.42987	9.41593	9.52833
"ENSMUSG00000000605"	9.90633	10.05463	10.04898	9.91644	9.65606	9.9316	9.77156	9.83986	10.05364	9.7102	9.76264	9.88969
"ENSMUSG00000000617"	7.5921	7.63565	7.83088	7.50585	7.55718	7.57203	7.7143	7.6691	7.61059	7.57724	7.60956	7.70846
"ENSMUSG00000000627"	7.40294	7.25411	7.38893	7.23567	7.25579	7.01802	7.3275	7.23909	7.18689	7.38452	7.40242	7.73904
"ENSMUSG00000000628"	11.07943	10.98141	10.82857	9.65751	9.12335	9.50763	10.86887	10.83701	10.59231	9.25505	8.76699	8.94048
"ENSMUSG00000000631"	8.91543	8.96291	8.94889	8.71505	8.64393	8.63646	9.02204	8.8695	9.00314	8.75444	8.69236	8.82206
"ENSMUSG00000000632"	8.06277	7.96599	8.19791	8.00738	8.1652	8.08896	8.08184	7.77763	7.92384	8.03367	7.96733	7.89286
"ENSMUSG00000000673"	8.0366	7.61732	8.04783	7.99564	8.1743	8.00929	7.99329	8.64447	7.96409	8.88394	8.94458	9.43175
"ENSMUSG00000000682"	8.36332	7.64824	7.78379	9.55915	9.76451	8.55844	9.21359	9.90443	8.58346	10.99656	11.00309	11.64717
