"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000065562"	5.96249	6.05248	6.01316	5.91312	6.13915	5.88609	6.32499	5.68714	5.71654	6.09573	6.18196	6.20703
"ENSMUSG00000065563"	7.46361	7.17404	7.05459	7.16946	7.18852	7.2516	7.34987	7.09012	7.09042	7.2869	7.25917	7.32423
"ENSMUSG00000065564"	8.43475	8.26506	8.26382	8.14587	8.16389	8.0959	8.34492	8.36365	8.18266	8.19127	8.06718	7.86066
"ENSMUSG00000065565"	5.19943	5.247605	5.168155	5.3919	5.239655	5.269605	5.372515	5.23301	5.19039	5.34776	5.45777	5.30758
"ENSMUSG00000065567"	6.6079	6.33983	6.79601	6.41248	6.28331	5.90844	6.51189	5.80851	5.95608	6.21493	6.14413	5.78625
"ENSMUSG00000065568"	6.978485	7.232935	7.408465	7.129085	7.537575	7.42406	7.127235	7.10347	6.985115	7.278245	7.18628	7.148625
"ENSMUSG00000065569"	4.23101	4.0716	4.27661	4.21306	4.10334	4.04334	4.38735	4.09347	3.85407	4.21981	3.85412	4.15588
"ENSMUSG00000065570"	5.538225	5.570005	5.6627625	5.5783775	5.464435	5.46168	5.649805	5.3523975	5.4270925	5.46681	5.374935	5.3746825
"ENSMUSG00000065571"	8.71088	8.76923	8.99207	8.61038	8.67616	8.55374	9.04327	8.40255	8.3445	8.66969	8.57264	8.62027
"ENSMUSG00000065572"	6.748205	6.779155	6.559555	6.542085	6.45202	6.52285	6.68764	6.492185	6.57368	6.375085	6.508375	6.60761
"ENSMUSG00000065573"	6.34707	6.1713	5.91276	6.49832	6.59794	6.78517	6.14698	6.17348	6.05037	6.79205	7.04081	6.73077
"ENSMUSG00000065574"	4.56094	5.01522	4.93123	4.62424	4.6026	4.74865	4.94441	4.74483	4.7507	4.57298	4.61643	4.69398
"ENSMUSG00000065575"	7.53942	7.58899	7.65956	7.41964	7.89046	7.50791	7.56781	7.34909	7.11427	7.45939	7.62162	7.26878
"ENSMUSG00000065577"	6.567	6.58461	6.70976	6.10708	6.15277	6.29086	6.63274	6.3745	6.39861	6.22216	6.11944	6.23041
"ENSMUSG00000065578"	7.15571	7.43391	7.10233	7.31145	7.31655	7.21738	7.58497	7.10935	7.48582	7.63657	7.29089	7.2885
"ENSMUSG00000065579"	7.31548	7.33777	7.12672	6.9994	6.93983	7.04585	7.16246	7.20642	6.99732	7.02387	7.10087	7.03152
"ENSMUSG00000065580"	5.005645	4.90446	4.93573	5.184795	4.742425	4.902595	4.88719	4.969805	4.96737	5.05081	4.94936	5.20133
"ENSMUSG00000065581"	7.296705	7.209045	7.37279	7.114765	7.414645	7.166825	7.508915	6.99736	7.02323	7.28706	7.38085	7.31423
"ENSMUSG00000065582"	7.35356	7.305935	7.212145	7.05297	7.098085	7.06766	6.915435	7.132115	7.01242	7.062955	7.13244	7.18079
"ENSMUSG00000065583"	7.40253	7.483	7.49419	8.02742	8.73664	8.66652	7.80743	7.37836	7.3654	8.11898	8.13526	8.10069
"ENSMUSG00000065585"	8.89666	8.98318	9.27759	8.77193	9.17396	8.74368	9.04562	8.82348	8.6676	8.98366	8.90965	8.85173
"ENSMUSG00000065586"	5.442895	5.66351	5.445855	5.312735	5.526675	5.379205	5.740155	5.449785	5.657815	5.55111	5.426475	5.49032
"ENSMUSG00000065587"	6.1873	6.25579	6.15318	6.10946	5.93	6.15449	6.48952	6.28756	6.31503	5.9057	5.96549	6.22594
"ENSMUSG00000065589"	5.04512	4.90549	5.33576	5.57353	5.30762	5.18431	5.16032	5.05352	5.15386	5.34982	5.28759	5.40352
"ENSMUSG00000065590"	8.102565	8.01397	8.37997	8.10338	8.052055	8.019	8.2256	7.96865	7.884435	8.022915	7.987405	8.05739
"ENSMUSG00000065591"	6.46369	6.38006	6.3049	6.04084	5.87662	6.10583	6.33239	6.08318	6.71301	5.88506	5.90907	6.13356
"ENSMUSG00000065592"	9.10348	8.73848	8.59891	9.40925	10.34146	10.02593	9.0691	8.28107	8.89949	9.73533	9.25327	9.4539
"ENSMUSG00000065593"	8.19529	7.91511	8.04506	8.17972	8.04919	8.27953	8.10717	7.81615	8.21393	8.06989	8.04888	8.23225
"ENSMUSG00000065594"	8.86802	7.71176	7.73666	7.40841	7.64676	7.43126	8.31401	7.73538	7.269	7.70498	7.62717	7.59215
"ENSMUSG00000065596"	6.44095	6.12689	6.76279	6.58728	6.49442	6.45997	6.19309	6.2316	6.29863	6.63603	6.4331	6.66044
"ENSMUSG00000065597"	3.86839	3.9993	3.83417	3.68673	3.61786	3.75854	4.0389	3.64281	3.65109	3.71099	3.64264	3.857
"ENSMUSG00000065599"	7.11800333333333	6.96930666666667	6.85533	6.70661	6.83149666666667	6.64921666666667	6.76546	6.55729666666667	6.81784	6.82275	6.79459	6.87262666666667
"ENSMUSG00000065600"	8.60954	8.36295	8.70258	8.25909	8.39158	8.21796	8.30919	8.23265	8.29756	8.24359	8.34001	8.35496
"ENSMUSG00000065601"	4.37807	4.33518	4.25282	4.07267	4.15442	4.33451	4.21566	4.45305	4.05947	4.27792	4.16842	4.09559
"ENSMUSG00000065602"	5.43962	5.31646	5.48945	5.256545	5.32234	5.35305	5.651245	5.377395	5.38625	5.475165	5.340735	5.230825
"ENSMUSG00000065603"	6.23212	6.91507	6.74381	6.99709	7.40206	7.31977	6.95207	6.4192	6.73207	6.77866	7.01982	6.84106
"ENSMUSG00000065604"	4.275195	4.23575	4.01034	4.275555	4.14197	4.2611	4.082235	4.40311	4.162585	4.241155	4.1225	4.179645
"ENSMUSG00000065606"	5.005645	4.90446	4.93573	5.184795	4.742425	4.902595	4.88719	4.969805	4.96737	5.05081	4.94936	5.20133
"ENSMUSG00000065607"	7.2617	7.18212	7.44604	7.34247	7.25388	7.22681	7.30946	7.11376	7.18094	7.25753	7.20096	7.18591
"ENSMUSG00000065608"	8.10387	7.97332	8.01314	8.052705	7.960645	7.919565	8.16765	7.934315	7.927475	8.03272	7.8759	7.704015
"ENSMUSG00000065609"	7.75944	7.75111	7.67584	7.45638	7.60037	7.56942	7.61269	7.47173	7.32646	7.59116	7.57671	7.52749
"ENSMUSG00000065610"	5.11546	5.11731	4.72107	5.16102	4.87729	4.94159	4.80261	5.09784	4.79882	4.97876	4.8533	4.93561
"ENSMUSG00000065611"	7.88694	7.8973	8.19912666666667	8.05398	8.16973	7.97786666666667	8.0309	7.71308666666667	7.74615666666667	8.02301666666667	8.01910333333333	7.93404333333333
"ENSMUSG00000065612"	6.8095	6.63183	6.56566	6.6065	6.65212	6.85454	6.77717	6.78201	6.77098	6.70471	6.54456	6.64337
"ENSMUSG00000065613"	5.50136	5.39718666666667	5.40802	5.21116	5.33597	5.15293333333333	5.55131333333333	5.31778	5.18217333333333	5.38316666666667	5.24105333333333	5.26315
"ENSMUSG00000065616"	8.4438	8.28268	8.5139	8.17609	8.1127	8.12111	8.6752	8.16361	8.20764	8.18801	7.98407	8.1395
"ENSMUSG00000065617"	5.979005	5.93488	6.03779	5.730685	5.682495	5.81485	6.092035	5.56064	5.776805	5.74024	5.62183	5.64122
"ENSMUSG00000065619"	5.442895	5.66351	5.445855	5.312735	5.526675	5.379205	5.740155	5.449785	5.657815	5.55111	5.426475	5.49032
"ENSMUSG00000065620"	5.16689	4.99299	4.79264	4.67992	4.75085	4.71165	4.84938	4.84616	5.16738	4.80069	4.81912	4.77769
"ENSMUSG00000065622"	6.717275	6.791705	7.65908	7.016265	6.04691	5.71915	6.345925	6.460285	6.86677	6.215305	6.46942	6.96831
"ENSMUSG00000065623"	5.10779	5.40335	5.11269	5.08989	4.66072	5.26008	4.99646	4.9989	5.21352	4.99983	4.88354	4.83214
"ENSMUSG00000065625"	3.43068	3.30725	3.32225	3.12531	3.18452	3.47481	3.62856	3.39076	3.40003	3.20421	3.28068	3.20474
"ENSMUSG00000065628"	8.8710925	8.45812	8.7199075	9.68605	8.403515	8.1920675	8.5211325	8.4733075	8.4409925	9.59959	9.24441	10.4407425
"ENSMUSG00000065629"	9.10139	8.55587	9.08156	8.65385	8.46461	8.56002	9.07571	8.73804	8.73957	8.60754	8.72746	8.80163
"ENSMUSG00000065630"	3.79128	3.69568	4.37562	3.61141	3.55147	3.94482	3.84288	3.75881	4.95191	3.58418	3.42273	3.48863
"ENSMUSG00000065634"	7.14402	7.30743	7.05266	6.84964	6.82539	6.85175	6.86439	7.01134	6.60306	6.64424	6.74828	6.8573
"ENSMUSG00000065635"	5.11148	5.00803	4.9426	4.96431	4.73433	4.59914	4.89223	4.5092	4.31515	4.59863	4.70357	5.30619
"ENSMUSG00000065636"	6.75537	6.58392	6.579	6.64648	6.30528	6.69618	6.50899	6.85669	7.01118	6.59332	6.5255	6.58037
"ENSMUSG00000065637"	12.91559	12.78337	12.96223	12.54244	12.58446	10.98506	12.11652	12.07846	12.48035	12.79115	12.68707	12.89472
"ENSMUSG00000065640"	5.11148	5.00803	4.9426	4.96431	4.73433	4.59914	4.89223	4.5092	4.31515	4.59863	4.70357	5.30619
"ENSMUSG00000065642"	11.1301066666667	11.16006	11.16213	11.3562866666667	11.4890966666667	11.2419733333333	10.93124	11.3647866666667	11.0933	11.6267333333333	11.7418233333333	11.8784866666667
"ENSMUSG00000065643"	4.98557	5.4021	4.91416	5.97421	6.07913	6.43034	5.26313	5.49608	5.72877	5.89225	6.32046	6.14926
"ENSMUSG00000065644"	3.96867	3.90306	4.01966	3.68491	3.71109	4.07189	4.19666	4.10957	4.31232	3.67564	3.78131	3.6756
"ENSMUSG00000065645"	6.2555	6.34015	6.38194	5.96762	6.35632	5.58424	5.83701	5.87708	6.00926	6.03212	6.06145	5.78179
"ENSMUSG00000065647"	4.16451	4.12968	4.24897	4.11134	3.95412	3.86963	4.09352	4.07894	4.23874	4.13197	4.11362	4.59248
"ENSMUSG00000065648"	6.08946	5.7472	5.61494	5.27728	5.26292	5.64972	5.95456	6.22162	5.9879	5.62946	5.53352	5.52863
"ENSMUSG00000065649"	8.76299	8.52063	9.2714	8.73731	8.17588	8.30835	8.34674	8.27177	8.47583	8.53826	8.63024	8.95203
"ENSMUSG00000065651"	6.0193	6.31152	6.2439	6.1251	5.90398	6.1498	6.21448	6.042	6.16825	6.12452	6.28494	6.36474
"ENSMUSG00000065653"	9.23459	8.6762	9.31365	9.34736	8.99969	8.78941	8.71723	8.2982	8.56004	9.15798	9.00053	9.25516
"ENSMUSG00000065656"	3.55934	3.65563	3.88787	3.56712	3.28998	3.45893	3.73257	3.68193	4.20149	3.49403	3.50027	3.49704
"ENSMUSG00000065658"	4.90861	4.68503	4.70354	4.53531	4.39578	4.61401	4.60236	4.55189	4.65214	4.62473	4.53309	4.73902
"ENSMUSG00000065660"	5.525	5.10205	5.34076	5.20176	4.57947	5.23019	5.15762	4.67677	5.0363	4.84081	4.6022	4.8216
"ENSMUSG00000065662"	6.58777	6.52121	6.49206	6.02038	5.924	5.91486	6.25181	5.92301	6.36424	6.05934	5.88544	5.86831
"ENSMUSG00000065663"	9.447036	9.546802	9.337574	8.978214	9.448662	9.367034	9.164828	9.419304	9.375776	9.56511	9.741622	9.705962
"ENSMUSG00000065664"	5.8861	5.85847	5.7608	5.72135	5.75831	5.95221	5.77649	5.79234	5.83725	5.83955	6.27133	6.31941
"ENSMUSG00000065665"	6.74096	6.4713	6.70129	6.1922	5.99057	6.15879	6.57695	6.32031	6.43792	6.01808	6.35644	6.14399
"ENSMUSG00000065667"	5.95281	5.90572	5.59906	5.45872	5.49907	5.49537	5.60218	5.53527	5.66607	5.39176	5.5104	5.5489
"ENSMUSG00000065669"	9.49387	9.20121	9.38779	9.22756	9.22616	9.14622	9.26643	9.22051	9.19567	9.11331	9.30375	9.47431
"ENSMUSG00000065673"	6.18482	6.25196	6.4203	6.30177	6.38556	6.17338	6.39963	6.00789	5.95756	6.26975	6.26004	6.14603
"ENSMUSG00000065674"	4.02913	3.69585	3.63637	3.81281	3.61625	4.26008	4.02366	3.5762	4.4889	3.77498	3.7173	4.60229
"ENSMUSG00000065676"	8.74163	8.99331	8.6647	8.01467	8.14573	7.8577	8.69654	8.99825	8.5054	8.34203	8.43662	8.21512
"ENSMUSG00000065678"	5.45734	5.44684	4.92567	5.22495	5.48494	5.11094	4.89627	5.07038	4.98304	4.76281	5.37337	5.23669
"ENSMUSG00000065680"	7.31292	7.23119666666667	7.13852666666667	7.56112666666667	6.96457666666667	7.05742666666667	7.04095666666667	7.06312666666667	6.94404666666667	7.50803	7.30230333333333	7.74638666666667
"ENSMUSG00000065684"	3.30546	3.36471	3.22642	3.11655	2.88746	3.08113	3.21914	3.44255	3.43318	3.03297	2.98845	3.04104
"ENSMUSG00000065686"	8.06187666666667	7.98936333333333	7.97007	7.32235333333333	7.22189333333333	7.19608333333333	7.63156666666667	7.67398666666667	7.72326	7.54184666666667	7.56970666666667	7.87943666666667
"ENSMUSG00000065687"	7.62974	7.80131	7.7069	7.4272	7.45638	7.7087	7.53702	7.61167	7.49681	7.6146	7.5815	7.68967
"ENSMUSG00000065689"	7.32501	7.13166	7.3278	7.1575	7.21398	6.77086	6.91834	6.51251	6.7585	6.69447	7.1127	6.87831
"ENSMUSG00000065691"	7.07951	6.82352	7.16344	6.81535	7.06179	6.85122	7.43113	6.79043	6.97178	7.09929	6.80701	7.06072
"ENSMUSG00000065692"	6.55009	6.63204	6.937	6.6236	6.78209	7.00329	6.69295	6.8568	6.89652	6.61542	6.82099	6.90893
"ENSMUSG00000065694"	5.20142	5.26623	5.39211	5.19767	5.24422	5.21445	5.34197	5.2034	5.56579	5.2196	5.14544	5.38938
"ENSMUSG00000065698"	5.13967	5.30593	5.29435	5.0445	5.15009	5.11228	5.17951	5.04906	5.20275	5.13729	4.96117	5.01288
"ENSMUSG00000065700"	5.60095	5.79897	5.61541	5.53853	5.58654	5.41965	5.57827	5.39991	5.40493	5.43507	5.42045	5.54124
"ENSMUSG00000065701"	8.5826	7.40784	7.98531	9.18342	7.68377	7.32103	7.0717	7.27352	6.65823	7.96499	6.89184	7.70053
"ENSMUSG00000065702"	3.89424	4.16408	3.37461	3.53952	3.43565	3.48685	3.82343	3.58267	3.62068	3.49218	3.38617	3.70635
"ENSMUSG00000065706"	8.29302	8.27814	8.46663	8.30078	8.27154	8.26024	8.25678	8.17644	8.11461	8.23984	8.27392	8.2733
"ENSMUSG00000065708"	6.13841	5.80321	6.06082	5.87151	5.80877	5.75212	5.80512	5.79116	5.66826	5.72713	5.72894	5.92422
"ENSMUSG00000065709"	7.77224	7.69759	7.92391	7.3818	7.85331	7.67497	7.86052	7.64125	7.50256	7.65722	7.66265	7.6749
"ENSMUSG00000065714"	4.14469	4.00736	3.97658	3.9124	3.82809	3.89963	4.32921	4.29972	4.13802	3.98126	3.84886	4.09137
"ENSMUSG00000065715"	7.46927	7.4135	7.20292	6.93515	7.16907	7.11816	7.33905	7.50945	7.52801	7.37232	7.20456	7.27594
"ENSMUSG00000065716"	6.00707	6.04172	5.98162	5.66958	5.74162	5.71249	5.98845	5.91372	5.84178	5.79891	5.84178	5.77839
"ENSMUSG00000065718"	5.9686	5.86921	5.95089	5.74431	5.9068	5.99481	5.95963	5.89319	5.99078	5.99846	5.94379	5.9366
"ENSMUSG00000065719"	6.98021	6.95829	7.1175	6.80376	6.7479	6.58668	6.92649	6.55743	6.72817	6.84409	6.7113	7.08253
"ENSMUSG00000065721"	7.73788	7.66361	7.64544	7.36115	7.55313	7.39522	7.61825	7.39976	7.50752	7.64141	7.79967	7.72477
"ENSMUSG00000065725"	6.7587	6.50728	6.61125	6.86043	6.58133	6.73303	6.74935	6.56483	6.58713	6.88266	6.88367	7.32194
"ENSMUSG00000065726"	8.89901	8.84466	9.01111	8.78481	8.90552	8.74431	8.83296	8.61912	8.62159	8.9643	9.07016	8.93543
"ENSMUSG00000065727"	6.8041	6.92511	6.99721	6.80876	6.81286	7.04914	6.74096	6.97086	6.74061	7.02198	6.77584	7.08356
"ENSMUSG00000065728"	5.25371	4.59041	4.81406	4.49329	4.257	4.36514	4.39487	4.43536	4.5247	4.44839	4.60242	4.94912
"ENSMUSG00000065729"	4.3971	4.50977	4.70992	4.20876	4.13869	4.28062	4.27773	4.48812	4.50179	4.15469	4.0904	4.32733
"ENSMUSG00000065732"	3.39344	3.92867	3.19152	3.04983	3.32371	3.05892	3.30642	4.06498	3.71425	3.91445	3.26286	3.63005
"ENSMUSG00000065733"	3.59383	3.45827	3.4819	3.66282	3.47325	3.54089	3.86651	3.56118	3.96928	3.60269	3.56406	3.52973
"ENSMUSG00000065734"	6.61033	6.79549	7.00603	7.69378	6.57025	6.44114	6.16153	6.59037	6.5926	7.30068	7.24002	8.05823
"ENSMUSG00000065735"	6.58608	6.496185	6.4686175	7.299325	6.612115	5.96409	5.950535	6.011795	6.2112375	7.18458	7.1903925	7.6339825
"ENSMUSG00000065737"	4.76406	4.72305	4.36344	4.51127	4.56033	4.18631	4.98632	4.54582	4.74947	4.60875	4.77499	4.76218
"ENSMUSG00000065738"	9.29362	9.39926	11.19483	9.85518	7.44996	6.48817	7.33682	6.82562	7.43493	9.00085	9.36853	10.22716
"ENSMUSG00000065739"	4.74369	4.75514	4.64451	4.58164	4.62886	4.78212	4.72286	4.58873	4.57872	4.63286	4.64673	4.57556
"ENSMUSG00000065742"	3.53459	3.21718	3.33039	3.2656	3.08498	3.20219	3.62458	3.17885	3.48682	3.18392	3.05353	3.17942
"ENSMUSG00000065743"	5.24322	5.81679	5.50405	5.53004	5.75831	5.5445	5.12911	5.72127	5.44662	5.81168	6.23086	6.58139
"ENSMUSG00000065745"	6.17004	6.3606	6.42567	6.00379	6.16007	6.34189	6.20776	6.19406	6.09454	6.14569	6.23695	6.31969
"ENSMUSG00000065746"	5.99546	5.74349	6.287	5.44609	5.34926	5.77527	5.49646	5.35701	5.6575	5.53445	5.5677	5.85895
"ENSMUSG00000065747"	4.62636	4.69672	4.81278	4.23309	4.34271	4.21556	4.76281	4.38324	4.79819	4.18855	4.31912	4.35398
"ENSMUSG00000065749"	6.72000666666667	6.39742666666667	6.63826	6.44439	6.44048	6.36367	6.36007666666667	6.33916333333333	6.41857666666667	6.41443333333333	6.37238	6.52504666666667
"ENSMUSG00000065750"	8.10116	7.8262	7.79898	7.18566	6.85737	6.97883	7.57547	7.59135	7.6343	7.48678	7.43025	7.89358
"ENSMUSG00000065751"	3.48432	3.49931	3.43156	3.43296	3.20585	3.27175	3.49653	3.85037	3.4753	3.12075	3.38858	3.36167
"ENSMUSG00000065752"	6.9524	6.87614	6.53840666666667	7.21672	6.87617	6.82212333333333	6.75893666666667	7.05888333333333	6.92684333333333	7.57767	7.62581333333333	8.1231
"ENSMUSG00000065757"	7.48849	7.26787	7.20712	7.19072	7.44587	7.36403	7.24588	7.23352	7.19342	7.02848	7.19547	7.05456
"ENSMUSG00000065758"	7.81501	7.57481	7.68366	7.01996	7.23185	7.2345	7.3048	7.26461	7.44229	7.13118	7.26272	7.50173
"ENSMUSG00000065760"	3.98457	3.87968	3.62164	3.65798	3.46754	3.60682	3.70554	4.02786	3.72137	3.48277	3.55212	3.81858
"ENSMUSG00000065763"	7.18338	7.05277	7.07908	6.59163	6.70871	6.86442	7.01379	6.73569	6.78556	6.77922	6.98439	6.82405
"ENSMUSG00000065764"	6.72727	6.90163	6.59474	6.64303	6.74919	6.82487	6.63538	6.80715	6.3007	6.74949	6.66276	6.80802
"ENSMUSG00000065765"	5.29649	5.40576	5.58092	5.16734	5.0557	5.09378	5.77611	5.14942	5.80442	5.01135	5.18927	5.01879
"ENSMUSG00000065767"	9.47793	9.56674428571429	11.2438185714286	10.0840157142857	8.32255571428571	7.51131285714286	8.62780142857143	8.82495714285714	9.96858285714286	8.67706857142857	9.13526142857143	10.0997528571429
"ENSMUSG00000065768"	4.94087	4.9199	4.86204	4.88453	5.10465	5.00708	4.97764	4.70072	4.80837	4.90463	5.14868	4.86244
"ENSMUSG00000065769"	4.71129	4.64143	4.55533	4.49614	4.55794	4.45754	4.69787	4.63652	4.949	4.34695	4.48678	4.44205
"ENSMUSG00000065770"	7.22899	7.5144	7.87827	7.58084	6.52681	6.64456	7.07089	7.45951	7.80428	7.28745	7.05362	7.4495
"ENSMUSG00000065771"	7.2304	6.86107	7.0936	6.62151	6.94243	6.56873	6.64199	6.85062	6.77985	6.81266	6.95279	6.84084
"ENSMUSG00000065773"	9.09318222222222	8.75039777777778	8.92770777777778	8.92297444444445	8.49419222222222	8.69014	8.65476333333333	8.60504888888889	8.69909777777778	8.82999	8.72048777777778	9.15403
"ENSMUSG00000065778"	12.5149833333333	12.5065	13.0453866666667	11.64198	11.0199633333333	11.04414	10.6786833333333	10.2943933333333	10.8643266666667	11.4240366666667	11.2273433333333	11.5657966666667
"ENSMUSG00000065782"	7.55751	7.39391666666667	7.24420666666667	7.06123	7.12551666666667	7.02538333333333	7.27365333333333	7.15949666666667	7.14715333333333	7.372	7.45540666666667	7.57289
"ENSMUSG00000065787"	3.97941	3.74902	3.88153	3.64958	3.40515	3.53874	3.60647	4.10209	3.80964	3.70278	3.64686	3.75586
"ENSMUSG00000065792"	8.17204	8.03456	8.1822	7.8374	7.79673	7.85545	7.97984	7.66283	7.77271	7.86467	7.81312	7.9173
"ENSMUSG00000065794"	6.18375	5.94437	6.08809	5.93776	6.34883	5.77751	6.14072	5.84321	6.13568	6.21684	5.97869	6.05943
"ENSMUSG00000065795"	4.42829	4.44322	4.49757	4.34143	4.46159	4.47994	4.59869	4.50092	4.46423	4.48799	4.38289	4.44201
"ENSMUSG00000065797"	5.22856	5.07726	4.79868	4.97466	4.74823	4.94958	5.23288	4.94933	5.18801	4.84077	4.76277	4.73784
"ENSMUSG00000065798"	3.7562	3.6401	3.50088	3.28655	3.48074	3.45214	3.70392	3.55725	3.65673	3.83422	3.69969	3.72919
"ENSMUSG00000065799"	8.51176	8.37218	8.26305	8.142	8.52302	8.51887	8.32246	8.5786	8.47807	8.49273	8.80612	8.60909
"ENSMUSG00000065800"	6.00167	6.27766	6.25346	6.14711	6.26669	6.23818	6.25263	6.10184	6.21194	6.41553	6.17802	6.32634
"ENSMUSG00000065802"	5.23844	5.24606	5.37977	5.36174	5.45913	5.26528	5.42856	5.25188	4.7812	5.12972	4.96409	5.28725
"ENSMUSG00000065803"	6.20707	6.41643	6.64738	6.50581	6.41794	6.57329	6.4328	6.23903	6.28676	6.56864	6.63956	6.8036
"ENSMUSG00000065804"	4.67869	4.77683	4.57666	4.50931	4.42613	4.54196	4.79221	4.69699	5.23323	4.38406	4.53201	4.42237
"ENSMUSG00000065806"	6.75612	6.87116	6.91102	6.849	6.95002	6.84448	6.78068	6.62376	6.63157	6.96599	7.06103	7.0747
"ENSMUSG00000065807"	3.90603	4.10633	4.36978	3.48168	3.42868	3.84172	4.348	4.39621	4.7598	3.67939	3.39562	3.74011
"ENSMUSG00000065808"	8.3507	8.6578	8.57585	8.34962	8.33395	7.74624	8.22711	8.18547	8.38227	8.66828	8.64516	8.69825
"ENSMUSG00000065811"	3.87815	3.79649	3.98222	3.64535	3.48469	3.64813	3.75788	3.79558	4.05869	3.67051	3.67509	3.7148
"ENSMUSG00000065812"	7.73117	7.88887	7.95005	7.70432	7.78103	7.81181	7.84554	7.89015	7.99568	7.7732	7.7553	7.85329
"ENSMUSG00000065813"	7.22611	6.64838	6.80568	6.68153	6.91223	6.74735	6.31731	6.22824	6.13279	6.79847	6.58808	6.53928
"ENSMUSG00000065815"	5.84353	5.79499	5.4759	5.58109	5.50575	5.57595	5.62671	5.37496	5.73151	5.56595	5.52561	5.39826
"ENSMUSG00000065817"	9.895965	9.620525	10.04261	9.30242	8.63588	8.43304	8.74338	8.766115	9.393795	9.09496	9.199895	9.569335
"ENSMUSG00000065818"	9.18583	8.79391333333333	8.90352666666667	9.94697	8.86330333333333	8.66068	9.04058	9.00958333333333	8.88287666666667	9.88684333333333	9.60499666666667	10.6126833333333
"ENSMUSG00000065820"	9.47793	9.56674428571429	11.2438185714286	10.0840157142857	8.32255571428571	7.51131285714286	8.62780142857143	8.82495714285714	9.96858285714286	8.67706857142857	9.13526142857143	10.0997528571429
"ENSMUSG00000065822"	6.64382	6.78411	7.11077	6.81656	6.73034	6.64819	6.9351	6.69261	6.7113	6.81946	6.81019	7.23215
"ENSMUSG00000065823"	6.90336	6.8633	7.21658	6.85439	6.31243	6.52149	6.75355	6.54212	6.58817	6.6179	6.40352	6.57987
"ENSMUSG00000065824"	10.50923	10.59432	10.39521	11.063255	11.427065	11.42983	10.942575	11.12344	11.193045	11.06261	11.21133	11.21358
"ENSMUSG00000065825"	6.52574	6.58184	6.2493	5.85609	5.97308	6.21772	6.23874	6.21858	6.39113	6.08341	6.22751	6.49583
"ENSMUSG00000065836"	6.21942	6.17608	6.340165	5.95627	5.798285	5.789155	6.05591	6.03468	6.34875	5.939485	5.750875	6.1346
"ENSMUSG00000065837"	6.65984	6.53007	6.71378	6.83395	6.75961	6.66847	6.69859	6.49307	6.42474	6.64784	6.88733	6.91683
"ENSMUSG00000065840"	8.12317	8.10516	8.14216	7.94261	8.10102	8.03951	8.16839	8.03701	7.92159	8.18569	8.02998	8.09999
"ENSMUSG00000065843"	7.38056	7.26064	7.47744	7.4755	7.41679	7.38746	7.95359	7.60592	7.25155	7.31018	7.33124	7.20385
"ENSMUSG00000065845"	9.41623	9.36308	9.50632	9.42486	9.74908	9.28427	9.39165	9.26	9.50149	9.31306	9.23495	9.13415
"ENSMUSG00000065847"	6.77894333333333	6.93468666666667	6.86162666666667	6.84432666666667	7.09079666666667	7.37497	6.43545333333333	6.72981666666667	7.0299	6.98854	7.11569666666667	7.13839
"ENSMUSG00000065852"	3.54091	3.55455	3.55794	3.31091	3.48157	3.67525	3.59283	3.66936	3.62707	3.63865	3.43392	3.6769
"ENSMUSG00000065853"	8.137424	8.265136	8.054006	8.450664	8.054632	8.062824	8.223114	8.447272	8.348028	8.660022	8.654414	9.064024
"ENSMUSG00000065858"	6.39115	6.57279	6.45686	6.30617	6.44847	6.38663	6.65053	6.50218	5.92309	6.43535	6.23638	6.24139
"ENSMUSG00000065859"	8.057165	7.732885	7.58628	8.02863	7.716465	7.52297	8.11414	7.929315	7.82688	7.69283	7.5336	7.232175
"ENSMUSG00000065862"	10.559655	10.826695	10.785975	10.69725	10.67563	10.63122	10.54882	10.685155	10.53243	10.666415	10.79105	10.82381
"ENSMUSG00000065864"	7.58836	7.58083	7.67365	7.33636	7.41546	7.19681	7.554	7.16736	7.35876	7.48901	7.2496	7.58123
"ENSMUSG00000065865"	4.16905	3.94474	4.01897	3.95211	4.09691	4.04692	4.25999	4.36664	4.34236	4.09415	4.05907	4.15294
"ENSMUSG00000065866"	7.30077	7.04539	7.20273	7.07848	7.09615	6.92397	7.83594	7.16182	7.04505	7.00722	6.99383	7.10995
"ENSMUSG00000065869"	6.34059	6.46025	6.53634	6.23588	6.26356	6.15803	6.28253	6.33321	6.39181	6.33937	6.29683	6.46277
"ENSMUSG00000065870"	6.70531	6.25259	6.83339	6.78146	6.35429	6.33244	6.17103	6.20814	6.45453	7.00463	6.74185	7.54337
"ENSMUSG00000065872"	3.30465	3.28595	3.35842	3.25566	3.22187	3.25896	3.45745	3.39269	3.3046	3.25136	3.13756	3.32679
"ENSMUSG00000065873"	7.42965	7.35283	7.29219	7.12686	6.97677	7.04114	7.6531	7.25485	7.5014	7.19787	7.12773	7.09841
