"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000033429"	7.18274	7.2774	6.56088	7.07286	7.04101	6.3025	6.34424	6.2901	6.3325	6.59556	6.39907
"ENSMUSG00000033430"	4.472	4.78788	4.67867	4.59314	4.46366	4.30361	4.40771	4.25829	4.41676	4.34501	4.39209
"ENSMUSG00000033436"	7.52328	7.07273	7.87012	7.65416	7.74797	8.26689	7.83794	8.27019	7.97332	8.09692	7.6819
"ENSMUSG00000033454"	3.34065	3.16578	3.15877	3.36935	3.44165	3.69382	3.74842	3.7719	3.77623	3.53341	3.47782
"ENSMUSG00000033475"	5.67992	5.79851	5.68838	5.58396	5.70895	5.6891	5.74005	5.6891	5.64993	5.6891	5.72013
"ENSMUSG00000033487"	4.66819	4.47736	4.67967	4.63063	4.21904	4.76452	4.71117	5.01827	5.09348	4.95167	4.80534
"ENSMUSG00000033499"	5.99462	5.68134	6.03327	5.84117	5.1822	6.50975	6.40531	6.56678	6.04542	6.32025	6.14979
"ENSMUSG00000033501"	5.72067	5.82469	5.90164	5.71562	5.62578	5.8362	5.83471	5.67897	5.68799	5.66797	5.68534
"ENSMUSG00000033508"	7.0132	7.24367	7.06131	6.95237	6.71342	6.8346	6.95498	6.95349	6.9326	6.73474	6.95349
"ENSMUSG00000033530"	5.26302	5.20901	5.37653	5.4366	5.29698	5.27373	5.371	5.14379	5.35174	5.2564	5.25295
"ENSMUSG00000033538"	5.66307	5.65336	5.7358	5.57721	5.70794	6.04023	5.59923	5.90709	5.61462	5.94364	5.47063
"ENSMUSG00000033540"	5.45105	5.62288	5.53722	5.37193	5.27334	5.4574	5.47657	5.56364	5.71071	5.52139	5.61533
"ENSMUSG00000033542"	3.1682	3.22136	3.17626	3.15845	3.09431	3.11188	3.32803	3.3429	3.27427	3.0883	3.28808
"ENSMUSG00000033543"	7.57272	7.30352	7.39885	7.59037	7.80843	7.3216	7.30006	7.51246	7.1689	7.69183	7.09787
"ENSMUSG00000033545"	6.19050666666667	6.22036666666667	6.27003666666667	6.39420333333333	6.42247666666667	6.46641	6.55480666666667	6.49057666666667	6.42778	6.38383666666667	6.47412333333333
"ENSMUSG00000033554"	5.37598	5.43323	5.53967	5.45682	5.18652	5.39715	5.27797	5.08053	5.0305	5.3561	5.07334
"ENSMUSG00000033565"	5.7441	5.87028	5.84634	5.85392	5.77999	5.76516	5.68785	5.90841	5.7096	5.73179	5.82907
"ENSMUSG00000033577"	5.134765	5.310965	5.200155	5.26846	4.93104	4.968015	5.19662	5.11355	5.247935	5.02864	5.107175
"ENSMUSG00000033581"	8.24249	8.30744	8.3237	8.40512	7.86607	8.63819	8.74324	8.84538	8.77975	8.67254	8.70945
"ENSMUSG00000033585"	8.216855	7.874885	8.30262	8.364435	8.54849	8.11049	7.862415	8.118915	8.10134	8.185595	7.897655
"ENSMUSG00000033615"	7.82247	7.77375	7.7819	7.7819	7.60046	7.73428	7.79126	7.90368	7.8228	7.71811	7.83012
"ENSMUSG00000033628"	6.1343	6.07567	6.08959	6.0616	6.34371	5.94172	6.06723	6.11499	6.06541	6.00305	5.96111
"ENSMUSG00000033629"	6.12454	6.122505	6.043595	6.12073	6.155605	6.1364	6.1259	6.23695	6.34212	6.236185	6.243965
"ENSMUSG00000033658"	6.12808	6.0697	6.16087	5.89489	5.67628	6.27798	6.33911	6.29162	6.13193	6.14157	6.22106
"ENSMUSG00000033671"	6.29932	6.21544	6.46615	6.17759	5.22069	6.21146	6.1584	6.17748	5.95492	6.29369	5.96373
"ENSMUSG00000033676"	3.63628	3.90599	3.80204	3.66941	3.59688	3.67557	3.65129	3.79614	3.71193	3.63046	3.71846
"ENSMUSG00000033684"	5.608275	5.715925	5.85117	6.092655	5.501285	6.149985	6.035875	5.89374	6.1155	6.081645	6.29625
"ENSMUSG00000033688"	3.25348	3.33029	3.31502	3.31924	3.51691	3.31924	3.15155	3.3553	3.41988	3.2004	3.41545
"ENSMUSG00000033697"	7.54797	7.85984	7.67871	7.6483	7.3884	7.25247	7.2013	7.19783	7.32369	7.2014	7.32071
"ENSMUSG00000033706"	6.117875	5.971205	6.18526	6.20354	6.25682	5.89197	5.891005	5.921135	5.950075	5.873755	5.88833
"ENSMUSG00000033707"	7.25765	7.33733	6.90255	7.17159	6.84097	6.61176	6.8332	6.44351	6.61045	6.85493	6.78726
"ENSMUSG00000033717"	4.9789	4.70715	4.78683	4.90234	4.77212	4.36878	4.55752	4.61354	4.67147	4.74173	4.71598
"ENSMUSG00000033732"	7.72555	7.60387	7.79471	7.74874	7.70852	7.71907	7.6873	7.76452	7.80206	7.74874	7.7847
"ENSMUSG00000033735"	7.12968	7.05693	6.97806	7.3324	7.40795	7.03886	6.96318	6.91555	6.98497	7.19767	7.04147
"ENSMUSG00000033739"	5.87011	5.97761	5.89567	5.89389	6.17085	5.9472	6.02878	5.94731	5.86482	6.07384	6.04274
"ENSMUSG00000033760"	7.03605	7.08146	6.98884	6.95559	6.83291	6.75676	6.79322	6.81263	6.79573	6.92827	6.83934
"ENSMUSG00000033763"	5.99021	5.90545	5.91035	6.08087	5.80628	6.04603	5.87464	5.87566	5.57364	5.87719	5.4276
"ENSMUSG00000033765"	6.72317	6.74426	6.65711	6.51265	6.70393	6.71541	6.75159	6.84094	6.88372	6.53236	6.78093
"ENSMUSG00000033770"	5.75534	5.9042	5.90209	5.95522	6.16622	5.72911	5.82188	5.53231	5.74306	5.57511	5.88957
"ENSMUSG00000033792"	5.2358	5.277895	5.159475	5.18351	5.082865	5.39951	5.543305	5.7549	5.718825	5.4311	5.620885
"ENSMUSG00000033793"	7.9796	8.07621	7.83501	8.08765	7.86428	8.13173	8.37709	8.21792	8.44593	8.26207	8.52858
"ENSMUSG00000033809"	8.09359	8.21053	8.32116	8.1687	7.89956	7.78505	7.70844	7.81255	7.92497	7.84334	7.79356
"ENSMUSG00000033813"	6.97866333333333	6.81720666666667	6.90440333333333	7.06872333333333	6.82336333333333	6.45539333333333	6.31839666666667	6.2382	6.33540666666667	6.54642333333333	6.32193333333333
"ENSMUSG00000033825"	7.98324	8.1142	8.05479	8.00936	7.99667	7.98422	8.0059	7.88483	8.09048	7.88115	8.08182
"ENSMUSG00000033826"	3.54644	3.58985	3.51852	3.49489	3.52019	3.56058	3.52686	3.52686	3.48831	3.54565	3.52686
"ENSMUSG00000033831"	2.9052	2.72171	2.88422	2.61144	2.89926	3.20606	2.98245	2.89274	3.26803	2.64527	2.94519
"ENSMUSG00000033834"	6.25973	6.13855	6.2406	6.29723	6.10923	6.13855	6.17476	6.08362	6.18875	5.98344	6.12149
"ENSMUSG00000033837"	6.93624	7.19873	7.11671	6.99277	7.09734	7.23278	7.37098	7.27859	7.46665	7.22276	7.41882
"ENSMUSG00000033845"	7.88477	7.82666	7.44948	7.70081	7.85394	6.83169	6.88402	6.71429	6.71424	7.08229	6.84684
"ENSMUSG00000033849"	5.73899	5.37418	5.70961	5.60977	5.11481	5.11481	4.98993	4.59566	4.76089	5.05703	4.94574
"ENSMUSG00000033860"	3.06256	3.16423	3.03379	3.05995	3.08082	3.13604	3.04698	3.06548	3.09427	3.0995	3.14846
"ENSMUSG00000033863"	6.57303	6.508345	6.34296	6.71406	5.900145	6.796595	6.92373	7.08372	6.93403	6.89681	6.851285
"ENSMUSG00000033880"	9.9079	9.61897	10.09506	9.98193	9.46293	9.57833	9.38282	9.0499	9.16828	9.59163	9.37775
"ENSMUSG00000033885"	6.86656	6.64649	6.73149	6.81567	6.84405	7.33148	7.25622	7.33821	7.27721	7.15997	7.23082
"ENSMUSG00000033898"	4.15582666666667	4.05377333333333	3.95906	4.2095	3.42825	4.30170333333333	4.29169333333333	4.26821	4.2277	4.15092333333333	4.02964333333333
"ENSMUSG00000033902"	6.86363	7.00016	6.88016	6.9459	6.76358	6.82063	6.85001	6.86473	6.97252	6.69746	6.94462
"ENSMUSG00000033916"	7.89688	7.88453	7.90784	8.00159	8.58812	8.10822	8.14582	7.89841	7.85128	8.27038	7.95503
"ENSMUSG00000033918"	8.38548	8.17449	8.27926	8.33463	8.41164	7.85219	7.70174	7.48547	7.43729	7.90794	7.6768
"ENSMUSG00000033933"	5.23645	5.32846	5.23075	5.29313	5.39235	5.10853	5.23666	5.22227	5.48078	5.15047	5.32336
"ENSMUSG00000033938"	10.18115	10.2659	10.16111	10.14243	10.14969	9.85446	9.95713	9.86986	9.66172	10.1012	9.87206
"ENSMUSG00000033940"	9.64206	9.51454	9.52223	9.61389	9.89858	9.36442	9.29786	9.38381	9.34971	9.50508	9.21187
"ENSMUSG00000033952"	3.89251	3.80108	4.38445	3.81805	3.86196	4.03293	3.23977	4.26484	3.44917	4.46216	3.49095
"ENSMUSG00000033953"	8.53751	8.45673	8.53081	8.61877	8.23808	8.19302	8.19339	8.04685	8.28846	8.13217	8.23557
"ENSMUSG00000033955"	6.77966	6.64428	6.88407	6.8074	6.75538	7.21736	7.24221	7.00229	7.04631	7.13115	7.05668
"ENSMUSG00000033965"	5.874295	5.809135	5.77319	5.773985	5.586575	5.96619	5.9093	5.92836	5.944035	6.09701	5.84968
"ENSMUSG00000033967"	6.09443	6.26806	6.38414	6.21332	6.07124	6.09007	6.21919	6.24697	6.30304	6.00282	6.38566
"ENSMUSG00000033970"	4.94507	4.99255	5.26576	4.96016	5.09869	4.9299	4.99179	4.98575	5.01219	4.86723	4.83126
"ENSMUSG00000033981"	3.01646666666667	3.01844	2.96744	2.86901	2.9667	2.94988	2.99313	3.02526	3.03896	2.95782666666667	3.00927666666667
"ENSMUSG00000033983"	4.56186	4.42927	4.47749	4.3698	4.14538	4.15017	4.19509	4.1745	4.06825	4.04156	4.02711
"ENSMUSG00000033998"	5.74479	5.73314	5.65156	5.6517	5.36673	5.64997	5.54	5.61072	5.64705	5.46437	5.46245
"ENSMUSG00000034006"	7.71177	7.8034	7.84904	7.78968	7.76584	7.76282	7.94569	7.8687	7.9629	7.72824	7.86946
"ENSMUSG00000034021"	3.61249	3.34425	3.79891	3.54707	3.28545	3.37857	3.3695	3.33338	3.38344	3.27108	3.33398
"ENSMUSG00000034032"	5.75913	5.78467	6.04785	5.8134	5.91467	5.99742	5.76248	5.94305	5.90517	6.08427	5.94288
"ENSMUSG00000034041"	5.49297	5.497005	5.413655	5.335885	5.32587	5.308455	5.312495	5.28477	5.190545	5.24752	5.177825
"ENSMUSG00000034055"	4.47776	4.41908	4.58839	4.65256	4.09493	4.37169	4.63659	4.59016	4.59861	4.33188	4.45578
"ENSMUSG00000034075"	5.53751	5.2528	5.71456	5.67832	5.0333	5.34271	5.27159	5.17363	5.34523	5.44177	5.03906
"ENSMUSG00000034088"	9.05195	8.82269	9.23135	9.02026	8.94495	9.58764	9.63208	9.75689	9.52019	9.51766	9.38841
"ENSMUSG00000034101"	7.30056	7.266465	7.486795	7.45849	6.895625	7.02441	7.006625	6.90822	7.021525	6.888955	6.773085
"ENSMUSG00000034108"	7.40416	7.54709	7.33867	7.39292	7.93255	7.69716	7.55092	7.50435	7.56031	7.72642	7.58719
"ENSMUSG00000034109"	5.13974	4.99831	5.26417	5.26498	4.71379	5.28329	5.28796	5.31983	5.60086	5.25383	4.90426
"ENSMUSG00000034116"	5.32696666666667	5.48322333333333	5.39042333333333	5.33025333333333	5.39214666666667	5.41924333333333	5.53401666666667	5.42611666666667	5.41402666666667	5.30557	5.45082666666667
"ENSMUSG00000034117"	7.36614	7.53358	7.27761	7.28381	7.32407	7.11083	7.16419	7.20919	7.30947	7.2341	7.3715
"ENSMUSG00000034118"	7.43582	7.21472	7.53549	7.53152	7.31521	7.72719	7.57265	7.76816	7.60346	7.60969	7.49185
"ENSMUSG00000034120"	8.950985	8.71444	9.110585	8.92788	9.303695	8.672395	8.50594	8.735965	8.51752	8.808735	8.46159
"ENSMUSG00000034127"	2.70625	2.69799	2.71628	2.6394	2.69799	2.70271	2.65369	2.6598	2.79475	2.65729	2.81229
"ENSMUSG00000034157"	5.18422	5.16144	5.27806	4.9873	4.82243	5.40965	5.4486	5.45903	5.6035	5.53042	5.51664
"ENSMUSG00000034158"	8.20182	7.69492	8.02887	8.07029	7.0651	8.39022	8.19377	8.18689	8.27685	8.31445	7.92336
"ENSMUSG00000034160"	6.00301	5.79686	6.03488	5.95352	4.45368	6.09625	6.08293	5.89428	5.84816	6.19001	5.78843
"ENSMUSG00000034161"	7.42141	7.64563	7.3945	7.56516	7.45059	7.37993	7.36618	7.42488	7.46691	7.33676	7.4851
"ENSMUSG00000034164"	7.02137	7.37061	7.1378	7.22936	7.35544	7.45639	7.56403	7.55107	7.54635	7.47895	7.52616
"ENSMUSG00000034165"	8.28392	8.26406	8.28407	8.39135	8.37134	8.33501	8.2477	8.42364	8.27335	8.4274	8.25179
"ENSMUSG00000034171"	5.67585	5.8456	5.83789	5.84115	6.14463	5.86117	5.76988	5.84285	5.8755	5.77554	5.84024
"ENSMUSG00000034187"	6.76684	6.88002	6.87321	6.90535	6.90593	6.72098	6.76801	6.76965	6.7923	6.67179	6.759
"ENSMUSG00000034190"	7.0235	6.93403	6.95311	7.10876	6.88613	6.66076	6.83644	6.7203	6.76687	6.88613	6.88613
"ENSMUSG00000034192"	7.78727	7.57973	7.92509	7.72978	8.11473	7.77188	7.32153	7.6675	7.15617	7.83305	7.26463
"ENSMUSG00000034194"	7.19091	7.13136	7.08753	7.26763	7.32161	6.94219	7.01199	6.99994	7.08376	7.01127	7.08376
"ENSMUSG00000034211"	8.2629	8.15063	8.25165	8.31298	8.45993	7.95545	7.64404	7.6928	7.56344	8.07158	7.66389
"ENSMUSG00000034218"	4.50384	4.56299	4.45496	4.39863	3.83497	4.30799	4.35354	4.56325	4.64763	4.60664	4.46328
"ENSMUSG00000034220"	7.21248	7.32287	7.37619	7.20539	7.30766	6.88345	6.8503	7.03552	7.11889	6.92747	6.95408
"ENSMUSG00000034227"	7.03655	7.31165	7.26941	7.09898	6.98077	7.06832	7.09248	7.18087	7.1494	6.9129	7.24292
"ENSMUSG00000034252"	5.58878	5.22133	5.33371	5.43734	4.87658	5.53617	5.61176	5.47227	5.38817	5.6261	5.45885
"ENSMUSG00000034254"	7.50687	7.58333	7.47345	7.4588	7.50469	7.61647	7.58391	7.48314	7.57507	7.61773	7.60954
"ENSMUSG00000034258"	4.45992	4.3424	4.48169	4.54917	3.99594	4.05253	3.91839	4.07191	4.10542	4.09945	4.08285
"ENSMUSG00000034259"	7.64272	7.6518	7.68099	7.61202	7.63795	7.35561	7.37646	7.29945	7.5133	7.29346	7.44974
"ENSMUSG00000034263"	7.53956	7.88555	7.76348	7.66681	7.38165	7.45704	7.39033	7.45073	7.48217	7.31603	7.48269
"ENSMUSG00000034265"	4.91201	5.14339	5.00606	5.18293	4.76156	5.20842	5.28143	5.35163	5.33719	4.94504	5.15286
"ENSMUSG00000034266"	6.99596	6.99539	6.96554	7.06011	6.90519	6.79895	6.7862	6.97355	6.90768	6.76327	6.95172
"ENSMUSG00000034278"	5.42115	5.49102	5.47128	5.51116	5.8986	5.55369	5.67357	5.53564	5.53564	5.37102	5.56558
"ENSMUSG00000034285"	5.34617	5.45316	5.35202	5.41317	5.32531	5.34154	5.35202	5.36385	5.37145	5.33471	5.35723
"ENSMUSG00000034290"	7.04019	7.10743	6.99381	6.97851	6.88867	6.95294	6.97858	6.93683	6.98127	6.91815	7.02684
"ENSMUSG00000034295"	3.28269	3.31568	3.20032	3.10401	2.7579	2.90317	3.18796	2.98275	3.13743	3.08407	3.0188
"ENSMUSG00000034311"	5.18656	4.55279	5.2676	4.95535	4.95244	4.87911	4.44028	4.85966	4.35246	5.15099	4.41135
"ENSMUSG00000034317"	5.31086	4.71193	5.35539	5.14979	5.38994	5.49766	5.32345	5.82751	5.41488	5.7797	5.00778
"ENSMUSG00000034320"	6.03216	6.03764	5.99731	5.94577	5.95761	6.05593	5.99833	5.99833	6.03074	6.01603	5.98397
"ENSMUSG00000034327"	5.31479	5.39145	5.47864	5.43633	5.25102	5.31431	5.45575	5.38176	5.38176	5.26654	5.1949
"ENSMUSG00000034330"	5.52396	5.92752	5.45014	5.43542	5.6834	5.75696	5.97958	5.71984	5.88907	5.75345	5.905
"ENSMUSG00000034336"	2.94056	3.155485	2.99109	2.909885	2.957165	2.847865	3.01298	2.89238	3.019995	2.94228	2.994865
"ENSMUSG00000034341"	8.94413	8.88581	8.73514	8.8456	8.86594	9.19113	9.20287	9.13855	9.21962	9.18011	9.12356
"ENSMUSG00000034342"	5.37796	5.4248	5.51981	5.2986	5.33085	5.30002	5.26422	5.2043	5.36538	5.27409	5.36067
"ENSMUSG00000034343"	5.08433	5.18967	5.12421	5.13017	5.08907	4.89408	5.00681	5.02558	5.058	4.90957	5.05948
"ENSMUSG00000034349"	7.72213	7.14945	7.97093	7.51222	6.8215	7.71097	7.27415	7.7303	7.19007	7.80976	6.87012
"ENSMUSG00000034353"	6.41359	6.69725	6.57531	6.68002	6.62519	7.17753	7.46461	7.3458	7.63028	6.83203	7.40547
"ENSMUSG00000034377"	7.80716	7.42256	7.96519	8.01515	6.77636	7.9436	7.91576	8.04902	8.0959	7.74975	7.86807
"ENSMUSG00000034390"	7.05277	7.079905	6.98637	6.927985	7.163765	7.932385	7.98309	7.909395	7.6566	7.980845	7.67235
"ENSMUSG00000034391"	2.97879	3.15214	2.99066	2.87613	2.85909	2.81101	2.89112	2.89112	2.89112	2.8331	2.80665
"ENSMUSG00000034394"	3.35925	3.42367	3.42463	3.33798	3.42659	3.06619	3.36088	3.36132	3.38888	3.38888	3.4267
"ENSMUSG00000034401"	6.80922	6.75369	6.85864	6.84652	6.56182	6.41127	6.54213	6.54699	6.69064	6.2045	6.51965
"ENSMUSG00000034403"	5.787755	5.71376	5.809125	5.78618	5.94728	5.707105	5.62325	5.7085	5.529995	5.85275	5.383195
"ENSMUSG00000034412"	6.48732	6.51771	6.43526	6.58775	6.50036	6.38633	6.37178	6.53447	6.52353	6.40994	6.48027
"ENSMUSG00000034424"	8.39313	8.28287	8.10524	8.15377	8.54382	8.02547	8.08455	7.87681	7.85405	8.37491	7.91496
"ENSMUSG00000034432"	7.67758	7.60735	7.80902	7.71806	7.74758	7.74148	7.74178	7.6834	7.4188	7.66903	7.38519
"ENSMUSG00000034435"	3.36325	3.15743	3.120045	3.33645	3.289855	3.21942	3.28344	3.07387	3.23793	3.132225	3.242405
"ENSMUSG00000034459"	5.89067	6.01444	6.09935	6.23112	5.36824	4.62061	4.80957	4.71751	5.03026	4.92136	5.10551
"ENSMUSG00000034460"	3.84796	3.94545	4.00215333333333	3.8356	3.69465	3.78302333333333	3.76684666666667	3.86258666666667	3.82050666666667	3.74545	3.76808333333333
"ENSMUSG00000034462"	7.06001	6.84911	7.33573	7.25547	6.40969	6.80679	6.75357	6.9783	7.25237	6.95051	6.85327
"ENSMUSG00000034480"	4.14106	4.13805	4.48933	4.3683	4.81007	5.0875	5.02739	5.00854	4.8693	4.89614	5.07523
"ENSMUSG00000034484"	7.14376	7.082235	7.019275	7.30432	7.27856	6.83128	6.710565	6.79979	7.054745	6.95231	6.896685
"ENSMUSG00000034486"	4.73443	4.77951	4.65004	4.46213	4.68561	4.59468	4.40165	4.51473	4.82831	4.43128	4.52482
"ENSMUSG00000034488"	2.44889	2.54783	2.64955	2.25864	2.65822	2.45481	2.63417	2.54998	2.54453	2.61582	2.53883
"ENSMUSG00000034509"	6.91017	6.85546	6.89099	6.80221	7.04733	6.69484	6.65523	6.82629	6.62734	6.81331	6.55016
"ENSMUSG00000034520"	5.70332	5.92415	5.85945	5.88434	6.03051	6.21709	6.31012	6.22943	6.11104	6.05537	6.35874
"ENSMUSG00000034525"	5.93895	5.68395	6.21487	6.01407	5.23552	5.75611	5.62506	5.73634	5.65167	5.79642	5.52881
"ENSMUSG00000034533"	4.10938	4.33396	4.19293	4.07262	4.28387	4.1112	4.08531	4.25418	4.03825	4.06895	4.13178
"ENSMUSG00000034570"	6.57256	7.06179	6.66749	6.64049	6.55269	6.35306	6.52573	6.36861	6.63929	6.45212	6.54824
"ENSMUSG00000034573"	4.92204	4.69247	5.02788	5.014	4.95491	5.59576	5.48435	5.61144	5.20046	5.35749	5.18158
"ENSMUSG00000034593"	3.105475	3.07866	3.206105	3.232435	2.712475	2.642905	2.93526	2.81029	2.93306	2.87176	2.90275
"ENSMUSG00000034595"	9.47852	9.39187	9.5782	9.4291	9.36096	9.39867	9.29063	9.4385	9.30613	9.30637	9.25679
"ENSMUSG00000034620"	4.74512	4.71834	4.80148	4.795	4.83022	4.7582	4.80423	4.74306	4.74954	4.76147	4.67473
"ENSMUSG00000034634"	6.4295	6.63792	6.75127	6.59604	6.63999	6.6342	6.77636	6.76719	6.73009	6.61458	6.77931
"ENSMUSG00000034636"	3.86798	3.83256	3.83963	3.70333	3.90445	3.87383	3.85067	3.83443	3.85006	3.67974	3.83443
"ENSMUSG00000034640"	6.55146	6.75227	6.16497	6.4069	5.77625	6.0345	6.02535	6.07657	6.05681	6.12483	6.07075
"ENSMUSG00000034648"	2.61219	2.80197	2.6289	2.76617	2.46916	2.5058	2.5425	2.4985	2.55835	2.4055	2.59341
"ENSMUSG00000034656"	4.65386	4.87676	4.95004	4.87987	4.99015	4.88008	4.903	4.87987	4.8701	4.7528	4.99958
"ENSMUSG00000034659"	7.71067	7.80859	7.838	7.67201	7.959	8.22625	8.35761	8.18456	8.17945	8.17035	8.23947
"ENSMUSG00000034663"	3.21351	2.97929	3.32435	3.25254	3.2009	2.96197	3.16623	3.30504	3.05705	3.16341	3.10882
"ENSMUSG00000034667"	6.9377	6.61813	6.97555	6.92626	6.49578	6.81419	6.70286	6.7684	6.79409	6.82933	6.42828
"ENSMUSG00000034673"	5.28458	5.36304	5.43387	5.38491	5.61079	6.14384	5.87255	6.00947	5.81442	6.02148	6.07864
"ENSMUSG00000034674"	7.68347	7.49727	7.69949	7.66103	7.55125	7.31056	7.30312	7.38869	7.18898	7.41989	7.30387
"ENSMUSG00000034675"	4.9236	5.08528	5.04077	5.10154	5.32731	5.64968	5.6251	5.5387	5.56364	5.47296	5.66711
"ENSMUSG00000034681"	9.08894	8.87092	9.08584	9.03715	9.09932	8.67942	8.51751	8.47534	8.62025	8.73235	8.6642
"ENSMUSG00000034684"	5.02715	5.36768	5.19203	5.35809	5.11767	5.03445	5.1201	5.01726	5.06363	4.86702	5.06969
"ENSMUSG00000034701"	2.45549	2.47301	2.48988	2.28076	2.45204	2.47946	2.65746	2.58126	2.48592	2.34208	2.48416
"ENSMUSG00000034707"	8.28068	8.11921	8.29622	8.66467	7.94013	8.26717	8.46591	8.47602	8.94856	8.53556	8.4701
"ENSMUSG00000034708"	9.37588	9.24678	9.52258	9.78728	9.08968	9.49623	9.52283	9.47224	9.7832	9.52649	9.72803
"ENSMUSG00000034709"	7.24671	7.2087	7.12007	7.11682	6.99339	7.16197	6.99499	7.0929	7.11453	7.11357	7.04026
"ENSMUSG00000034724"	3.89767	3.66821	3.72801	3.67809	3.48916	3.78725	3.94153	3.9132	3.93928	3.75065	3.78712
"ENSMUSG00000034729"	7.00246	6.9565	6.83604	6.9646	7.14377	6.54083	6.5245	6.36482	6.34234	6.60917	6.66834
"ENSMUSG00000034730"	6.06928	6.02275	6.02477	6.05576	6.17365	6.09672	5.97753	6.07028	6.07028	6.02275	6.18008
"ENSMUSG00000034744"	8.01256	8.02675	8.18273	8.29808	8.1159	7.7463	7.79218	7.88273	7.88925	7.9404	7.82145
"ENSMUSG00000034757"	4.79865	4.64792	4.98647	4.84537	5.30327	5.10555	5.03132	5.02032	4.96395	5.23198	4.97669
"ENSMUSG00000034777"	7.47675	7.51906	7.41302	7.26464	7.36231	7.08253	7.14314	7.05436	7.30412	7.08454	7.2366
"ENSMUSG00000034780"	6.41544	6.49238	6.59687	6.57414	6.6737	6.57628	6.70384	6.69848	6.79708	6.59689	6.76582
"ENSMUSG00000034781"	6.71613	6.81175	6.85797	6.88025	7.350375	7.3256	7.351215	7.32216	7.324145	7.320945	7.2269
"ENSMUSG00000034785"	2.80384	2.74599	2.40521	2.35158	2.56733	2.34139	2.40602	2.45148	2.42944	2.49206	2.6163
"ENSMUSG00000034786"	6.091395	6.170465	6.13401	6.23423	6.34275	6.470965	6.51086	6.41676	6.32039	6.34427	6.35635
"ENSMUSG00000034789"	7.91467	7.64513	7.64673	7.82811	7.31569	7.25603	7.17459	7.27247	7.4604	7.47195	7.20341
"ENSMUSG00000034792"	3.99585	4.04358	3.84205	4.02771	4.0061	3.9937	3.99135	3.93499	3.83411	4.00024	3.98639
"ENSMUSG00000034793"	7.84289	7.79296	7.86476	7.86045	7.72076	7.79708	7.74962	7.76821	7.80955	7.68435	7.73884
"ENSMUSG00000034801"	4.84688	4.77758	4.76215	4.91096	3.91752	4.87772	4.92651	4.7312	4.76359	4.79333	4.75427
"ENSMUSG00000034807"	8.2776	7.95751	8.51393	8.39635	7.95303	7.99427	7.71677	7.98841	7.99897	8.0106	7.9165
"ENSMUSG00000034810"	4.75309	4.6787	4.70591	4.80921	4.36191	4.83672	4.70416	4.75441	5.30298	4.78559	5.03752
"ENSMUSG00000034820"	7.60182	7.55606	7.75531	7.64523	7.40885	7.74206	7.61805	7.60149	7.60724	7.61315	7.63728
"ENSMUSG00000034826"	7.16862	7.06768	7.1176	7.07784	7.06928	7.21983	7.31532	7.26945	7.15336	7.35135	7.13576
"ENSMUSG00000034837"	3.33331	3.63093	3.41943	3.386	3.29463	3.32257	3.4149	3.59267	3.4023	3.34588	3.30093
"ENSMUSG00000034855"	2.70095	2.66975	2.67412	2.64736	2.82609	2.63289	2.81873	2.66646	2.70506	2.71395	2.77021
"ENSMUSG00000034868"	10.378685	10.307575	10.524815	10.55934	10.80778	10.467765	10.545825	10.608165	10.661055	10.44802	10.51185
"ENSMUSG00000034871"	5.41186	5.36687	5.39149	5.38455	5.38455	5.25287	5.38355	5.28874	5.45534	5.26498	5.56259
"ENSMUSG00000034880"	8.99642	9.05497	8.68559	8.81073	8.9723	8.1096	8.12557	8.00106	7.98907	8.47162	8.36968
"ENSMUSG00000034881"	7.43319	7.71811	7.69023	7.40335	7.48846	7.88919	7.75407	7.87673	7.79979	7.72238	7.8198
"ENSMUSG00000034891"	6.53966	6.74193	6.76008	6.62986	6.77451	6.62263	6.7318	6.6574	6.78159	6.53853	6.7728
"ENSMUSG00000034902"	7.60388	7.57125	7.52471	7.55564	7.58464	7.52592	7.56013	7.59815	7.44617	7.53793	7.62172
"ENSMUSG00000034906"	4.60755	4.52203	5.03466	4.60294	4.83001	4.49097	4.25	4.78819	4.56785	4.89241	4.39112
"ENSMUSG00000034908"	9.37987	9.11162	9.41138	9.42699	8.91046	10.03869	9.86064	9.65328	9.54763	9.98066	9.61643
"ENSMUSG00000034928"	6.91537	6.75321	6.87303	6.9183	6.75782	7.10148	7.03549	7.02441	7.03633	6.89074	6.8422
"ENSMUSG00000034930"	6.71583	6.76615	6.90173	6.80063	6.63105	6.60105	6.59982	6.58761	6.53231	6.43961	6.59947
"ENSMUSG00000034932"	5.7963	5.86419	5.94606	6.01379	6.75774	5.47841	5.41586	5.44573	5.38053	5.82824	5.49344
"ENSMUSG00000034940"	4.25946	4.28442	4.15403	4.20199	4.44072	4.38366	4.60147	4.36858	4.50754	4.36152	4.46836
"ENSMUSG00000034949"	7.97472	8.0655	8.10679	7.92235	7.69709	7.93616	8.0022	7.95727	7.88189	7.86914	7.93091
"ENSMUSG00000034951"	7.74738	7.59468	7.76737	7.6579	7.38381	7.31622	7.47807	7.27423	7.41468	7.3461	7.35584
