"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000001052"	2.32919	2.40316	2.50416	2.38522	2.07606	2.2815	2.28729	2.44317	2.31342	2.20424	2.21109
"ENSMUSG00000001056"	8.59659	8.23597	8.46499	8.40118	8.96725	8.15416	7.97103	7.92735	7.76225	8.28258	7.85639
"ENSMUSG00000001065"	5.00855	5.05347	4.93353	4.96685	4.75025	4.84688	4.95682	4.87614	4.90726	4.84859	4.85669
"ENSMUSG00000001098"	8.0648	8.1213	8.13952	8.32492	8.50145	8.33541	8.49335	8.547	8.77645	8.28564	8.51737
"ENSMUSG00000001100"	7.89301	7.82889	7.70452	7.84682	7.9784	7.55738	7.52188	7.41615	7.44038	7.88873	7.68237
"ENSMUSG00000001103"	6.63063	6.78542	6.73695	6.76509	6.74885	6.63306	6.68825	6.80755	6.7193	6.6305	6.88086
"ENSMUSG00000001105"	6.84515	6.6653	6.85392	6.95432	7.09357	7.26411	7.10538	7.66752	7.23694	7.51068	6.9142
"ENSMUSG00000001119"	10.50948	10.20742	10.62701	10.41775	9.84793	10.51616	10.27755	9.91128	9.86199	10.2044	9.90717
"ENSMUSG00000001123"	9.02918	9.03317	9.17455	9.31443	9.30219	9.27175	9.22418	9.22948	9.25168	9.18055	9.14057
"ENSMUSG00000001127"	7.42313	7.35246	7.34358	7.36414	7.26015	7.32522	7.25151	6.99946	7.29164	7.3132	7.06576
"ENSMUSG00000001128"	3.42923	3.5455	3.61249	3.74863	3.46669	3.81398	4.18512	3.60351	3.61344	3.77992	3.67161
"ENSMUSG00000001131"	11.37135	10.6474	11.77563	11.00084	11.8949	12.1577	11.31213	12.16258	11.67399	12.14427	11.30381
"ENSMUSG00000001150"	5.87301	5.92343	6.01761	6.0932	5.98131	6.42153	6.27459	6.28414	6.27912	6.35287	6.16135
