"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000004700"	8.96575	8.7106	9.0064	8.9531	8.8159	9.20188	9.12603	9.25105	9.34442	9.24295	9.43987	8.98854
"ENSG00000004766"	8.22854	7.93817	7.90903	7.47507	7.80536	7.94193	7.65918	7.83115	7.83346	8.11809	7.6948	7.85068
"ENSG00000004776"	12.40152	11.9772	11.23232	11.00733	11.21662	10.61888	11.30618	10.96131	11.10705	11.311	11.39351	11.73747
"ENSG00000004777"	7.12557	7.23894	7.16066	7.58787	7.44895	7.2469	7.42958	7.40306	7.36618	7.39466	7.23282	7.55824
"ENSG00000004779"	8.66507	8.63896	8.62414	8.2467	8.52205	8.81886	8.71172	8.9148	8.83508	8.67818	8.82293	8.47885
"ENSG00000004799"	7.94375	7.42066	7.48345	7.75178	7.75564	7.50901	8.44425	6.96972	7.86196	7.06336	8.11239	7.21355
"ENSG00000004809"	5.19855	5.16085	5.20197	5.28294	5.2842	5.20979	5.22049	5.2944	5.19034	5.25192	5.24416	5.11436
"ENSG00000004838"	6.93869	7.39495	7.09232	7.53946	7.14053	7.11897	7.30856	7.27051	7.39507	7.35801	7.36066	7.34104
"ENSG00000004846"	4.81677	4.86693	4.86137	4.78614	4.91877	4.80861	4.71532	4.82481	4.7489	4.67834	4.83369	4.75577
"ENSG00000004848"	7.69269	8.06175	7.8831	8.13465	7.93706	7.6989	8.03115	8.08089	8.13717	8.00994	8.13346	8.01195
"ENSG00000004864"	8.81648	8.55306	8.39895	8.15716	8.86874	8.91161	8.67025	8.76204	8.96679	8.71427	8.83126	8.62833
"ENSG00000004866"	8.18427	8.15187	8.26444	7.99715	8.25582	8.23811	8.11277	7.98418	8.20718	8.05132	8.13127	8.04287
"ENSG00000004897"	10.07316	10.03873	10.16996	10.08206	10.29655	10.28939	10.14191	10.15338	9.8591	10.07868	9.8759	9.9818
