"iWAT_M08(r1)"	"iWAT_M08(r2)"	"iWAT_M08(r3)"	"Beige/brite (cold on iWAT)_M08(r1)"	"Beige/brite (cold on iWAT)_M08(r2)"	"Beige/brite (cold on iWAT)_M08(r3)"	"iWAT_M08(r4)"	"iWAT_M08(r5)"	"iWAT_M08(r6)"	"Beige/brite (cold on iWAT)_M08(r4)"	"Beige/brite (cold on iWAT)_M08(r5)"	"Beige/brite (cold on iWAT)_M08(r6)"
"ENSMUSG00000000627"	6.101715	6.039405	6.04734	6.0234	5.968805	6.052715	5.868065	6.09944	6.01878	6.019845	6.023425	6.03118
"ENSMUSG00000000628"	10.29588	10.43776	10.34029	11.14983	11.21299	11.15687	10.53949	11.12676	10.425	11.60965	11.46806	11.68826
"ENSMUSG00000000631"	8.63273	8.70654	8.52897	8.49776	8.6259	8.46419	8.55735	8.62335	8.52361	8.45809	8.63492	8.63646
"ENSMUSG00000000632"	6.226765	6.22525	6.406845	6.49773	6.423255	6.42622	6.43289	6.26621	6.394435	6.673355	6.53181	6.57883
"ENSMUSG00000000673"	7.41128	7.41139	7.4144	7.18238	7.16995	7.14966	7.37167	7.42507	7.49574	7.25546	7.46302	7.24362
"ENSMUSG00000000682"	12.17681	12.08021	12.13511	11.09743	11.33904	10.61768	11.73957	12.05584	12.31422	11.02821	11.56803	11.02646
"ENSMUSG00000000686"	6.542945	6.53173	6.535265	6.558075	6.597445	6.714095	6.61525	6.5756	6.37983	6.50806	6.60694	6.58633
"ENSMUSG00000000690"	6.67055	6.41342	6.33433	5.75615	5.83401	5.73979	6.33862	6.07495	6.0941	5.72075	6.27416	6.04177
"ENSMUSG00000000693"	6.79626	6.68072	6.75992	6.72173	6.6864	6.45246	6.71215	6.64427	6.64832	6.76194	6.83879	6.70929
"ENSMUSG00000000706"	4.87340333333333	4.88049333333333	4.92812333333333	4.94742	4.89852333333333	4.97478333333333	4.92216333333333	4.92466	4.89067	5.00065666666667	4.89181333333333	4.90668333333333
"ENSMUSG00000000708"	8.675545	8.65196	8.440805	8.70648	8.639085	8.88567	8.782895	8.82366	9.03501	8.701935	8.7671	8.77214
"ENSMUSG00000000711"	6.5624	6.40332	6.49256	6.3371	6.40428	6.16303	6.132	5.93738	6.04209	6.52231	6.29977	6.91155
"ENSMUSG00000000724"	5.1638	5.13444	5.11483	5.15245	5.12545	5.16403	5.20073	5.12216	5.08869	5.32422	5.25165	5.40615
"ENSMUSG00000000730"	5.48304	5.35514	5.50887	5.62046	5.75485	5.45092	5.39596	5.34991	5.32134	5.66088	5.57928	5.67998
"ENSMUSG00000000731"	5.92719	5.88974	5.8193	5.92306	5.87306	5.85555	5.88222	5.80013	5.85862	5.97175	6.00773	6.05201
"ENSMUSG00000000732"	8.96226	8.83101	8.89334	8.22956	8.43349	8.52759	8.74423	8.90643	8.85026	8.24767	8.52485	8.19206
"ENSMUSG00000000738"	8.16706	8.12048	8.01913	8.46658	8.41886	8.05029	8.12545	7.79974	7.95872	8.27967	8.43707	8.2988
"ENSMUSG00000000739"	6.33127	6.27035	6.63049	6.31251	6.2108	6.1839	6.22322	6.31397	6.21319	6.37223	6.21474	6.31868
"ENSMUSG00000000740"	13.0812033333333	13.0753566666667	13.1477066666667	12.6819866666667	12.7137233333333	12.6088	13.0775233333333	13.1965333333333	13.2575	12.4691766666667	12.7221766666667	12.4301266666667
"ENSMUSG00000000743"	9.17722	9.17312	9.25171	8.71091	8.69897	8.4123	9.14013	8.88	8.87099	9.11448	9.32851	8.89912
"ENSMUSG00000000751"	9.932135	9.817785	9.965045	9.33764	9.42692	9.40322	9.78165	9.8327	9.82996	9.125975	9.451985	9.2281
"ENSMUSG00000000753"	10.94052	10.89026	10.89835	10.15697	10.33554	9.933895	10.58587	10.26921	10.34976	10.63054	10.496525	10.403885
"ENSMUSG00000000759"	7.35219	7.42595	7.4597	6.81168	6.88756	7.23816	7.241	7.35157	7.27835	6.97727	7.11463	6.82305
