"BAT_M05(r1)"	"BAT_M05(r2)"	"BAT_M05(r3)"	"eWAT_M05(r1)"	"eWAT_M05(r2)"	"eWAT_M05(r3)"
"ENSMUSG00000001281"	5.84099	5.62476	5.95221	5.97671	6.10404	5.96841
"ENSMUSG00000001285"	6.508825	6.49955	6.45941	6.491985	6.511335	6.5636
"ENSMUSG00000001288"	7.968625	8.03974	8.00157	8.0779	7.976615	7.882215
"ENSMUSG00000001289"	9.58873	9.63626	9.75112	9.872405	10.045275	10.015065
"ENSMUSG00000001300"	6.5450925	6.684265	6.45284	6.50148	6.45784	6.476155
"ENSMUSG00000001305"	7.1644	7.04267	7.07629	7.09678	7.34512	7.02683
"ENSMUSG00000001313"	6.68911	6.78448	6.84235	6.87689	6.94544	6.72287
"ENSMUSG00000001323"	7.709594	7.640538	7.615858	7.059972	6.85899	7.047764
"ENSMUSG00000001333"	5.33819	5.20606666666667	5.29688	5.24168333333333	5.27872	5.22994
"ENSMUSG00000001334"	6.408785	6.2033	6.285155	5.868285	5.9456	5.80432
"ENSMUSG00000001348"	11.21659	11.11472	11.27298	12.40081	12.48532	12.50961
"ENSMUSG00000001349"	6.51099	6.45061	6.47294	6.49039	6.46855	6.22309
"ENSMUSG00000001366"	8.14818	8.134985	8.111995	7.956135	8.01027	8.10452
"ENSMUSG00000001376"	6.300425	6.157795	6.15853	6.29264	6.175365	6.138695
"ENSMUSG00000001380"	8.12133	8.06124	8.13445	8.18808	8.382995	8.36233
"ENSMUSG00000001383"	7.93663	8.046355	8.06366	8.070775	8.19506	8.153075
"ENSMUSG00000001403"	5.88971	6.12675	5.97018	5.89843	5.99123	6.11238
"ENSMUSG00000001415"	7.11154	7.049545	7.056685	6.85073	6.85752	6.94252
"ENSMUSG00000001416"	9.518862	9.404812	9.438846	9.369272	9.385312	9.364262
"ENSMUSG00000001418"	9.12519	9.05462	9.08866	9.54749	9.54258	9.45153
"ENSMUSG00000001419"	9.14310666666667	9.17748333333333	9.15679666666667	8.91855333333333	8.89463333333333	8.99153666666667
"ENSMUSG00000001420"	8.38161	8.09327	8.45923	5.78613	5.44685	5.47231
