"sWAT_patient 5_hM3"	"sWAT (cold acclimation)_patient 5_hM3"	"sWAT_patient 2_hM3"	"sWAT_patient 6_hM3"	"sWAT (cold acclimation)_patient 2_hM3"	"sWAT (cold acclimation)_patient 6_hM3"	"sWAT_patient 3_hM3"	"sWAT_patient 7_hM3"	"sWAT (cold acclimation)_patient 3_hM3"	"sWAT (cold acclimation)_patient 7_hM3"	"sWAT_patient 4_hM3"	"sWAT_patient 8_hM3"	"sWAT (cold acclimation)_patient 4_hM3"	"sWAT (cold acclimation)_patient 8_hM3"
"ENSG00000151812"	2.53585	2.40199	2.55754	3.1276	2.61715	2.40203	2.77231	2.47374	3.20321	2.46403	2.69064	2.75702	2.24992	2.53958
"ENSG00000151834"	3.89113	3.71497	3.83985	4.11876	4.29066	4.32083	4.53412	4.03448	5.7568	4.19472	4.49934	4.03082	5.408	4.31604
"ENSG00000151835"	6.10477	6.31205	6.23519	6.32819	6.21012	6.69348	6.04113	6.23788	5.72672	6.52241	6.09107	6.30168	6.51568	6.37306
"ENSG00000151838"	2.76858	2.68671	2.68626	2.82832	2.6903	2.53612	2.41984	2.80879	2.81076	2.64723	3.00791	2.60764	2.75352	2.92416
"ENSG00000151846"	4.78384	4.75276	4.78682	4.84136	4.8026	4.77524	5.03522	4.59427	4.97447	4.63582	4.87634	4.75025	4.80303	4.7618
"ENSG00000151849"	5.93994	6.06512	5.86635	6.27969	6.07045	6.27082	5.95623	6.2337	6.11173	6.19165	6.21147	6.15172	6.20577	5.9491
"ENSG00000151876"	5.74279	5.60714	5.31682	5.75712	5.68377	5.79091	5.69829	5.6372	5.36295	6.0669	5.70811	5.82589	5.93989	5.94845
"ENSG00000151881"	6.01484	6.02018	6.07314	6.05343	6.04802	6.18448	5.70485	6.41907	5.62159	6.20049	5.81021	6.57574	6.38678	6.57768
"ENSG00000151882"	5.4135	5.10762	5.47356	5.58369	5.71884	5.35199	5.42882	5.73447	5.5441	5.45282	5.71309	5.83582	5.5316	6.25326
"ENSG00000151883"	7.41401	7.68637	8.08115	7.72416	7.59438	7.19458	7.16525	7.24946	7.51053	7.53041	7.79929	7.75129	7.81306	7.65086
"ENSG00000151892"	6.62341	5.74695	6.1378	6.01431	6.72399	6.05239	6.36633	7.04117	6.36049	6.70912	6.2616	6.29258	6.6672	6.86739
"ENSG00000151893"	7.82546	7.54848	7.92981	7.78971	7.82946	7.74814	7.56986	7.73242	7.62244	8.08167	7.64888	7.91705	7.7873	7.83115
"ENSG00000151914"	9.07267	8.75322	8.85453	8.86275	8.84307	9.27221	8.90099	8.9771	8.71064	9.1121	8.85173	8.8572	9.19199	9.1185
"ENSG00000151917"	3.378	3.69881	3.35654	3.2707	3.48053	3.44403	3.15894	3.41624	3.80426	3.41051	3.33629	3.49748	3.75544	3.64156
"ENSG00000151923"	6.97647	6.74777	6.94715	6.85533	6.94822	7.23016	6.98623	7.02262	6.59562	6.92261	7.22009	7.02592	7.27004	7.09368
"ENSG00000151929"	6.81773	6.86248	6.59516	6.56053	6.48238	6.5907	6.74988	6.54825	6.62136	6.64324	6.67111	6.5987	6.47736	6.58471
"ENSG00000151948"	5.01614	5.60437	6.93938	6.01225	5.60802	4.12832	6.47921	5.28504	5.95779	5.70376	5.32323	4.83077	5.28117	5.15131
"ENSG00000151952"	3.50929	3.32978	3.1589	3.16041	3.22371	3.29913	3.37824	3.19065	3.23602	3.24911	3.27291	3.08384	2.9392	3.13673
"ENSG00000151962"	2.3848	2.29379	2.51087	2.76445	2.28084	2.17693	2.41428	2.65245	2.12457	2.36417	2.23218	2.85767	2.28682	2.52863
"ENSG00000151967"	4.38608	4.28848	4.28837	4.362415	4.24973	4.43801	4.387105	4.494455	4.346645	4.40116	4.2894	4.50103	4.500285	4.421185
"ENSG00000152034"	2.63393	2.54978	2.40979	2.75031	2.48173	2.42257	2.63715	2.52835	2.7497	2.4288	2.71075	2.48344	2.49955	2.36398
"ENSG00000152049"	5.44662	4.9755	5.75121	4.63479	5.7103	5.3281	4.99071	5.488	4.79795	6.0105	5.14108	5.04255	5.19336	5.6558
"ENSG00000152056"	3.71822	3.86053	3.78184	3.28166	3.98669	3.78634	3.69511	3.88551	3.68678	3.96853	3.60941	3.78109	3.88745	3.56819
"ENSG00000152061"	5.90939	5.61113	6.19823	5.76367	6.20626	6.04073	5.98002	5.96982	5.66294	6.03219	5.86358	5.90623	6.32786	6.06482
"ENSG00000152076"	4.3797	3.793005	4.005935	4.39609	4.44886	4.232875	4.123435	4.054105	4.143705	4.155225	4.35416	3.937135	4.16804	4.474285
"ENSG00000152078"	7.32071	6.86703	7.74591	7.82894	7.88421	7.83282	7.65378	7.99922	7.46218	7.99818	7.98817	7.69687	8.00215	7.79403
"ENSG00000152082"	6.312406	6.14418	6.476202	6.13635	6.419602	6.17794	6.451098	6.056386	6.44259	6.113478	6.407028	6.05174	6.001724	5.966906
"ENSG00000152086"	4.56749	4.588065	4.47821	4.54742	4.42317	4.34353	4.697635	4.37092	4.813345	4.325665	4.23403	4.20013	4.39952	4.12828
"ENSG00000152092"	3.48959	3.21504	3.25686	3.21041	3.20547	3.31472	3.31241	3.33964	3.53617	3.17724	3.28742	3.41316	2.9821	3.21103
"ENSG00000152093"	2.9445	2.81972	2.7128	2.90507	2.71413	2.79367	3.10362	2.93354	2.79237	2.49437	2.68259	3.04717	2.67812	2.548215
"ENSG00000152102"	7.67466	7.67462	7.72225	7.60742	7.75102	7.82189	7.53275	7.77471	7.74839	7.80118	7.58	7.69978	7.76081	7.84687
"ENSG00000152104"	8.33263	7.86368	7.92001	8.37866	7.99468	8.50685	8.11382	8.16326	8.26922	8.10914	8.09376	8.03043	8.19407	8.29101
"ENSG00000152117"	6.22682	6.36598	6.06362	6.38751	6.26098	6.21727	6.1881	6.19663	6.29362	6.30519	6.34476	6.19853	5.88269	6.06566
"ENSG00000152127"	7.06132	7.24199	7.19417	6.67172	7.27417	7.03528	6.92182	7.12283	6.95399	7.18181	6.76264	7.39749	7.20302	7.22762
"ENSG00000152128"	5.28357	4.37592	4.21661	4.3527	4.58186	4.471	3.99172	4.84516	4.60189	5.02688	4.24776	4.48714	4.07969	4.6624
"ENSG00000152133"	7.84561	7.20434	7.42485	7.26696	7.61552	7.53466	7.46995	8.01678	7.15537	7.73174	7.4475	7.73478	7.59375	7.71645
"ENSG00000152137"	7.89345	7.25038	7.55083	7.12085	7.7606	7.72565	6.98993	8.14305	7.24391	7.83829	6.83389	7.78848	7.25288	7.79366
"ENSG00000152147"	4.86788	4.98074	4.91343	4.63307	4.91024	4.86807	4.63395	5.06338	4.88612	4.70646	4.75999	5.11847	5.17832	4.93178
"ENSG00000152154"	5.92384	5.59308	5.75886	5.81357	6.26685	5.85936	6.10653	5.67838	5.78094	5.9411	5.84093	5.60275	5.8363	5.8615
"ENSG00000152192"	3.48574	3.43001	3.78273	3.5324	3.34772	3.43437	3.70272	3.26684	3.57209	3.21509	3.56566	3.33125	3.05452	3.78151
"ENSG00000152193"	6.64304	6.31052	6.31159	6.23395	6.3897	6.72036	6.00735	6.57911	5.89266	6.46204	6.13722	6.71247	6.6079	6.85929
"ENSG00000152207"	3.67261	4.31222	4.43304	3.96167	4.57173	4.28044	3.40708	5.84492	3.79595	5.35844	3.71994	4.9814	4.56509	5.10519
"ENSG00000152208"	2.88653	2.81995	2.79428	3.2447	2.56725	2.66346	2.89698	2.57374	2.99467	2.64796	2.65326	2.55341	2.6098	2.95293
"ENSG00000152213"	3.35687	4.12093	4.35703	4.15128	3.67382	3.31795	3.42644	3.49102	4.18161	3.78129	3.31944	3.83507	3.71246	3.82341
"ENSG00000152214"	2.43086	2.11733	2.36611	2.30943	2.06176	1.88437	2.29383	2.24244	2.45796	2.55813	2.39135	2.37168	2.1628	2.44886
"ENSG00000152217"	6.55905	6.5232	6.27726	6.40823	6.51457	6.65561	7.02628	6.4949	6.65525	6.41814	7.02912	6.42341	6.85418	6.44955
"ENSG00000152219"	7.67813	7.39005	7.62483	7.30119	7.65379	7.79129	7.14651	7.93817	7.1034	7.92708	7.40391	7.86996	7.75791	7.83139
"ENSG00000152223"	6.96179	6.46307	6.96443	6.3941	7.0801	7.05045	6.67074	6.95153	6.63503	7.03269	6.79509	6.85609	6.97983	6.89294
"ENSG00000152229"	5.60931	5.6536	6.44756	6.10163	5.8666	5.94309	5.4733	5.61636	5.84033	6.2804	6.38788	5.88111	6.04669	6.01089
"ENSG00000152234"	9.33333	9.11539	9.24079	8.66707	9.23432	8.92702	9.14815	9.55068	9.13328	9.21621	8.90634	9.41206	9.33511	9.47554
"ENSG00000152240"	5.42797	5.3566	5.01342	5.43708	5.25714	5.10227	4.82081	4.98444	5.10005	4.80144	5.15979	5.35388	5.60296	5.57632
"ENSG00000152242"	6.60277	6.31804	6.49777	5.81759	6.41032	6.76639	6.24763	6.74263	6.21245	6.56808	6.09334	6.69334	6.86683	6.8971
"ENSG00000152253"	2.6429	3.1835	2.41545	2.61773	2.52504	2.528	2.57525	2.49183	3.54948	2.38812	2.43343	2.68921	2.52144	2.56284
"ENSG00000152254"	2.85065	3.02937	3.11999	2.52877	3.33888	2.61624	3.09788	2.52628	2.81053	2.32079	3.03486	3.13222	3.20259	3.24665
"ENSG00000152256"	6.84529	6.70802	7.1731	6.86829	7.04676	7.25315	6.62041	6.9885	6.70012	7.16214	6.76622	7.14097	6.93449	7.27635
"ENSG00000152266"	2.01763	2.16823	2.13931	2.02549	2.01619	1.93427	1.89514	2.17362	2.36315	2.13211	2.0679	2.16465	2.27316	2.15391
"ENSG00000152270"	9.89826	9.24793	9.67881	9.69043	9.71746	9.80626	9.5414	9.81742	9.25957	9.67842	9.55146	9.55506	9.48222	9.68406
"ENSG00000152284"	7.20617	6.9649	7.01366	7.64688	7.03486	7.07727	7.83147	6.85653	7.62779	7.12943	7.59163	6.80621	6.94803	6.99604
"ENSG00000152291"	8.67905	8.4019	8.73415	8.064	8.60436	8.53131	8.33909	8.68949	8.54855	8.60452	8.13937	8.68929	8.58584	8.60276
"ENSG00000152292"	3.91459	3.62245	3.79627	3.56605	3.75797	3.66777	3.91637	3.73321	3.60734	3.50296	4.10598	3.61088	3.61821	3.51595
"ENSG00000152315"	3.69459	4.21185	3.94601	3.55093	3.55548	3.45322	3.96328	3.44135	3.87074	3.08446	3.64106	3.76879	3.40902	3.60642
"ENSG00000152332"	8.40558	7.95324	8.57724	7.6473	8.55451	8.15353	7.73094	8.76849	7.85036	8.5806	7.83421	8.77565	8.52697	8.56871
"ENSG00000152348"	6.35964	5.73248	6.64807	6.44544	6.47006	6.59934	5.73833	6.36206	6.3116	6.56169	6.17393	6.66412	6.4563	7.01055
"ENSG00000152359"	6.13994	6.19236	5.9954	6.30125	6.15915	6.37179	6.33664	6.10253	6.26653	6.03564	6.18144	6.37418	6.29318	6.39947
"ENSG00000152377"	5.58585	5.45491	5.78447	4.81548	5.76824	5.79237	5.23579	6.21697	5.86044	5.48721	4.77723	6.18401	6.00562	6.05367
"ENSG00000152380"	5.27732	5.16996	5.23468	4.97652	4.89404	5.03236	4.77087	5.4577	5.64056	4.93618	5.15755	5.34692	5.1454	5.33839
"ENSG00000152382"	5.70952	5.86627	5.60288	5.8305	5.71553	5.62648	5.61956	5.88615	5.36559	5.97922	5.82977	5.8721	6.07095	6.12506
"ENSG00000152402"	5.90534	4.96617	5.77605	6.02181	5.79152	5.80941	5.61102	5.79932	5.36751	5.65595	5.70231	6.00378	5.94374	5.70543
"ENSG00000152404"	6.76846	6.45717	6.5794	6.63783	6.69771	6.86698	6.51094	6.69406	6.3647	6.82274	6.47511	6.62819	6.7886	6.87594
"ENSG00000152409"	7.13738	6.68658	7.08986	7.16117	7.00777	7.04805	7.09642	7.06643	6.87121	6.9333	7.16982	6.79689	7.05694	6.943
"ENSG00000152413"	4.13159	4.34249	4.06893	3.5903	4.09694	3.76898	3.74785	3.78998	3.65268	4.0587	3.66669	3.89741	3.93922	3.97767
"ENSG00000152422"	5.30821	5.72566	5.71068	5.16813	5.68538	5.52055	5.55149	5.58077	5.50838	5.5464	5.40085	5.81261	5.85398	5.85286
"ENSG00000152430"	2.14861	2.28044	2.47364	2.09815	2.59726	2.30836	2.35426	2.4354	2.87958	2.38415	2.38446	2.28231	2.40487	2.46981
"ENSG00000152433"	4.82622	4.77427	4.86728	5.08147	4.87179	4.99399	4.60935	5.15058	4.34776	4.88752	4.775	4.87913	5.01487	4.77618
"ENSG00000152439"	5.90936	5.16869	5.86639	5.84276	6.04398	5.90344	6.01262	5.78457	5.53009	6.0407	6.18389	5.57658	5.97052	5.45572
"ENSG00000152443"	6.8047	6.52403	6.87466	6.61106	6.84802	6.91798	6.59048	6.89164	6.51944	6.90878	6.53569	6.71147	6.9486	6.72941
"ENSG00000152454"	6.14811	5.67019	5.62043	5.51372	5.76077	6.0822	5.48155	5.96484	5.18121	6.10682	5.79514	5.52935	5.79718	5.58178
"ENSG00000152455"	4.3104	4.46423	4.34807	4.2373	4.08264	4.45719	4.37386	4.17751	4.17009	4.22727	4.48853	5.0654	4.5483	4.27985
"ENSG00000152457"	5.31441	5.53594	5.34698	5.62343	5.38044	5.81105	5.56202	5.80631	5.60622	5.69675	5.17583	5.67983	5.8719	5.64553
"ENSG00000152463"	2.469	2.54238	2.43839	2.34595	2.4024	2.49215	2.62568	2.4579	2.33435	2.59036	2.4444	2.6471	2.71061	2.46128
"ENSG00000152464"	5.08655	5.17902	5.11645	4.89243	5.24707	4.9949	4.95241	5.35199	4.77014	5.39824	4.94295	5.1588	5.30457	5.40701
"ENSG00000152465"	8.51671	8.45423	8.43207	8.13196	8.5948	8.10303	8.13477	8.31345	8.12571	8.60015	8.55722	8.34591	8.57142	8.4883
"ENSG00000152467"	4.25893	4.47713	4.19705	4.05966	4.27731	4.11692	4.30996	4.14748	4.27957	4.05192	4.35801	4.18201	3.98458	3.92345
"ENSG00000152475"	4.29951	3.69362	4.14039	4.18077	4.09606	4.02782	3.75229	4.01491	3.98549	3.9568	4.38402	4.05425	3.88043	3.96042
"ENSG00000152484"	7.391555	7.611975	7.53025	7.752345	7.49614	7.51575	7.22279	7.52125	6.721915	7.56789	7.56195	7.415345	7.542485	7.561765
"ENSG00000152492"	9.2507	8.67972	8.60587	8.64924	8.65488	9.19598	8.35392	9.11058	8.33534	9.02996	8.31137	8.87916	8.90982	9.04674
"ENSG00000152495"	4.3697	4.35571	4.80666	4.72208	4.75739	4.44771	3.79805	4.43689	4.2183	4.34615	5.07509	4.34513	4.8738	4.45591
"ENSG00000152503"	2.93943	3.26832	3.00335	3.15732	2.82694	3.2327	3.02761	3.003	3.09689	3.12869	3.03354	3.56608	3.22626	3.65631
"ENSG00000152518"	9.28689	9.35361	9.53449	9.98562	9.41699	9.48494	10.23456	9.25407	10.06835	9.16196	9.82678	8.88037	9.01582	9.41563
"ENSG00000152520"	8.68414	8.41014	8.64295	8.65159	8.59534	8.73792	8.40028	8.51202	8.39697	8.60189	8.64833	8.56291	8.64165	8.64076
"ENSG00000152527"	8.22649	7.59738	8.52107	8.55362	8.92998	8.94758	8.47609	8.46081	8.3458	8.86636	8.71645	8.21311	8.65473	8.84845
"ENSG00000152556"	5.84743	5.47046	5.78021	5.59945	5.84711	5.67863	5.10608	5.95998	5.28885	5.88194	5.67814	6.07463	6.01096	6.10511
"ENSG00000152558"	8.68262	9.00908	9.08527	8.84512	8.76886	8.88143	8.60873	8.96645	8.76316	8.66625	8.8077	9.01768	9.10697	9.10905
"ENSG00000152578"	2.41103	2.61455	2.39312	2.44365	2.43681	2.09231	2.16807	2.19326	2.37957	2.39285	2.21629	2.33742	2.55621	2.72944
"ENSG00000152580"	6.75607	6.08425	6.26419	5.75	6.55724	5.71732	6.45794	5.6794	6.16562	5.35394	5.76557	5.47504	5.85645	5.62774
"ENSG00000152582"	4.05595	3.90797	3.66785	3.88405	4.1267	4.46292	3.92928	4.00668	4.07091	4.07339	4.30419	4.05346	4.75889	4.16845
"ENSG00000152583"	11.44072	10.9827	11.42804	11.08638	11.44109	11.43833	11.16523	11.34321	10.72368	11.42576	11.19122	11.19599	11.50033	11.40855
"ENSG00000152591"	2.81687	2.50893	2.67089	2.73514	2.72217	3.0696	2.78678	2.75642	2.89818	2.67637	2.82058	2.68531	2.58678	2.8397
"ENSG00000152592"	2.77377	2.5778	2.73577	2.62689	2.70775	2.73492	2.83723	2.62194	2.93658	2.61527	2.5274	2.82149	2.55432	2.61478
"ENSG00000152595"	2.05326	2.07005	2.13955	2.32859	2.29796	2.27391	2.34671	2.33817	2.23807	1.98159	2.3797	2.44974	2.10271	2.2286
"ENSG00000152601"	10.526	10.51097	10.59259	10.56564	10.66796	10.59639	10.27499	10.77153	10.37241	10.647	10.62704	10.46754	10.67722	10.60795
"ENSG00000152611"	2.46642	2.35777	2.30563	2.29827	2.19287	2.41111	2.30274	2.48071	2.45748	2.16139	2.47762	2.34868	2.3194	2.2507
"ENSG00000152620"	7.49261	7.04466	7.34059	6.88829	7.31794	7.58066	6.96367	7.54879	7.08626	7.49739	7.28969	7.40185	7.42006	7.52248
"ENSG00000152642"	7.23405	6.71386	6.82722	6.90339	7.00607	7.26293	6.58782	6.93812	6.27674	6.86785	6.59177	6.73248	7.13935	7.13369
"ENSG00000152661"	7.77611	7.19863	7.36825	6.80843	7.59954	7.4377	6.88948	7.45952	6.91868	7.33115	6.65824	7.4685	7.52999	7.87704
"ENSG00000152669"	3.86344	3.89965	3.82242	3.98966	3.52681	3.48823	4.12159	3.59408	4.12615	3.75123	3.83404	3.71061	3.74836	3.63463
"ENSG00000152670"	2.39188	2.49419	2.23125	2.30471	2.14734	2.39112	2.3232	2.2736	2.50914	2.56628	2.35096	2.32097	2.48495	2.1909
"ENSG00000152672"	3.72819	3.2402	3.47064	3.48297	3.60395	3.06483	3.39963	3.41273	3.0244	3.07332	3.61716	3.53015	3.24275	3.32716
"ENSG00000152683"	8.24627	8.25366	8.14418	8.27127	8.20047	8.15019	7.9957	8.45448	8.36801	8.26082	8.13391	8.35179	8.2335	8.49104
"ENSG00000152684"	5.59262	5.75406	5.63588	5.613045	5.409205	5.158545	5.468705	5.47867	6.011115	5.59578	5.58916	5.63788	5.50545	5.828415
"ENSG00000152689"	7.25248	7.19458	7.1194	6.62849	7.39808	7.02591	6.78404	7.76609	7.03768	7.18024	6.49071	7.48123	7.31442	7.34615
"ENSG00000152700"	8.8416	8.76045	8.6508	8.37103	8.70026	8.78446	8.1831	8.95217	8.3024	8.71844	8.34278	9.0861	8.82745	9.00395
"ENSG00000152705"	3.60206	3.81576	3.8033	3.75966	3.63845	3.78801	3.94359	4.13949	3.84908	3.91887	3.85416	3.83334	3.82702	3.51021
"ENSG00000152749"	7.27034	7.0812	7.10997	6.79632	7.25556	7.25781	6.48048	7.31769	6.93477	7.10032	6.851	7.57237	7.33375	7.579
"ENSG00000152760"	4.65967	4.76891	4.28949	4.08633	4.56456	4.2305	4.44235	4.50881	4.25391	4.46578	4.60884	4.16111	4.45493	4.49763
"ENSG00000152763"	4.29043	4.25399	4.13684	4.55794	4.2913	4.46165	4.41875	4.44463	4.33223	4.4712	4.57967	4.52575	4.49329	4.5557
"ENSG00000152766"	2.5128	3.15422	3.6225	2.81076	2.9641	2.80301	2.63246	2.68355	2.70289	2.97163	3.55178	2.61714	2.90779	3.02757
"ENSG00000152767"	7.12106	7.2235	7.07135	7.28261	7.13365	7.30821	7.31216	7.25107	7.20069	7.14508	6.99038	7.24252	7.14927	7.39613
"ENSG00000152778"	5.99992	5.92804	6.60909	5.96185	5.93171	6.27467	5.85379	6.04921	5.954	6.06933	5.87165	6.24299	6.36306	6.4652
"ENSG00000152779"	5.03653	4.30181	5.06342	4.39167	4.47252	4.70029	4.11177	5.49116	4.33119	5.00017	4.64308	4.14065	4.88591	4.4467
"ENSG00000152782"	4.35678	4.38507	4.22652	4.39048	4.53828	4.42277	4.46352	4.28911	4.30482	4.40923	4.12262	4.37777	4.44992	4.69263
"ENSG00000152784"	5.15044	4.90875	5.13725	5.54108	5.05632	4.99834	5.36902	4.97209	5.17567	4.79066	6.10111	5.0214	5.44516	4.93803
"ENSG00000152785"	4.57774	4.13482	3.09204	6.23915	3.30115	7.59316	3.29991	3.3522	2.99072	4.02951	3.84127	4.00664	4.60073	4.42513
"ENSG00000152795"	7.94996	7.804	8.00117	7.98264	7.86881	8.09955	7.70923	7.85552	7.60757	7.85388	8.003	8.22566	8.23506	8.25511
"ENSG00000152804"	5.6886	5.69842	5.81691	5.60617	5.54355	5.75899	5.79796	5.54266	5.43158	5.6278	5.74465	5.62592	6.06673	5.73118
"ENSG00000152818"	10.09258	9.46933	10.05995	9.77201	10.12217	10.11204	9.79377	9.92989	9.45955	9.93768	9.69748	9.91123	9.92531	9.99633
"ENSG00000152822"	2.80102	2.57329	2.8767	2.66155	2.72651	2.82277	2.76632	2.73225	2.77827	2.56257	2.73767	2.48886	2.40256	2.51642
"ENSG00000152894"	7.31604	6.53273	6.85182	6.47917	7.33421	7.2766	6.97894	7.21507	6.79516	7.12335	6.75678	7.05363	7.26528	7.4541
"ENSG00000152904"	6.33192	6.30081	6.26301	6.44105	6.46307	6.55011	6.16522	6.55118	6.17582	6.4793	6.39172	6.6004	6.43824	6.67778
"ENSG00000152910"	3.29642	3.28941	3.53037	3.57152	3.62103	3.21237	3.35555	4.61147	3.62123	4.00814	3.70614	3.76419	3.99197	3.45105
"ENSG00000152926"	9.36275	9.60295	9.88039	9.38929	9.91805	9.53775	9.47083	10.3541	9.67981	9.75422	9.77754	10.06293	10.14506	9.99073
"ENSG00000152931"	2.68197	2.72958	2.90757	2.77309	2.71442	2.68268	2.57465	2.54868	2.5717	2.58001	2.73238	2.38955	2.6402	4.06468
"ENSG00000152932"	5.72199	5.31648	5.69825	4.40892	5.67098	5.8195	5.1668	5.5964	5.43506	5.40555	5.25119	5.54211	6.17456	5.62058
"ENSG00000152936"	6.74546	7.05002666666667	6.59026333333333	6.9388	6.85975666666667	6.73732	6.85632	6.65550666666667	6.92927	6.78681333333333	6.99820666666667	6.72663333333333	6.89675	6.72958
"ENSG00000152939"	3.06303	2.68635	2.84633	2.78307	2.7879	2.48287	3.07651	3.1247	2.62008	3.23313	2.51614	2.9476	2.66854	3.32299
"ENSG00000152942"	6.640905	6.289435	6.49302	6.20502	6.63352	6.625555	6.088845	6.76711	6.07737	6.6497	6.5255	6.78426	6.77401	6.60205
"ENSG00000152944"	7.82264	7.93893	7.52315	7.72874	7.54442	7.82466	7.5248	7.85487	7.63505	7.59432	7.46112	7.80572	8.05321	7.76013
"ENSG00000152952"	10.07829	9.82304	9.38223	9.44032	9.62591	9.637	9.6291	9.68131	9.59363	9.79659	9.74055	9.51493	9.64722	9.59461
"ENSG00000152953"	4.15625	5.03721	4.26406	3.81463	4.03744	4.56278	4.46933	4.62386	4.27524	4.49074	4.35954	4.6902	4.68515	4.42125
"ENSG00000152954"	2.53627	2.76649	2.67937	2.66096	3.05998	2.70408	2.58545	2.59304	2.7266	2.57497	3.00788	2.65854	2.74552	2.87534
"ENSG00000152969"	3.29468	3.27158	3.22305	3.49556	3.24451	3.27042	3.86416	3.25393	3.26023	3.23909	3.26206	3.47382	3.35633	3.12411
"ENSG00000152977"	2.1569	2.36161	2.49086	2.46154	2.22976	2.42122	2.32123	2.26426	2.42783	2.2117	2.27779	2.44039	2.20929	2.13399
"ENSG00000152990"	7.28013	6.60458	6.80989	6.74228	7.291315	7.22737	6.274645	7.31523	6.461855	7.29405	6.29559	7.04776	6.549265	7.30247
"ENSG00000153002"	3.22389	3.08711	3.29456	3.30333	2.96076	3.20054	3.21196	3.15537	3.14532	2.91518	2.90541	3.18143	2.99995	3.00439
"ENSG00000153006"	6.51261	6.27777	6.32804	6.53474	6.37223	6.51031	6.1323	6.33818	5.6368	6.45181	6.41988	6.39296	6.3666	6.58488
"ENSG00000153012"	4.82236	5.92021	5.2711	5.05738	5.50951	5.20705	4.91261	5.49605	5.12943	5.00438	5.16727	6.11198	5.21837	5.4774
"ENSG00000153015"	7.45412	7.55072	7.42696	7.54752	7.44056	7.68882	7.27272	7.75298	7.28927	7.49938	7.41884	7.71227	7.75722	7.71187
"ENSG00000153029"	6.602	6.88715	7.03334	6.44649	6.77829	6.65716	6.11735	6.57038	6.12837	6.70295	6.21257	6.94867	6.5514	6.44483
"ENSG00000153037"	6.954595	6.601845	6.587275	6.6311	6.54414	6.667315	6.75987	6.67034	6.451115	6.817765	6.71496	6.98361	6.58375	6.86905
"ENSG00000153044"	3.81749	3.80827	3.73741	3.15135	4.03417	3.42205	3.73028	3.84027	2.85739	4.06184	3.66866	3.59345	3.83155	3.55385
"ENSG00000153046"	7.29554	7.16056	7.17917	7.29187	7.19207	7.13458	7.34937	7.3338	7.14847	7.20541	7.28248	7.15861	7.19488	7.15973
"ENSG00000153048"	5.75165	5.48225	5.86698	5.3879	5.67525	5.90539	4.85477	5.529	5.34518	5.9161	5.47638	5.87788	5.24332	5.4649
"ENSG00000153060"	3.49888	3.02967	3.41884	3.10615	2.96898	3.62693	3.46658	3.405	3.53168	3.63738	3.31377	3.1858	3.40926	2.9655
"ENSG00000153064"	6.51866	6.14833	6.69376	6.60329	6.58105	6.08449	6.22382	6.77316	6.20901	6.51501	6.58285	6.52945	6.67607	6.53314
"ENSG00000153066"	6.60319	6.80719	6.65364	6.50992	6.56275	6.79448	6.78651	6.7581	6.80179	6.82976	6.81084	6.69176	6.74749	6.78618
"ENSG00000153071"	9.42764	9.74918	9.72768	9.06039	9.69576	9.69727	9.30855	9.77926	9.74315	9.67355	9.02568	10.04112	9.54787	9.63456
"ENSG00000153086"	2.61572	2.47925	2.57234	2.53052	2.36619	2.36459	2.85839	2.68154	2.52164	2.4821	2.6471	2.49581	2.24926	2.52327
"ENSG00000153093"	2.63394	2.79417	2.65769	2.591	2.63097	2.90298	2.70319	2.72952	2.74082	2.68233	2.91378	2.72587	2.65755	2.68526
"ENSG00000153094"	5.28483	4.68508	5.29275	5.19652	5.55449	5.20452	5.07475	5.18204	4.91309	5.47939	5.18311	5.096	5.09057	5.09831
"ENSG00000153107"	6.972112	6.723506	6.941838	6.787506	7.056042	6.949532	6.727046	7.143882	6.883362	7.005482	6.643594	6.914952	7.013482	7.084472
"ENSG00000153113"	10.07391	9.85904	9.60693	9.97335	9.74675	10.04724	10.0219	9.91958	9.7135	9.97139	9.91871	9.84238	9.75825	10.02098
"ENSG00000153130"	5.38478	5.4222	5.28949	5.22039	5.61159	5.23641	5.23927	5.39504	5.18237	5.42782	5.35716	5.31831	5.50265	5.66831
"ENSG00000153132"	3.01346	2.9309	3.16999	2.66294	3.10538	2.90938	3.18952	3.14186	2.97343	3.00188	3.03159	2.94322	3.11445	3.33231
"ENSG00000153140"	5.10071	5.25341	4.83932	5.06507	5.12497	5.1896	4.76154	5.24302	4.7343	5.04763	4.94396	5.45835	5.34343	5.38968
"ENSG00000153147"	8.68053	8.52186	8.74819	8.72964	8.70627	8.85655	8.6524	8.66548	8.45179	8.74336	8.84839	8.65664	8.85528	8.79787
"ENSG00000153157"	3.57415	2.98241	4.09455	3.88399	4.6774	3.85578	3.807	3.83661	4.32703	3.92774	4.38178	3.60827	4.80545	4.13834
"ENSG00000153162"	7.56845	7.2083	7.09261	7.77108	7.02595	8.11548	7.65627	7.11636	7.24971	7.23259	7.20332	7.04426	7.19086	7.43073
"ENSG00000153165"	9.344715	9.16280375	9.37424375	9.31124	9.48769375	9.56704	9.26506	9.44707	9.32017375	9.472475	9.2682475	9.438	9.56105125	9.659205
"ENSG00000153179"	6.42283	6.26988	6.54926	6.23415	6.29656	5.99998	5.90087	6.20674	5.60309	6.37226	6.23453	6.12172	6.22415	6.4652
