"sWAT_patient 5_hM3"	"sWAT (cold acclimation)_patient 5_hM3"	"sWAT_patient 2_hM3"	"sWAT_patient 6_hM3"	"sWAT (cold acclimation)_patient 2_hM3"	"sWAT (cold acclimation)_patient 6_hM3"	"sWAT_patient 3_hM3"	"sWAT_patient 7_hM3"	"sWAT (cold acclimation)_patient 3_hM3"	"sWAT (cold acclimation)_patient 7_hM3"	"sWAT_patient 4_hM3"	"sWAT_patient 8_hM3"	"sWAT (cold acclimation)_patient 4_hM3"	"sWAT (cold acclimation)_patient 8_hM3"
"ENSG00000004700"	7.772	7.70555	7.81544	7.24936	7.75534	7.93074	7.16666	8.16041	7.30498	7.98616	7.37527	8.12302	8.15803	8.05349
"ENSG00000004766"	6.22726	6.29249	6.15574	6.18138	6.24618	6.45215	6.01902	6.26116	6.05355	6.17728	6.28418	6.4657	6.60954	6.46651
"ENSG00000004776"	10.6227	10.63873	10.42317	11.39653	10.5649	10.47103	10.98793	10.55463	11.19939	10.06625	10.35983	10.14712	9.79596	10.38534
"ENSG00000004777"	4.69082	4.83685	4.70681	4.83362	4.75972	4.55677	4.93709	4.47803	5.24747	4.34057	4.78734	4.35146	4.53204	4.20392
"ENSG00000004779"	7.22023	7.1138	6.89507	7.07472	7.25641	7.03562	7.04516	7.25381	6.58124	7.10165	7.14143	7.22787	7.15136	7.23867
"ENSG00000004799"	10.44996	10.70014	10.98381	11.20826	10.67844	11.87228	10.68364	10.25283	10.745	10.96203	10.79697	10.84951	10.89486	10.88901
"ENSG00000004809"	2.88928	3.4337	3.36566	3.14135	2.95428	2.67281	3.20328	2.91383	3.23951	2.80392	2.8531	2.84389	2.86874	2.90305
"ENSG00000004838"	3.16724	3.29499	3.56403	3.7655	3.38132	3.39432	3.44785	3.44722	3.63044	3.40456	3.37118	3.23216	3.15868	3.46629
"ENSG00000004846"	2.74191	2.54162	3.21701	3.05766	3.97117	3.97488	3.43279	3.2221	2.8098	3.0409	2.10104	2.6177	2.66044	2.90966
"ENSG00000004848"	4.17074	3.71652	3.79374	4.07235	3.62528	4.26049	4.07351	3.90444	3.94046	3.83303	4.21128	3.7112	3.69437	3.96513
"ENSG00000004864"	6.69136	6.7183	6.86029	6.43923	6.80376	7.02894	6.53385	6.71195	6.48601	6.90048	6.61992	7.0007	7.09649	7.06629
"ENSG00000004866"	6.7899	6.64604	6.70828	6.74394	6.97091	6.62349	6.69534	6.77119	6.66138	6.9754	6.75382	6.75127	6.35909	7.06435
"ENSG00000004897"	7.7344	7.52051	7.78918	7.62639	7.69899	7.83522	7.57424	7.86961	7.39829	7.77873	7.35088	8.02766	7.81739	8.00643
"ENSG00000004939"	5.4284	6.66282	7.40661	7.44195	6.23391	4.22604	6.12421	5.92624	6.34165	6.4937	6.31686	4.0523	6.5668	4.14343
"ENSG00000004948"	3.01309	3.10941	3.53138	3.18434	3.20857	3.09223	3.17426	3.65457	3.60512	3.64587	3.08194	3.28256	3.188	3.14021
"ENSG00000004961"	7.1144	6.97517	7.0026	6.86227	7.14425	7.29489	6.8289	7.27134	6.81436	7.31664	6.82903	7.19051	7.0661	7.31974
"ENSG00000004975"	5.49806	5.63084	5.60902	5.37869	5.48757	5.53171	5.52249	5.49802	5.42955	5.5759	5.5122	5.75529	5.39808	5.33168
"ENSG00000005001"	3.4498	3.1119	3.10851	3.10943	2.94207	3.14103	3.76709	3.20834	3.33429	3.45196	3.26302	3.11284	3.10997	3.01451
"ENSG00000005007"	7.00459	6.90288	7.11596	6.75949	6.90103	6.79316	7.05051	6.84768	6.87872	6.92982	6.72341	6.78781	6.67874	6.94013
"ENSG00000005020"	5.97105	6.66996	7.294045	6.177005	6.9324	6.26098	6.20311	6.279335	6.383145	6.61286	6.321655	6.43901	6.84431	6.568485
"ENSG00000005022"	8.00129	8.44217	8.20574	7.8906	7.99373	7.90635	8.22205	8.18315	8.34163	8.13162	8.15153	8.31222	8.13223	8.29615
"ENSG00000005059"	6.48656	7.92432	7.35587	6.87308	7.06525	7.22894	7.08084	7.44941	7.38422	7.29119	7.03891	7.63555	7.625	7.41765
"ENSG00000005073"	2.73898	2.58592	2.68679	2.98435	2.57033	2.66897	2.69429	2.64846	3.06382	2.75052	2.79267	2.60537	2.83488	2.45255
"ENSG00000005075"	8.447022	8.562656	8.68108	8.187628	8.617882	8.154384	8.668172	8.582082	8.691752	8.618608	8.046984	8.638506	8.025758	8.580366
"ENSG00000005100"	6.4614	6.47659	6.45131	6.09046	6.27703	6.26643	6.23296	6.4513	6.53502	6.60849	5.99371	6.40884	6.69645	6.50165
"ENSG00000005102"	7.19896	6.80586	6.97654	7.11607	7.10456	7.17876	7.27961	6.58311	6.67393	6.81264	6.67567	6.5034	6.77503	6.77294
"ENSG00000005108"	6.16292	5.66536	5.78972	5.59068	6.15137	6.23652	6.69301	6.07458	5.6465	6.05399	5.96265	6.00483	6.26553	6.48181
"ENSG00000005156"	6.16683	5.9729	5.77761	5.6709	6.124	6.05302	5.6801	6.03728	5.78761	6.22097	5.47839	6.14477	6.04059	6.2787
"ENSG00000005175"	5.85485	6.12457	5.96541	5.91684	6.13939	5.98303	5.81748	6.15918	5.50783	6.00298	5.74943	6.07375	6.28254	6.12053
"ENSG00000005187"	2.83245	2.93852	2.96757	3.13212	2.85204	3.01682	2.9999	2.95099	3.24062	3.1929	3.2329	2.91082	3.04002	3.23896
"ENSG00000005189"	4.82889	4.7818	4.9923	4.59208	5.2087	4.99719	4.81663	5.26788	5.10414	4.92993	4.68045	5.27478	5.09096	4.39008
