"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000047832"	7.32037	7.1655	7.13852	7.10581	6.76954	7.23646
"ENSMUSG00000047841"	4.60477	4.45959	4.09584	4.71889	4.10488	4.46372
"ENSMUSG00000047842"	5.20407	5.39153	4.95883	5.20879	5.28622	5.37925
"ENSMUSG00000047843"	8.00357	7.79732	7.8319	8.75907	8.81547	8.4667
"ENSMUSG00000047844"	6.711235	6.539175	6.276325	3.51785	2.988515	3.382765
"ENSMUSG00000047854"	4.12502	4.32414	4.07918	3.80861	3.70764	3.79587
"ENSMUSG00000047861"	7.55497	8.02145	8.1093	5.69131	5.65248	5.50347
"ENSMUSG00000047866"	8.72198	8.92239	8.8028	9.64539	9.42586	9.48293
"ENSMUSG00000047867"	7.07822	6.87646	7.04697	8.1779	8.23207	7.97959
"ENSMUSG00000047868"	2.37166	2.41052	2.19988	2.42642	2.69053	2.35416
"ENSMUSG00000047875"	6.68901	6.53627	6.24426	5.82232	5.45861	6.30119
"ENSMUSG00000047878"	6.2779	6.19303	6.29752	5.4279	5.31037	4.96408
"ENSMUSG00000047879"	7.92803	8.00534	7.92275	8.07759	7.97836	7.93845
"ENSMUSG00000047880"	2.94983	3.03721	2.74606	3.21227	3.03817	2.93493
"ENSMUSG00000047881"	7.41994	7.03487	7.31183	6.07042	6.29224	6.66569
"ENSMUSG00000047884"	4.10824	3.959	4.1686	4.64761	4.71464	4.34355
"ENSMUSG00000047888"	7.78781	8.01229	7.95468	7.94789	7.8101	7.8643
"ENSMUSG00000047889"	2.48788	2.53036	2.55926	2.59744	2.95081	2.84937
"ENSMUSG00000047894"	3.32867	3.26216	3.60306	3.37696	3.59337	3.62571
"ENSMUSG00000047897"	3.97181	4.4366	3.92335	4.76488	4.35868	4.49263
"ENSMUSG00000047898"	3.65299	3.35298	3.06356	3.52416	3.78963	3.72552
"ENSMUSG00000047904"	4.28315	3.87461	4.0393	4.4611	4.4372	4.57222
"ENSMUSG00000047905"	9.9681	10.0456	9.88578	10.57882	10.56037	10.68923
"ENSMUSG00000047907"	6.419935	6.417245	6.436	5.507715	5.362365	5.408005
"ENSMUSG00000047909"	6.98964	6.97387	7.00546	6.8419	6.70997	6.42533
"ENSMUSG00000047910"	4.67664	5.01412	5.18027	4.79624	4.95436	4.53524
"ENSMUSG00000047911"	2.45266	2.72241	2.69494	3.36991	2.99867	2.9525
"ENSMUSG00000047921"	7.38	7.43417	7.47155	7.55719	7.35082	7.28637
"ENSMUSG00000047935"	4.87675	4.93015	5.12666	5.40707	5.44469	5.25684
"ENSMUSG00000047938"	3.15802	3.03194	3.02358	3.40249	3.64505	3.2949
"ENSMUSG00000047940"	4.11005	4.10779	3.88868	3.59624	3.5698	3.62799
"ENSMUSG00000047945"	7.32321	7.25387	7.29237	5.46765	6.08543	6.10329
"ENSMUSG00000047953"	3.78727	3.57387	4.14449	3.86022	4.08224	3.73427
"ENSMUSG00000047959"	5.08067	5.14626	5.14643	5.36385	5.45617	5.55497
"ENSMUSG00000047960"	2.48844	2.03195	2.30137	2.28661	2.44928	2.37566
"ENSMUSG00000047963"	4.72031	4.56882	4.99859	4.85849	5.26958	5.04831
"ENSMUSG00000047965"	11.73629375	11.61568875	11.66586875	11.28528125	11.42486125	11.22766375
"ENSMUSG00000047969"	2.93357	2.78675	2.6957	2.83249	3.1679	2.95924
"ENSMUSG00000047976"	6.02373	6.42067	6.19188	5.68532	5.93158	5.81385
"ENSMUSG00000047977"	4.16656	3.83973	3.90493	4.07617	4.37255	4.29408
"ENSMUSG00000047980"	12.5807	12.58856	12.36631	3.01623	4.92547	3.65323
"ENSMUSG00000047986"	5.63144	5.49857	5.28853	6.14703	6.04984	5.96915
"ENSMUSG00000047988"	4.20094	4.04049	4.0649	4.66302	4.40736	4.10397
"ENSMUSG00000047989"	7.13316	6.9698	6.96925	7.28898	7.3401	7.12733
"ENSMUSG00000047990"	6.61524	6.72405	6.67944	6.90973	6.92324	7.08106
"ENSMUSG00000047992"	3.71015	3.63036	3.53208	3.65556	3.44963	4.1128
"ENSMUSG00000047995"	2.85696	2.79511	2.95025	2.92885	3.28844	2.91837
"ENSMUSG00000047996"	8.64037	8.76047	8.73643	4.94438	4.98536	4.88763
"ENSMUSG00000048000"	7.78737	8.04035	7.91877	7.62222	7.49119	7.70394
"ENSMUSG00000048001"	6.37939	6.44986	6.09122	6.57756	6.56542	6.7642
"ENSMUSG00000048003"	4.00448	4.01376	3.99617	4.48076	4.17134	4.54357
"ENSMUSG00000048004"	5.03837	4.80433	4.69907	4.68619	5.06547	4.889595
"ENSMUSG00000048007"	6.01694	5.6157	5.593885	7.885185	8.201185	7.81222
"ENSMUSG00000048012"	3.25827	3.2695	3.30643	3.71728	3.78557	3.65408
"ENSMUSG00000048013"	4.41435	4.4433	4.62526	4.87437	4.75224	4.88917
"ENSMUSG00000048015"	3.14898	3.16027	3.06656	3.13534	3.15463	3.06459
"ENSMUSG00000048022"	4.01385	3.86608	4.29558	4.05937	4.01385	4.03627
"ENSMUSG00000048027"	7.54038	7.53631	7.7864	7.34039	7.32946	7.22431
"ENSMUSG00000048029"	4.66177	4.58537	4.82242	4.71113	4.34794	4.63515
"ENSMUSG00000048031"	3.62668	3.31691	3.39097	3.54304	3.76752	3.71065
"ENSMUSG00000048038"	4.8647	5.20755	5.24477	4.64329	4.84948	4.70534
"ENSMUSG00000048039"	6.24038	5.85737	6.12976	5.79634	5.89309	5.93535
"ENSMUSG00000048040"	7.32354	7.06499	6.82298	7.73023	8.25141	8.11339
"ENSMUSG00000048047"	7.44985	7.32023	7.16788	7.35015	7.68552	7.09052
"ENSMUSG00000048058"	8.12343	8.09974	8.13529	8.07637	7.73079	7.78692
"ENSMUSG00000048062"	2.58485	2.28424	2.65323	2.69095	2.8276	2.48456
"ENSMUSG00000048065"	4.93315	5.01745	5.27483	4.16352	4.07065	3.95953
"ENSMUSG00000048067"	4.45632	4.77	4.41408	5.11166	4.92414	4.64478
"ENSMUSG00000048070"	4.75775	4.79629	4.66868	4.98058	5.14179	4.86056
"ENSMUSG00000048076"	11.44406	11.461565	11.444375	10.998315	10.890515	10.947255
"ENSMUSG00000048077"	5.23994	5.07664	5.18607	5.45771	5.48852	5.5953
"ENSMUSG00000048078"	7.54792	7.5644	7.702005	7.12929	6.91189	7.0628
"ENSMUSG00000048080"	2.44776	2.37633	2.43165	2.41663	2.4298	2.75616
"ENSMUSG00000048087"	8.73771666666667	8.5682	8.53088	7.98418	7.82547666666667	7.67408333333333
"ENSMUSG00000048096"	5.29809	5.28236	5.3371	5.33817	5.64299	5.68794
"ENSMUSG00000048100"	6.80056	6.76632	6.52353	7.213475	7.413125	7.26911
"ENSMUSG00000048101"	2.96884	3.01704	3.17228	2.92199	3.2001	2.9875
"ENSMUSG00000048106"	6.86721	6.44234	6.3881	7.01218	7.04407	6.6524
"ENSMUSG00000048108"	3.97602	4.03376	3.86407	4.43842	4.4282	4.14645
"ENSMUSG00000048109"	7.72534	7.70578	7.94907	7.72447	7.58735	7.53528
"ENSMUSG00000048118"	6.8917	6.9951	6.99726	6.8018	6.39928	6.66158
"ENSMUSG00000048120"	7.24744	7.48019	7.61763	5.884	6.27169	6.28542
"ENSMUSG00000048126"	8.03861	8.32949	8.91127	7.82093	7.43814	7.86042
"ENSMUSG00000048138"	6.70149	6.9279	7.29309	5.69242	5.30038	5.25762
"ENSMUSG00000048142"	5.95117	6.10566	6.1299	8.64105	8.45841	8.69284
"ENSMUSG00000048153"	2.46833	2.85266	2.93004	2.89895	2.78628	3.20331
"ENSMUSG00000048154"	6.720565	6.928355	7.04005	6.349255	6.167605	6.391745
"ENSMUSG00000048155"	3.82615	3.76461	3.88581	4.17982	4.62022	4.11993
"ENSMUSG00000048163"	5.74009	5.61781	6.18928	5.06931	5.13587	5.49641
"ENSMUSG00000048164"	10.3993	10.14527	10.17278	10.29478	10.56059	10.18876
"ENSMUSG00000048170"	8.38035	8.48185	8.44803	8.16976	7.8888	8.01382
"ENSMUSG00000048173"	2.76964	2.55699	2.52741	2.73826	2.85266	3.17786
"ENSMUSG00000048174"	4.89644	5.27193	5.06505	5.087	4.97763	5.04257
"ENSMUSG00000048175"	7.48998	7.32316	7.53348	8.55787	8.12493	8.3248
"ENSMUSG00000048185"	7.1229	7.10686	7.16349	8.13812	8.22479	8.14483
"ENSMUSG00000048186"	6.14245	6.17791	6.23554	6.32486	6.65551	6.4615
"ENSMUSG00000048188"	8.4593	8.14657	8.26181	9.18467	9.31279	8.90603
"ENSMUSG00000048191"	4.19602	3.97433	4.02782	4.4533	4.41809	4.79425
"ENSMUSG00000048197"	2.89674	2.98908	2.52794	2.84472	3.08418	2.95685
"ENSMUSG00000048200"	5.83543	5.99052	5.39561	5.56487	5.86529	5.33445
"ENSMUSG00000048206"	4.73292	4.7306	4.56457	4.75604	4.7507	4.77756
"ENSMUSG00000048215"	3.60443	3.62991	3.36107	3.86815	3.68994	3.69198
"ENSMUSG00000048216"	2.84184	2.89415	2.72188	3.26215	3.58519	2.71514
"ENSMUSG00000048217"	4.91099	4.88883	5.11519	4.33665	4.51168	4.73901
"ENSMUSG00000048218"	6.74033	6.83815	6.65179	6.13649	6.5257	6.03256
"ENSMUSG00000048222"	8.46174	8.694165	8.50697	8.419265	8.33	8.24267
"ENSMUSG00000048226"	2.3844	2.205	2.25181	2.37094	2.09745	2.47889
"ENSMUSG00000048230"	3.37818	3.89169	3.74382	3.91746	4.44254	3.7275
"ENSMUSG00000048231"	3.49636	3.55796	3.24588	4.1082	4.16724	4.88549
"ENSMUSG00000048232"	7.38429	7.49886	7.27968	4.97788	5.26623	5.2289
"ENSMUSG00000048234"	10.76761	10.84723	10.69775	7.1254	7.26071	7.08197
"ENSMUSG00000048236"	10.75985	10.8545	10.73633	3.56026	3.60503	4.09841
"ENSMUSG00000048240"	6.13495	6.14802	6.02427	6.55825	6.2116	6.35339
"ENSMUSG00000048249"	8.49784	8.30863	8.19021	8.29161	8.70608	8.12248
"ENSMUSG00000048251"	4.871	4.95739	4.82952	5.01186	4.97394	5.47702
"ENSMUSG00000048261"	6.92783	6.87133	6.90874	7.20215	7.24911	7.12493
"ENSMUSG00000048264"	6.232798	6.518134	6.400322	6.606004	6.601242	6.51503
"ENSMUSG00000048271"	6.87823	6.88899	6.93398	6.75195666666667	6.69849666666667	6.47735666666667
"ENSMUSG00000048277"	9.50315	9.56464	9.65379	8.7342	8.69398	9.11361
"ENSMUSG00000048279"	4.52561	4.60432	4.66206	5.28949	5.11084	4.83859
"ENSMUSG00000048280"	6.00136333333333	5.81753	6.02716	5.67376333333333	5.79397	5.45607666666667
"ENSMUSG00000048281"	4.09413	4.38199	3.55504	3.93823	3.79152	4.5545
"ENSMUSG00000048284"	3.74156	3.83727	3.78227	4.06328	4.0242	3.81936
"ENSMUSG00000048285"	7.62787	7.44599	7.52356	6.49763	6.4017	6.95618
"ENSMUSG00000048292"	3.86751	3.95796	4.03118	4.10768	3.91585	4.20276
"ENSMUSG00000048294"	5.088545	5.207685	5.27807	5.308465	5.33405	5.4385
"ENSMUSG00000048299"	3.42097	3.38324	3.41038	3.62002	3.52586	3.40741
"ENSMUSG00000048304"	3.13871	3.35381	3.34835	3.63789	3.22635	3.36041
"ENSMUSG00000048307"	7.96212	7.94807	7.84807	8.03005	8.00043	7.85363
"ENSMUSG00000048310"	8.11846	8.13918	8.08236	8.42992	8.36389	8.35312
"ENSMUSG00000048312"	2.85516	2.71168	3.13665	3.04836	3.23376	3.73584
"ENSMUSG00000048316"	5.94491	6.01835	5.87785	6.07546	6.34995	6.23265
"ENSMUSG00000048327"	4.48146	4.20085	4.18244	4.23627	4.09578	4.37835
"ENSMUSG00000048329"	4.99449	4.7735	4.83591	4.93029	4.95923	4.9774
"ENSMUSG00000048330"	4.4835	4.43831	4.40474	5.70607	5.50407	5.34363
"ENSMUSG00000048332"	6.69291	6.71123	6.7493	6.67377	6.2547	6.57171
"ENSMUSG00000048334"	7.082885	6.981455	6.902795	8.135995	8.3736	8.008925
"ENSMUSG00000048337"	3.09147	3.19654	3.24719	3.51394	3.08215	3.00533
"ENSMUSG00000048347"	3.89616	3.86589	4.05533	3.81342	3.8203	3.90198
"ENSMUSG00000048349"	3.41178	3.1385	3.06398	3.48392	3.50158	3.52659
"ENSMUSG00000048351"	6.36482	6.30277	6.30294	8.05485	8.18772	7.81417
"ENSMUSG00000048355"	5.8891	5.66798	5.36593	6.13072	6.44736	6.22893
"ENSMUSG00000048356"	2.13714	2.15251	2.18557	2.49789	2.98614	2.37867
"ENSMUSG00000048368"	3.82068	3.63353	3.66234	3.42025	3.09485	3.18476
"ENSMUSG00000048371"	5.90396	5.88342	6.03	7.87981	7.60079	7.84759
"ENSMUSG00000048373"	3.56218	3.36113	3.41316	3.38599	3.70878	3.64715
"ENSMUSG00000048376"	6.01332	6.09904	6.12314	6.84803	6.65479	6.66927
"ENSMUSG00000048377"	5.5698	5.71009	5.41179	5.83057	5.78333	6.1778
"ENSMUSG00000048378"	5.04634	5.18494	5.15778	5.31808	5.27813	5.29859
"ENSMUSG00000048379"	6.46069	6.18827	6.12005	6.25113	6.12864	6.38595
"ENSMUSG00000048385"	3.90688	3.98161	4.07974	4.46394	4.47724	4.42003
"ENSMUSG00000048387"	6.63296	6.48425	6.63842	5.08627	5.20913	5.40739
"ENSMUSG00000048388"	3.82951	4.29629	4.30488	3.78153	3.99668	4.0361
"ENSMUSG00000048391"	2.64813	2.21329	2.33814	3.39974	2.44048	2.57901
"ENSMUSG00000048398"	3.79634	3.56728	3.83201	4.14494	3.75838	3.84894
"ENSMUSG00000048399"	3.69001	3.64008	3.64822	3.8323	3.88108	3.79705
"ENSMUSG00000048400"	3.81081	3.84792	3.66494	4.37735	4.84006	4.58007
"ENSMUSG00000048402"	5.52672	5.57079	5.70118	5.40373	5.40473	5.75458
"ENSMUSG00000048406"	4.31226	4.25602	4.46929	6.51992	6.3705	5.6355
"ENSMUSG00000048410"	6.386525	6.81664	6.764715	6.841395	6.90842	6.9303
"ENSMUSG00000048411"	2.5462	2.4945	2.36143	2.63036	2.81005	2.65869
"ENSMUSG00000048416"	5.72442	5.12968	5.56873	5.41325	6.39268	7.0425
"ENSMUSG00000048424"	3.81318	3.6336	3.64914	3.54458	3.53356	3.54318
"ENSMUSG00000048425"	4.04716	3.75396	3.51884	4.33494	4.13117	3.977
"ENSMUSG00000048429"	6.96557	6.86531	6.87408	7.66487	7.50391	7.49311
"ENSMUSG00000048439"	6.17904	6.19191	6.15169	6.10786	6.10769	6.44373
"ENSMUSG00000048440"	6.11493	5.86854	6.13916	5.69724	6.13448	5.78495
"ENSMUSG00000048442"	5.26992	5.0017	5.01114	4.43197	4.53009	4.5092
"ENSMUSG00000048445"	5.52737	5.63238	5.5857	4.79598	4.93377	5.22281
"ENSMUSG00000048450"	5.40647	5.45495	5.95841	5.81681	5.69912	6.0024
"ENSMUSG00000048455"	3.84424	3.98609	3.62914	4.4251	4.31705	4.07724
"ENSMUSG00000048456"	2.38157	2.17335	2.12798	2.37068	2.21508	2.75629
"ENSMUSG00000048458"	5.02085	4.69765	4.94443	4.76447	5.30987	4.60984
"ENSMUSG00000048469"	2.23393	2.48476	2.6381	2.96802	2.88332	2.5326
"ENSMUSG00000048473"	2.69127	2.40976	2.75292	2.97053	3.21183	3.07504
"ENSMUSG00000048478"	5.39479	5.46373	5.53449	5.81372	5.47423	5.7639
"ENSMUSG00000048480"	4.38587	4.48933	4.59919	4.77168	4.51965	4.79301
"ENSMUSG00000048481"	5.65215	5.46183	5.55658	5.91381	5.87115	6.02509
"ENSMUSG00000048482"	3.9521	3.68287	3.65917	4.27514	4.01901	4.11618
"ENSMUSG00000048483"	4.244205	4.0199	3.837475	4.544055	4.01284	4.480245
"ENSMUSG00000048484"	4.84511	5.30044	4.86493	5.42657	5.00738	5.46325
"ENSMUSG00000048485"	4.34313	4.09623	4.12269	3.60873	4.12376	3.83925
"ENSMUSG00000048486"	7.90312	7.87273	7.56794	9.17425	8.98954	9.07373
"ENSMUSG00000048489"	5.90308	6.18939	6.26571	7.83201	7.67783	7.49364
"ENSMUSG00000048490"	8.95383	9.29513	9.01129	7.70151	7.66354	7.20524
"ENSMUSG00000048495"	5.3153	5.25745	5.3	6.3105	6.20109	5.76063
"ENSMUSG00000048497"	8.49317	8.60013	8.18257	5.23332	6.0402	5.79623
"ENSMUSG00000048498"	3.92746	4.06834	4.19769	4.02716	4.02669	4.17118
"ENSMUSG00000048500"	10.45463	10.50058	10.08745	3.88246	5.18741	4.47912
"ENSMUSG00000048501"	2.36007	2.75512	2.2833	3.23825	2.78838	2.44015
"ENSMUSG00000048502"	3.43837333333333	3.69531333333333	3.86683	3.46284666666667	3.77872666666667	3.48166333333333
"ENSMUSG00000048503"	4.74371	4.83351	4.51393	4.85236	4.78197	4.67637
"ENSMUSG00000048516"	2.1203	2.02817	2.13551	2.30192	2.2169	2.12266
"ENSMUSG00000048520"	3.44596	3.4351	3.84319	3.33119	3.2521	3.27739
"ENSMUSG00000048521"	2.75968	2.80184	3.10888	2.68807	3.08663	2.63105
"ENSMUSG00000048528"	5.27198	5.36422	5.15055	5.8333	5.7083	5.46566
"ENSMUSG00000048534"	4.36776	4.30145	4.52685	4.42733	4.33796	4.26457
"ENSMUSG00000048537"	8.06321	7.91346	7.859	7.0886	6.93449	7.25962
"ENSMUSG00000048538"	8.73771666666667	8.5682	8.53088	7.98418	7.82547666666667	7.67408333333333
"ENSMUSG00000048540"	3.37827	3.45724	3.24374	3.88417	3.72448	3.77519
"ENSMUSG00000048546"	6.05747	5.8735	5.96426	7.58788	7.27535	7.42115
"ENSMUSG00000048550"	5.60204	5.72302	5.59646	5.84027	5.95654	5.50806
"ENSMUSG00000048559"	3.8557	3.85741	3.6754	3.91828	3.60752	3.88281
"ENSMUSG00000048562"	4.28499	3.95691	4.16491	4.5524	4.58428	4.6162
"ENSMUSG00000048572"	4.04113	4.25535	3.81755	3.85895	3.74342	3.32373
"ENSMUSG00000048573"	3.00003	2.81732	2.75166	3.63858	3.4545	3.68126
"ENSMUSG00000048574"	5.05396666666667	5.02522	5.41545666666667	4.06155333333333	3.92049333333333	4.25493666666667
"ENSMUSG00000048578"	9.61874	9.59966	9.635345	9.276275	9.171595	9.04851
"ENSMUSG00000048581"	6.6221	6.33708	6.3026	7.21211	7.25171	7.11132
"ENSMUSG00000048582"	4.94541	5.35042	4.99218	5.23599	5.42789	5.49033
"ENSMUSG00000048583"	6.22059	6.428805	6.417735	6.78248	6.67045	7.060595
"ENSMUSG00000048592"	3.27979	3.20056	3.15463	3.62712	3.84635	3.44042
"ENSMUSG00000048600"	7.43925	7.54486	7.13992	7.1491	7.22768	7.23622
"ENSMUSG00000048602"	3.68701	3.76519	3.90979	3.93145	4.14074	3.81915
"ENSMUSG00000048603"	5.89271	5.08426	5.25335	6.02058	5.60002	5.58619
"ENSMUSG00000048612"	8.39171	8.76159	8.80104	5.48111	5.56112	5.75701
"ENSMUSG00000048616"	5.17873	4.98168	5.06133	5.12175	5.07488	5.17883
"ENSMUSG00000048617"	5.17634	4.94405	4.97282	5.41417	5.47255	5.4946
"ENSMUSG00000048620"	3.26118	3.38029	3.48094	4.01603	3.933	3.6101
"ENSMUSG00000048621"	2.53978	2.89017	2.98231	2.80748	2.74524	3.00084
"ENSMUSG00000048626"	3.30832	3.35087	3.13524	3.60158	3.32646	3.56252
"ENSMUSG00000048628"	3.43783	3.83196	3.77606	3.9147	3.40283	3.84871
"ENSMUSG00000048636"	3.39153	3.25618	3.33671	3.45573	3.23689	3.62637
"ENSMUSG00000048643"	2.87278	2.84758	3.08846	2.85157	3.17551	3.25683
"ENSMUSG00000048644"	6.35021	6.59348	6.66246	5.60735	5.1852	5.87527
"ENSMUSG00000048647"	5.60162	5.8899	5.38467	5.9001	5.66327	5.81188
"ENSMUSG00000048655"	3.75593	3.69192	3.66873	4.13663	3.99944	4.13231
"ENSMUSG00000048661"	7.36606	7.44289	7.60046	7.0987	7.23956	7.15365
"ENSMUSG00000048668"	5.93653	6.13013	6.02317	5.75987	6.047	5.70362
"ENSMUSG00000048677"	5.96927	5.97061	6.05405	6.20305	6.20629	6.32736
"ENSMUSG00000048686"	3.45846	3.35732	3.49115	3.62549	3.23041	3.09882
"ENSMUSG00000048693"	4.48504	4.52699	4.18755	4.65738	4.91733	4.63097
"ENSMUSG00000048696"	6.38499	6.42645	6.39455	6.43765	6.42791	6.42645
"ENSMUSG00000048697"	2.79911	2.69679	2.57803	3.10717	2.88297	3.15912
"ENSMUSG00000048699"	4.63114	4.48987	4.64004	4.56932	4.30473	4.84336
"ENSMUSG00000048701"	7.79528	7.74058	7.83881	7.29857	7.2155	7.16024
"ENSMUSG00000048703"	2.55464	2.49141	2.56665	2.88204	2.52544	2.80144
"ENSMUSG00000048706"	5.99857	5.97866	5.91994	5.44923	5.52452	5.61836
"ENSMUSG00000048707"	5.22465	5.21959	5.60335	5.01343	5.01522	4.87255
"ENSMUSG00000048709"	7.4771	7.21679	7.38701	7.46776	7.15509	7.31707
"ENSMUSG00000048720"	6.52337	6.6163	6.55825	6.90467	6.93825	6.47293
"ENSMUSG00000048721"	3.38117	3.57607	3.51299	3.88768	4.02683	3.79988
"ENSMUSG00000048728"	4.6854	4.79179	4.95534	4.89989	4.95448	5.15984
"ENSMUSG00000048731"	5.8436175	5.76948	5.705335	6.272695	6.22607	6.1782
"ENSMUSG00000048732"	7.38636	7.46	7.33899	6.98352	7.14052	6.82174
"ENSMUSG00000048745"	2.47483	2.46853	2.46748	2.43361	2.49828	2.45706
"ENSMUSG00000048747"	3.27997	3.22223	2.97854	3.30378	3.24488	3.73571
"ENSMUSG00000048752"	3.42343	3.21835	3.43535	3.96699	4.10276	3.88554
"ENSMUSG00000048755"	6.7471	6.60669	6.56983	8.10977	8.33983	8.17779
"ENSMUSG00000048756"	8.31314	8.576835	8.54311	7.07496	7.01353	6.98445
"ENSMUSG00000048758"	10.2161018181818	10.1669633333333	10.1269184848485	9.61388	9.64000090909091	9.55607090909091
"ENSMUSG00000048763"	6.99159	7.04834	7.14714	6.06154	6.2587	6.58214
"ENSMUSG00000048764"	2.92761	2.79325	3.17113	2.96104	3.4259	3.36908
"ENSMUSG00000048766"	2.43173	2.24652	2.37731	2.55345	2.76495	2.35039
"ENSMUSG00000048772"	6.47899	5.95114	6.36402	6.77125	6.91104	6.73427
"ENSMUSG00000048775"	2.71645	2.71949	2.66173	3.01051	3.07395	3.20826
"ENSMUSG00000048776"	4.79539	4.76995	4.98267	5.09938	4.9917	5.16681
"ENSMUSG00000048779"	5.32637	5.40449	5.61634	4.72772	5.13581	5.12606
"ENSMUSG00000048782"	4.743	4.43492	4.60038	5.12706	5.04189	5.29609
"ENSMUSG00000048787"	7.99716	8.04715	7.87087	8.78476	8.7675	8.07229
"ENSMUSG00000048794"	4.07075	4.15447	4.01342	4.33922	4.3861	4.40702
"ENSMUSG00000048796"	6.30889	6.39736	6.44133	6.66576	6.39287	6.35584
"ENSMUSG00000048799"	7.18656	7.1446	7.06058	7.29046	7.08949	6.96624
"ENSMUSG00000048806"	2.95205	3.09262	2.65192	3.15387	3.06627	3.06263
"ENSMUSG00000048807"	5.34036	5.29163	5.23831	5.19409	5.57454	5.55911
"ENSMUSG00000048810"	2.32238	2.53597	2.3553	3.02085	2.38929	2.30557
"ENSMUSG00000048814"	4.31362	4.4019	4.44088	4.10133	4.39899	4.35416
"ENSMUSG00000048824"	4.03828	4.10916	3.74282	4.48782	4.04437	4.10732
"ENSMUSG00000048826"	6.7412	6.99456	6.9413	5.85707	6.0466	6.17131
"ENSMUSG00000048827"	4.19929	3.92999	4.16749	4.48634	4.10601	4.4786
"ENSMUSG00000048830"	2.74983	2.32986	2.37023	2.74665	2.85343	2.77821
"ENSMUSG00000048832"	7.02499	6.95608	6.92173	6.74053	6.84807	6.70461
"ENSMUSG00000048833"	8.46332	8.34301	8.44324	8.48736	8.56507	8.47404
"ENSMUSG00000048834"	3.26977	3.1601	3.66548	3.71905	3.38573	3.4708
"ENSMUSG00000048852"	2.97261	3.01975	3.17514	3.43322	3.60802	3.15023
"ENSMUSG00000048856"	6.11421	6.11899	6.04638	5.66884	5.36717	5.41288
"ENSMUSG00000048865"	5.89667	5.94784	5.94201	5.45715	5.39674	5.71959
"ENSMUSG00000048874"	8.08882	8.10145	8.25183	8.35966	8.24202	8.02087
"ENSMUSG00000048875"	2.91658	2.77598	3.051	3.43016	3.10946	2.93358
"ENSMUSG00000048878"	7.82439	7.92893	7.78487	8.4226	7.90515	8.36826
"ENSMUSG00000048895"	5.63479	5.61725	5.27657	5.5143	5.53599	5.55948
"ENSMUSG00000048897"	6.25023	6.22105	6.44317	6.24878	6.25028	6.39834
"ENSMUSG00000048899"	5.21904	5.23906	4.97367	5.13546	5.95892	5.2101
"ENSMUSG00000048904"	4.48946	4.74156	4.44592	4.95095	5.41011	5.28625
"ENSMUSG00000048905"	4.70303	4.79533	4.51889	4.93621	5.00377	4.9721
"ENSMUSG00000048911"	5.90098	6.01272	5.98596	6.72908	6.71551	6.95778
"ENSMUSG00000048915"	6.70982	6.57334	6.60332	7.21387	7.10637	7.05599
"ENSMUSG00000048916"	7.124845	7.135545	7.228485	9.48114	9.03744	9.18014
"ENSMUSG00000048919"	3.06676	2.96567	3.13408	2.92166	3.24967	2.79187
"ENSMUSG00000048920"	6.60983	6.51203	6.55543	6.6345	6.4818	6.56957
"ENSMUSG00000048921"	5.62826	5.61847	5.81817	5.7518	5.52053	5.42306
"ENSMUSG00000048922"	4.67548	4.86587	4.87634	4.27007	4.08371	4.39898
"ENSMUSG00000048924"	5.47133	5.57612	5.52352	6.18708	6.33789	5.88986
"ENSMUSG00000048930"	6.9463	6.9511	7.02754	7.15361	7.06802	6.82841
"ENSMUSG00000048933"	2.04419	2.08076	2.07832	2.51281	2.31092	2.07832
"ENSMUSG00000048938"	2.70026	2.8107	2.80231	2.91489	3.02402	2.78164
"ENSMUSG00000048939"	3.76854	3.54351	3.78357	4.28085	4.05792	4.54094
"ENSMUSG00000048949"	8.29522	8.2072	8.218835	8.393445	8.460095	8.32979
"ENSMUSG00000048960"	8.16603	8.49159	8.41132	9.20508	9.14434	8.95607
"ENSMUSG00000048965"	4.04403	4.44718	4.28658	4.51582	4.60121	4.68325
"ENSMUSG00000048967"	5.31298	5.4834	5.30463	6.40348	6.30284	6.35517
"ENSMUSG00000048970"	6.95701	6.85772	6.82688	6.69245	7.08825	6.72942
"ENSMUSG00000048978"	3.02687	3.05209	3.02537	2.88403	3.2974	3.10946
"ENSMUSG00000048981"	3.9902	4.20697	3.68229	4.82017	4.03365	4.3274
"ENSMUSG00000048982"	3.39571	3.59772	3.08524	3.85703	3.80444	3.5238
"ENSMUSG00000048988"	4.24775	4.49177	4.21596	4.48416	4.65295	4.80308
"ENSMUSG00000048992"	4.08869	4.2065	3.97577	4.26018	4.59053	4.76815
"ENSMUSG00000048994"	3.40814	3.24394	3.39656	3.61723	3.8642	3.59004
"ENSMUSG00000048996"	3.61385	3.8796	3.75847	3.95061	4.02399	3.85842
"ENSMUSG00000048997"	4.98844	4.92869	4.90316	5.22616	4.92052	4.9774
"ENSMUSG00000049001"	3.72682	3.82476	3.70299	3.45817	3.67439	3.73069
"ENSMUSG00000049008"	3.9715	3.80848	3.93058	4.34806	4.09699	4.19183
"ENSMUSG00000049010"	4.94409	5.03259	4.95239	4.98822	5.0693	4.99844
"ENSMUSG00000049011"	2.40449	2.32812	2.21261	2.41492	2.68425	2.62983
