"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000001520"	6.3819	6.46117	6.26283	5.93369	5.14847	5.94489
"ENSMUSG00000001521"	6.81771	6.96274	6.94528	6.51417	6.72477	6.14819
"ENSMUSG00000001524"	5.98318	6.15144	5.98648	6.7304	6.84836	6.87092
"ENSMUSG00000001525"	9.88251	9.85663	10.07359	8.3332	8.27377	8.50614
"ENSMUSG00000001542"	7.25041	7.30849	7.26149	7.51451	7.84532	7.49526
"ENSMUSG00000001552"	9.06538	9.22459	9.32024	8.05378	8.05719	8.22115
"ENSMUSG00000001555"	7.11735	7.14202	7.58586	6.11031	6.22579	6.5419
"ENSMUSG00000001558"	3.94735	4.26992	3.88863	3.9096	3.89864	3.5901
"ENSMUSG00000001566"	3.96873	3.98064	3.75262	4.45151	4.37814	4.32906
"ENSMUSG00000001569"	6.56331	6.69353	6.74906	7.01792	7.07668	6.48925
"ENSMUSG00000001576"	10.04416	10.21218	10.21803	9.38763	8.93293	9.15919
"ENSMUSG00000001583"	6.51802	6.63671	6.76015	5.42774	5.38328	4.97013
"ENSMUSG00000001588"	7.18375	6.93642	6.95369	4.80836	4.57388	4.48098
"ENSMUSG00000001604"	6.37452	6.29811	6.31742	5.68006	6.09679	6.81633
"ENSMUSG00000001622"	2.39129	2.18901	2.30319	2.36615	2.38364	2.64471
"ENSMUSG00000001627"	8.33784	8.26834	8.2303	8.31585	8.33072	8.35021
"ENSMUSG00000001630"	7.24143	7.2307	7.14663	8.22144	7.89606	8.01152
"ENSMUSG00000001632"	7.21498	7.36619	7.27296	7.72042	7.43713	7.54147
"ENSMUSG00000001642"	9.095845	9.1056975	9.112735	9.32545	9.280535	9.3123625
"ENSMUSG00000001655"	4.10223	3.93032	3.84178	3.99601	3.87441	3.83449
"ENSMUSG00000001656"	3.70701	3.73544	3.53138	4.07071	3.68806	3.66476
"ENSMUSG00000001657"	8.82475	8.66321	8.92138	5.95194	5.97897	5.91392
"ENSMUSG00000001661"	6.62982	6.83213	6.97156	6.08754	5.51689	5.63101
"ENSMUSG00000001663"	8.17776	7.91599	7.94099	7.16568	7.32912	7.43378
"ENSMUSG00000001665"	8.81298	8.79435	8.65927	5.86576	6.51281	6.26731
"ENSMUSG00000001666"	8.01602	7.88213	7.90733	10.22733	10.42087	10.19531
"ENSMUSG00000001670"	4.45213	4.03531	3.77434	4.04821	4.98895	4.42166
"ENSMUSG00000001672"	5.06007	4.87002	4.89521	4.82213	4.82722	4.61534
"ENSMUSG00000001674"	8.25326	8.29948	8.456615	8.17201	7.94126	8.096515
"ENSMUSG00000001687"	9.47661	9.38294	9.36228	9.62803	9.59287	9.57919
"ENSMUSG00000001700"	7.20322	7.18158	7.31845	6.674	6.84208	6.47619
"ENSMUSG00000001707"	7.83122	7.63206	7.58077	8.04606	8.64132	8.26959
"ENSMUSG00000001729"	8.98698	8.92127	9.13546	9.30307	9.21853	9.29111
"ENSMUSG00000001739"	6.46391	6.16529	6.00137	6.30972	6.16467	6.22943
"ENSMUSG00000001741"	5.72933	5.40928	5.60762	5.00678	5.23082	5.43031
"ENSMUSG00000001750"	6.84653	6.64827	6.9744	6.72455	6.6433	6.58496
"ENSMUSG00000001751"	7.87628	8.15433	8.08127	7.29891	7.08232	7.07608
"ENSMUSG00000001755"	7.25254	7.31996	7.26885	9.00954	8.8794	8.89901
"ENSMUSG00000001761"	8.48394	8.23577	8.53195	6.98018	6.9584	7.21472
"ENSMUSG00000001763"	6.24149	6.04101	5.8301	5.2406	5.09876	5.07661
"ENSMUSG00000001767"	6.58521	6.74783	6.73404	6.72049	6.78834	6.59621
"ENSMUSG00000001768"	7.26748	7.36435	7.21247	7.18318	6.78227	6.49739
