"Treated BAT (fex)_R2(r1)"	"BAT_R2(r1)"	"Beige/brite (fex on gWAT)_R2(r1)"	"gWAT_R2(r1)"	"Beige/brite (fex on iWAT)_R2(r1)"	"iWAT_R2(r1)"
"ENSMUSG00000033186"	11.7369882308199	11.8561932683042	11.7203150811942	11.6073606725676	11.6400390452105	11.548384528958
"ENSMUSG00000026577"	11.0908861611689	11.2744275137689	10.9572593229956	10.9708683411261	11.1553125129884	11.1066423206184
"ENSMUSG00000020123"	8.59690560817909	7.83486406839525	8.33038657274339	8.81753891660806	8.14081034819462	8.44912908677848
"ENSMUSG00000034639"	8.43634706855887	8.13689662158545	7.93067082645643	7.93868954507594	8.16247300970449	8.28056842957246
"ENSMUSG00000086148"	-1.05533121371883	-1.19917913602359	-1.20745912828673	-1.09964246913233	-1.20886022600788	-1.08076111931121
"ENSMUSG00000030888"	10.5323795885632	10.666227196519	10.624620250005	10.6737240207134	10.2921021112266	10.4601591304942
"ENSMUSG00000074219"	6.94748589660688	6.08752813957273	5.08123358379312	6.03816081585673	5.35160527210827	6.39631933243055
"ENSMUSG00000000544"	1.35446298180838	1.42839655188821	1.97642837590333	1.56921959885051	1.52923287549763	1.53689495014737
"ENSMUSG00000082357"	2.40184523788015	2.60061894291973	1.86008454500946	1.68190442185644	2.03446788961447	2.13285852659956
"ENSMUSG00000028003"	5.07134247543139	3.80178983598259	3.58825879871245	3.77120017477202	4.52562627241256	4.40903794116852
"ENSMUSG00000092323"	3.57714479558088	3.36815498524223	2.33549833946216	2.64164076140961	3.05741957145293	3.07229259556328
"ENSMUSG00000062184"	6.30189579104751	6.19583998675761	5.91289998129987	6.0176623200725	5.26744102869383	5.60415508180224
"ENSMUSG00000015247"	11.2633843729147	11.2145374902033	11.5603378133217	11.4460287674121	11.3661740114371	11.340107318739
"ENSMUSG00000048603"	5.87470740994578	5.95300011323875	5.85378990104662	5.55071103552246	5.85989144468823	5.74590668770459
"ENSMUSG00000086919"	2.64465954160362	2.45448120937374	2.49127916723144	2.6717709850132	3.16810657795879	2.88686813809407
"ENSMUSG00000081156"	0.931207694042048	0.540288048379138	0.986456343819463	0.496233907045981	0.754357298969725	0.759952675101229
"ENSMUSG00000048960"	12.7861609894419	13.2715934376477	11.4092932799029	11.5071131155076	12.1159392862563	11.8906961390266
"ENSMUSG00000104642"	-1.78128675097113	-1.77720779997459	-1.64825656019173	-1.78499630012113	-1.65891727543031	-1.78342806152859
"ENSMUSG00000032059"	11.3578931198654	11.429782509711	11.0706232589042	11.1203534290451	11.1739937414111	11.2929603300563
"ENSMUSG00000033147"	9.92247631127996	10.3404360459438	10.007883982674	9.73135163095719	10.0525536440461	9.65678284959546
"ENSMUSG00000062154"	1.40101610250165	1.63884774490555	2.18953316377006	1.68518899546922	2.26188356807567	1.83827846643005
"ENSMUSG00000030623"	2.38178677264708	2.50821511193603	2.86140482427548	3.47409532532397	2.66593684475877	2.94542313122254
"ENSMUSG00000009739"	11.3515083580462	11.4165311241598	11.167495240995	10.8957041622516	11.3353606904442	11.0123852185915
"ENSMUSG00000031629"	6.36781320005906	6.32701702064236	7.43003746671877	7.03088128242794	6.70499555779002	6.7429703063645
"ENSMUSG00000037266"	15.4374794769531	14.8720696318397	14.9806954235026	15.1995429749491	14.7172037509247	14.975879525843
"ENSMUSG00000000766"	-0.774179386810923	-0.562727288871089	-0.777510496972789	-0.558566103331136	-0.779682596229131	-0.642889079795713
"ENSMUSG00000085067"	-1.37398188072089	-1.3681425740157	-1.37605274030669	-1.2639149625679	-1.13370476562291	-1.37706944734479
"ENSMUSG00000006782"	10.9609957209505	10.9223535667093	11.3988772663565	11.3976079584263	11.4125281726853	11.4932145384353
"ENSMUSG00000105139"	6.30951204292491	6.27001212322915	7.21657330693131	7.30184707138481	6.79533146206548	7.084340422919
"ENSMUSG00000048706"	9.64347385415562	9.10769168201286	9.37360844135498	10.0070615389567	10.2225145499425	10.5642420466574
"ENSMUSG00000066720"	0.588130503509469	0.647606534947637	0.566828744505581	0.723447127678786	0.763755446529548	0.556317788006434
"ENSMUSG00000082987"	-1.42036479408665	-1.41484894577791	-1.42231717816992	-1.21068260594352	-1.2953045896096	-1.42327498417117
"ENSMUSG00000020705"	12.6091497169128	12.8190653504565	12.6725526331292	12.6052172228961	12.7821741863687	12.6744933405423
"ENSMUSG00000022551"	15.9409804160681	16.0997767216294	13.789913467004	13.7015879694	14.173354753063	14.1288860257938
"ENSMUSG00000039218"	15.5827883744005	15.6141772454768	15.4093952226041	15.4194199701817	15.2751982390013	15.330869261598
"ENSMUSG00000027940"	13.681176571668	13.5889405125409	14.5699213068198	14.4705067487285	14.0823563372366	14.1193443403263
"ENSMUSG00000081769"	8.12637464737996	8.14024489383424	7.79091900250849	8.01239168495421	8.47939714795754	8.39270316281691
"ENSMUSG00000028034"	12.8168564335993	12.6515240081508	12.6059076782134	12.9263449541316	12.4055746282526	12.8187626383357
"ENSMUSG00000055421"	5.49062310169607	5.78775903372192	6.26904625308934	6.09796327723222	5.95249160067187	5.52106289177029
"ENSMUSG00000029754"	1.05468317980643	0.788830841108401	1.01917735295841	1.29340107926694	0.746027491360495	1.28846715637078
"ENSMUSG00000088549"	0.0194815433953665	0.0333975744045441	0.264812097294517	0.30318111021041	0.244661574042537	0.138266070608987
"ENSMUSG00000063488"	7.93313382975814	7.86801422733735	7.4517997519528	7.50704242479997	7.7012211642376	7.72080634325238
"ENSMUSG00000047509"	-0.961831253449384	-0.95386248590842	-0.699774651632401	-0.748495236304034	-0.966511410938793	-0.96605877906282
"ENSMUSG00000082857"	-0.627717826605097	-0.616647465828474	-0.48271880180895	-0.139630650650508	-0.634287232318255	-0.63364957549425
"ENSMUSG00000063821"	2.54157338242757	2.24601652159237	2.0777867924433	2.27319408159447	2.25177395854575	3.21565579549312
"ENSMUSG00000086470"	0.916120793468906	0.844137822892504	0.610960187931377	1.15852126756356	0.605099426978815	1.06589053507113
"ENSMUSG00000084754"	-0.657424609341962	-0.64706153169522	-0.661129148811401	-0.667045968334823	-0.40993440419175	-0.298270299326591
"ENSMUSG00000002477"	10.4922354940829	10.4453666230774	10.7345109269269	10.7478613678657	10.3590403491707	10.4301567352872
"ENSMUSG00000085353"	0.0709418976755585	0.0890346955648653	0.342911641451491	0.699145371126355	0.199279694769776	0.0612003642161051
"ENSMUSG00000080789"	-1.51656216265291	-1.29966409303856	-1.51873713510828	-1.52221453207322	-1.38027301759467	-1.51980919547526
"ENSMUSG00000089145"	-0.872861141514194	-0.864598625589462	-0.614150361005235	-0.764935349580351	-0.877704477661532	-0.74481383869446
"ENSMUSG00000041845"	8.60278902430332	8.48443002783804	9.38902068489569	9.22774011331827	9.81341845263123	9.48014103585706
"ENSMUSG00000026102"	11.0705565755043	11.268119437651	10.5681120428847	10.5155028399909	11.1369031077959	10.924687313516
"ENSMUSG00000027523"	12.0315248368671	12.4613289584743	10.2847179814331	10.2410150199626	10.4547955544592	10.4320599679703
"ENSMUSG00000097593"	0.361757402908493	0.386781651987043	1.14191100388449	0.949230485232995	0.346606845480218	0.348088420746575
"ENSMUSG00000103901"	6.64722311636232	6.17495292079575	6.25343245312736	6.53030866096627	6.06042503642004	6.14180035218775
"ENSMUSG00000032572"	4.73332544186834	4.49395802918025	6.16165659478134	6.17804612516573	6.49824847339849	6.88038462803969
"ENSMUSG00000097036"	-1.09516470053703	-1.08635696036581	-1.09834423262239	-1.10345634189699	-1.10042854984663	-0.607942236765833
"ENSMUSG00000087318"	0.268066218791324	0.0636053034670305	-0.161741416236646	-0.0480257676362413	-0.165267269298283	-0.0248040391897276
"ENSMUSG00000025877"	10.5194519284149	10.3931209386568	13.1242296455647	12.7287065503783	11.2457001961129	11.4877110355349
"ENSMUSG00000102482"	0.673293503083375	0.278229699906096	0.630514278740227	0.360550501998592	0.498215038759484	0.249008577053918
"ENSMUSG00000037784"	8.80239399587248	8.79791622390659	8.87572933185601	9.03218837328044	9.02209431006358	8.87029096449227
"ENSMUSG00000021687"	12.1975494441145	12.290343810781	12.1278244096344	12.1051356451337	12.3020283255387	12.1766597818823
"ENSMUSG00000089422"	-1.78128675097113	-1.77720779997459	-1.64825656019173	-1.78499630012113	-1.65891727543031	-1.78342806152859
"ENSMUSG00000036867"	10.8721131768292	11.4133216341971	10.546864979869	10.0828761066352	11.3308725852453	10.4750720149481
"ENSMUSG00000024381"	11.6911132495585	11.5696473766945	12.3963745166194	12.521827154328	12.1387298762375	12.4363497398331
"ENSMUSG00000065847"	0.0141185248174198	-0.132241361243048	0.120202457245981	-0.161002518921807	0.299118050604366	-0.155091075050488
"ENSMUSG00000031262"	7.21065958005307	7.07108334206917	8.7783985407513	8.76558999394836	7.61811826209103	7.87452792208438
"ENSMUSG00000024900"	12.6811788444369	12.8733474866862	14.102613909629	13.9402946958991	13.7968424857802	13.5401643592493
"ENSMUSG00000040254"	6.62415933237694	6.60513966429165	7.81874304926721	8.64330771466571	7.51926727231805	8.30456418816927
"ENSMUSG00000023991"	11.1071758510949	11.1933585143008	11.3286972948181	11.3183341009639	11.727920871089	11.563276626051
"ENSMUSG00000078926"	-1.0148182130518	-1.00731059404333	-1.01748355706924	-0.803720038194215	-0.775151358495836	-1.0187927619571
"ENSMUSG00000030314"	12.1909022441573	12.0404047994455	12.6082723055877	12.419801099347	12.4895695487673	12.4283065154787
"ENSMUSG00000102550"	-0.196102777910497	-0.141422604401117	-0.215773637586806	-0.366366906584576	-0.111862128422653	-0.361461412349476
"ENSMUSG00000047953"	3.36803809471092	3.72794417983253	3.4536308764676	3.38907888152192	3.28511054425504	3.11391042708508
"ENSMUSG00000042225"	9.15539329137639	9.28022740000772	10.0796086167712	10.0014326252792	9.81441344251235	9.76805683465247
"ENSMUSG00000068969"	-0.0996529246961136	-0.243733061360631	0.113340063155913	-0.268902258878774	-0.132358489257134	-0.129175375833236
"ENSMUSG00000048696"	9.49742989454245	9.83791282661379	9.85452862973025	9.60812458796031	9.71231131429908	9.60783239651668
"ENSMUSG00000087825"	0.190035616323963	0.050149664712631	0.400663807316293	0.332858060926772	0.156121514384263	0.0260515919287212
"ENSMUSG00000037822"	12.8305019136755	12.8834438638813	13.1028045588139	12.993184715312	13.3141132247188	13.0817772135519
"ENSMUSG00000036275"	13.6525859660674	13.6579562540295	13.9556683130791	13.8568980742321	14.0534019552376	13.8297315200427
"ENSMUSG00000029578"	13.3552020807404	13.5756730691663	12.807671261141	12.667248758509	13.0904824475462	12.8832615968985
