"Treated BAT (cold)_R1(r1)"	"Treated BAT (cold)_R1(r2)"	"Treated BAT (cold)_R1(r3)"	"Beige/brite (cold on iWAT)_R1(r1)"	"Beige/brite (cold on iWAT)_R1(r2)"	"Beige/brite (cold on iWAT)_R1(r3)"
"ENSMUSG00000030754"	5.24120694237028	5.54934583697076	5.21465395454636	5.70698268275746	5.75776328893526	5.72559525207716
"ENSMUSG00000078851"	-0.233763795021855	-0.305978732009722	-0.170316645984691	-0.260001153485165	-0.312131633176196	-0.204706749417791
"ENSMUSG00000039395"	4.1783509631602	3.9321075342802	4.0376032924623	3.52922985692375	3.63701846708	3.67646609460119
"ENSMUSG00000033186"	2.21524283574551	2.2539409072244	2.03539000206019	2.22952654992067	2.1278782461349	2.19301815227983
"ENSMUSG00000026577"	1.09767538106416	1.02712800358969	1.21706588641155	1.32468461646146	1.21542606544899	1.13881332135336
"ENSMUSG00000034639"	-0.214221187162323	-0.352567392010412	-0.352289758188815	-0.3066555710709	-0.302074465349876	-0.252248890032886
"ENSMUSG00000030888"	2.38403898435623	2.5362876594883	2.63804275715448	2.33852325004122	2.60933668715399	2.62373743026079
"ENSMUSG00000092323"	-1.18360010192274	-1.25026852275077	-1.25013904526177	-1.2044158663993	-1.20074989433114	-1.2454331796083
"ENSMUSG00000062184"	-0.929412358487191	-1.00238981742756	-1.00220539756013	-0.95276354824122	-1.00629380705647	-0.903607170783714
"ENSMUSG00000015247"	2.2687555846013	2.61021036752946	2.52504775778877	2.13064987009663	2.37890814989054	2.36596555975649
"ENSMUSG00000048603"	-0.667138205125173	-0.606933008510835	-0.736518192516748	-0.690432065039355	-0.740948512020314	-0.729275826268282
"ENSMUSG00000048960"	4.99714005258664	5.34467816711931	5.08572459528162	4.88599395792822	4.87067830087982	4.87241548436919
"ENSMUSG00000032059"	3.71538200735912	3.92082126667483	4.08929949949591	3.90969114027978	3.87711365263248	3.70411639031436
"ENSMUSG00000033147"	4.03154896745671	4.22969499453066	4.23817121551026	3.91871679507998	4.17153936772204	3.77091541831469
