"BAT_R3(r1)"	"BAT_R3(r2)"	"Beige/brite (RG on iWAT)_R3(r1)"	"Beige/brite (RG on iWAT)_R3(r2)"	"iWAT_R3(r1)"	"iWAT_R3(r2)"
"ENSMUSG00000046714"	3.45479170860798	3.91472911245369	2.74072542024379	2.77876320192677	3.29116108360094	2.70009899737019
"ENSMUSG00000088022"	-0.27513017786163	-0.261492863409082	-0.324920624225102	-0.328160958497177	-0.328236967067876	-0.21863474269491
"ENSMUSG00000105063"	0.721353865181184	0.746984489276308	0.624699886422745	0.796881045652571	0.650252009445753	0.619634201140555
"ENSMUSG00000032298"	7.4126764488624	7.6641506003581	7.5029299036208	7.4558601421474	7.84226105917562	7.62981870999199
"ENSMUSG00000097716"	-1.58008935438545	-1.5794863623076	-1.51854393921099	-1.54819044945974	-1.58101073403417	-1.58072081459905
"ENSMUSG00000022594"	9.75756498168783	9.56456293672574	10.1620862673171	10.3115728116427	10.657820589039	10.4978394083057
"ENSMUSG00000000411"	1.42471065947854	1.93129156137841	1.3694604811182	1.56767331109167	1.39272352400607	1.35714981815862
"ENSMUSG00000085526"	0.17142911036406	0.0302737710561167	0.0299170597906797	0.0258439804734153	0.0574425051295593	0.134673094764988
"ENSMUSG00000078192"	-2.15835169795062	-2.15798701708265	-2.15805981350577	-2.15888677282844	-2.09933970334022	-2.15873200510006
"ENSMUSG00000022900"	0.522979697555854	0.828496934596252	0.525494393766086	0.51829065958678	0.620617364531689	0.561837936643326
"ENSMUSG00000038459"	9.20117139193642	8.74736921289153	9.33705736401841	8.7791820938219	8.75809800103222	8.76264160882366
"ENSMUSG00000001441"	11.3524334920019	11.4134277733506	11.259214601623	11.4126054038923	11.3348717349964	11.3574111344688
"ENSMUSG00000030754"	12.1503481310691	12.1607202744128	12.3243738423238	12.4307882380321	11.9672768302959	12.0094756861648
"ENSMUSG00000087611"	4.89539874809958	5.41371967566046	5.32102793715085	5.19225055638727	5.07986288667319	5.15683059946939
"ENSMUSG00000078851"	6.13194057692461	6.92437176540797	6.77958966250114	6.59848005583345	6.60268878651585	6.72003001022136
"ENSMUSG00000082080"	-0.685717542449441	-0.684485987598821	-0.684730984843055	-0.687543999145608	-0.687610309294101	-0.503637938324316
"ENSMUSG00000039395"	8.70229112954906	8.21272548357739	9.08359158233866	9.1242817277504	7.64913588481537	7.72099570159554
"ENSMUSG00000102663"	-1.98523740158217	-1.98481836227382	-1.98490198504805	-1.95450830292827	-1.98587499727955	-1.94916827968665
"ENSMUSG00000033186"	9.3371213580983	8.98908405300407	9.4843815727969	9.48033511540908	9.31279246632773	9.38995846041949
"ENSMUSG00000026577"	9.5603362940212	9.90582630674084	9.71913289414817	9.92019645486669	9.53708418446747	9.71762836502577
"ENSMUSG00000020123"	6.61001048863599	6.54117002612716	6.18416882328613	5.9705329280585	6.84539415962482	7.5322072405315
"ENSMUSG00000034639"	4.88852407692537	4.60450360591655	4.43314810193622	4.79278807259387	5.00018229389533	4.95021268361133
"ENSMUSG00000030888"	8.45012040275425	8.7192854023919	8.60282831432734	8.25415026394883	8.37656377211001	8.44343652188041
"ENSMUSG00000074219"	3.66970980464628	3.9672383264156	3.78009088289557	3.70907407514318	4.47807177376192	4.03067352990408
"ENSMUSG00000082357"	2.79285358238076	3.50213726337553	2.73196294982209	2.48394168815998	3.12316492942209	2.49158844628667
"ENSMUSG00000028003"	-1.59045006970438	-1.5898516189639	-1.5289196133559	-1.59133256364587	-1.55925581658572	-1.59107676206035
"ENSMUSG00000092323"	7.34272499329015	7.73807349258257	6.95680643676875	6.81623206588333	5.5806263985639	5.8730614440536
"ENSMUSG00000062184"	5.82437435610976	5.26849176962389	5.29255119506354	4.916660106437	5.90632916185165	5.77037612725685
"ENSMUSG00000015247"	8.82895736652826	8.89667427218524	9.31836365456109	9.21577873859587	9.15324816034798	9.14016230189181
"ENSMUSG00000048603"	4.92918985497722	5.36217365293648	4.21227380807787	4.69482910457042	4.68190651571961	4.55036816680671
"ENSMUSG00000098525"	-0.427407521943149	-0.523514445813157	-0.52375414657855	-0.494399473503385	-0.464898485902628	-0.525974488886825
"ENSMUSG00000086919"	0.797808547247464	0.801358056480341	1.0843083903293	0.861252198638757	0.921880964330333	0.834795855157969
"ENSMUSG00000097086"	-1.98523740158217	-1.98481836227382	-1.98490198504805	-1.95450830292827	-1.98587499727955	-1.94916827968665
"ENSMUSG00000081156"	4.07471702961987	5.33911333569136	3.82610504630492	4.34525091880058	4.20062208601728	3.86763959720149
"ENSMUSG00000048960"	8.81883501154299	9.18274815153566	9.22455163780926	9.10633836880952	9.4194040196614	9.38109081629426
"ENSMUSG00000104642"	-1.06227023685138	-1.06147781689978	-1.06163593168194	-1.00204769564881	-1.03280282141478	-1.02662616239832
"ENSMUSG00000032059"	9.33285860682563	9.01660034773104	9.02817903596054	9.09515559066022	9.125587466115	9.20268695569917
"ENSMUSG00000033147"	5.79750280394317	6.38631781082098	6.44023316914639	6.43331539606924	6.6791121187609	6.60312983279425
"ENSMUSG00000090277"	2.4020444077045	2.18107803814466	1.93270010037767	2.22050357403147	1.91332475885645	2.07409914923934
"ENSMUSG00000030623"	1.03839674528286	0.944399867450025	0.943740042642617	0.968267003159086	1.13392306202615	1.13946571286103
"ENSMUSG00000009739"	6.02855360550147	5.57756009806039	6.20107531098755	6.09095404641693	6.60748671028283	6.66736627274918
"ENSMUSG00000031629"	4.34133262047066	3.99808999949546	4.02796385001066	4.28068804040871	4.5963618206345	4.48708568772798
"ENSMUSG00000037266"	13.3680511343932	13.5123334662429	13.1195179660275	13.1442987526479	13.0839640384021	13.1634341928979
"ENSMUSG00000000766"	1.54694453059043	1.69005212788186	1.62054204768628	1.5367293692056	2.11293647133354	1.70179909069805
"ENSMUSG00000083686"	-2.11479209705251	-2.1144154409438	-2.11449062604503	-2.08428477395006	-2.08494521937825	-2.11518491644302
"ENSMUSG00000006782"	7.06418689422568	7.51827313291866	7.52342138252312	7.4540180505458	7.68881716237563	7.64953247139668
"ENSMUSG00000105139"	3.48981238877326	3.1461872829813	2.84927008659699	3.24006166593631	3.27551917394212	3.22262464541363
"ENSMUSG00000048706"	7.42573593153393	7.68503788813303	6.89163547636785	6.98549886496476	6.71400782984638	7.34197406315303
"ENSMUSG00000066720"	-0.58328479108802	-0.518317510556032	-0.521003792442919	-0.585077201722612	-0.521794025841869	-0.584557393714312
"ENSMUSG00000020705"	10.5434736796857	10.8973135120448	10.6919944121269	10.7009639121169	10.7107488701523	10.6977969584082
"ENSMUSG00000022551"	13.6697080726323	14.1790087175776	13.767326863559	13.5435506172448	12.5599450775478	12.443516612948
"ENSMUSG00000039218"	13.3144378400179	13.7096576728465	13.2514315549574	13.2719843501464	13.3196283070155	13.2784571892502
"ENSMUSG00000027940"	10.7182046306437	10.8694539736344	10.6799514876157	10.8408570445489	11.1520109064766	11.3146093690365
"ENSMUSG00000088437"	-1.56970870242729	-1.56911139077915	-1.56923045898072	-1.47687951109918	-1.57062071233693	-1.5703338300478
